clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
SVM,STFT,1,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
SVM,STFT,2,157,40,0,3,0.985,0.98125,1.0,1.0,0.990625
SVM,STFT,3,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
SVM,STFT,4,157,40,0,3,0.985,0.98125,1.0,1.0,0.990625
SVM,STFT,5,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
SVM,MFCC,1,160,40,0,0,1.0,1.0,1.0,1.0,1.0
SVM,MFCC,2,160,40,0,0,1.0,1.0,1.0,1.0,1.0
SVM,MFCC,3,160,40,0,0,1.0,1.0,1.0,1.0,1.0
SVM,MFCC,4,160,40,0,0,1.0,1.0,1.0,1.0,1.0
SVM,MFCC,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
SVM,MelSpectrogram,1,158,40,0,2,0.99,0.9875,1.0,1.0,0.99375
SVM,MelSpectrogram,2,157,40,0,3,0.985,0.98125,1.0,1.0,0.990625
SVM,MelSpectrogram,3,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
SVM,MelSpectrogram,4,157,40,0,3,0.985,0.98125,1.0,1.0,0.990625
SVM,MelSpectrogram,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
SVM,LogMelSpectrogram,1,160,40,0,0,1.0,1.0,1.0,1.0,1.0
SVM,LogMelSpectrogram,2,160,40,0,0,1.0,1.0,1.0,1.0,1.0
SVM,LogMelSpectrogram,3,160,40,0,0,1.0,1.0,1.0,1.0,1.0
SVM,LogMelSpectrogram,4,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
SVM,LogMelSpectrogram,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
SVM,DeepONMF_W,1,149,39,1,11,0.94,0.93125,0.975,0.9933333333333333,0.953125
SVM,DeepONMF_W,2,145,36,4,15,0.905,0.90625,0.9,0.9731543624161074,0.903125
SVM,DeepONMF_W,3,147,37,3,13,0.92,0.91875,0.925,0.98,0.921875
SVM,DeepONMF_W,4,150,38,2,10,0.94,0.9375,0.95,0.9868421052631579,0.94375
SVM,DeepONMF_W,5,148,36,4,12,0.92,0.925,0.9,0.9736842105263158,0.9125000000000001
SVM,DeepONMF_H3,1,156,38,2,4,0.97,0.975,0.95,0.9873417721518988,0.9624999999999999
SVM,DeepONMF_H3,2,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
SVM,DeepONMF_H3,3,154,37,3,6,0.955,0.9625,0.925,0.9808917197452229,0.9437500000000001
SVM,DeepONMF_H3,4,155,36,4,5,0.955,0.96875,0.9,0.9748427672955975,0.934375
SVM,DeepONMF_H3,5,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
KNN,STFT,1,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
KNN,STFT,2,158,40,0,2,0.99,0.9875,1.0,1.0,0.99375
KNN,STFT,3,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
KNN,STFT,4,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
KNN,STFT,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
KNN,MFCC,1,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
KNN,MFCC,2,160,40,0,0,1.0,1.0,1.0,1.0,1.0
KNN,MFCC,3,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
KNN,MFCC,4,160,40,0,0,1.0,1.0,1.0,1.0,1.0
