metodo,muestras,rasgos t-SNE,perplexity,sil t-SNE,DB t-SNE
CNN,951,50,30,0.1105647012591362,3.618561421066015
DWT,951,18,30,0.1267702430486679,16.352727902954232
MFCC,951,13,30,0.1728029549121856,6.000057463403192
STFT,951,50,30,0.1477805525064468,3.570267782013287
Deep-ONMF normal,951,7,30,0.1907327026128769,1.7910105910733591
Deep-ONMF mejorado,951,5,30,0.2065653055906295,2.0001072388886394
CNN,1000,50,30,0.2258976399898529,2.014266937228267
DWT,1000,18,30,0.1109088510274887,6.564077217299766
MFCC,1000,13,30,0.1445773094892501,5.527732597908822
"resultado8_deep_onmf_sin_descartar_menores_2s__
perfil_softmin_errores_f8",1000,5,30,0.2601711750030517,1.375568783086334
STFT,1000,50,30,0.1318992376327514,7.878604523354494
