comprobacion,esperado,observado,ok
total_audios,1000,1000,True
audios_clase_N,200,200,True
audios_clase_AS,200,200,True
audios_clase_MR,200,200,True
audios_clase_MS,200,200,True
audios_clase_MVP,200,200,True
fold_1_tamano_entrenamiento,800,800,True
fold_1_tamano_test,200,200,True
fold_1_test_clase_N,40,40,True
fold_1_test_clase_AS,40,40,True
fold_1_test_clase_MR,40,40,True
fold_1_test_clase_MS,40,40,True
fold_1_test_clase_MVP,40,40,True
fold_2_tamano_entrenamiento,800,800,True
fold_2_tamano_test,200,200,True
fold_2_test_clase_N,40,40,True
fold_2_test_clase_AS,40,40,True
fold_2_test_clase_MR,40,40,True
fold_2_test_clase_MS,40,40,True
fold_2_test_clase_MVP,40,40,True
fold_3_tamano_entrenamiento,800,800,True
fold_3_tamano_test,200,200,True
fold_3_test_clase_N,40,40,True
fold_3_test_clase_AS,40,40,True
fold_3_test_clase_MR,40,40,True
fold_3_test_clase_MS,40,40,True
fold_3_test_clase_MVP,40,40,True
fold_4_tamano_entrenamiento,800,800,True
fold_4_tamano_test,200,200,True
fold_4_test_clase_N,40,40,True
fold_4_test_clase_AS,40,40,True
fold_4_test_clase_MR,40,40,True
fold_4_test_clase_MS,40,40,True
fold_4_test_clase_MVP,40,40,True
fold_5_tamano_entrenamiento,800,800,True
fold_5_tamano_test,200,200,True
fold_5_test_clase_N,40,40,True
fold_5_test_clase_AS,40,40,True
fold_5_test_clase_MR,40,40,True
fold_5_test_clase_MS,40,40,True
fold_5_test_clase_MVP,40,40,True
