indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
0,SNR_8db,N,New_N_001.wav,28-10,DeepONMF_H2,2,0.20505603871787523,10x212,0.023561000009067357,28,0.15632625677430914,0.35974002654877796,0.01825650001410395,10,0.3893203053014534,0.15350897430329102,0.004216400091536343
1,SNR_8db,N,New_N_002.wav,28-10,DeepONMF_H2,2,0.20220856672954426,10x212,0.024770600022748113,28,0.15264476046821113,0.3373974907085579,0.019981399993412197,10,0.4132381817524003,0.1230416088542669,0.0038702000165358186
2,SNR_8db,N,New_N_003.wav,28-10,DeepONMF_H2,2,0.22223767272672126,10x212,0.024766899994574487,28,0.15794535518871725,0.3444808872921003,0.019767199992202222,10,0.38733647813076383,0.13242917738967483,0.004071200033649802
3,SNR_8db,N,New_N_004.wav,28-10,DeepONMF_H2,2,0.21007226864952938,10x212,0.022165299975313246,28,0.15725339403150324,0.35789651778471865,0.017778199980966747,10,0.4295450347121264,0.12199217477031273,0.0036779999500140548
4,SNR_8db,N,New_N_005.wav,28-10,DeepONMF_H2,2,0.20326369965807992,10x212,0.021340400096960366,28,0.15096751991060955,0.31146946940728903,0.016482500010170043,10,0.387507086983988,0.14176663518233845,0.003752700053155422
5,SNR_8db,N,New_N_006.wav,28-10,DeepONMF_H2,2,0.21234542576276144,10x212,0.0194478000048548,28,0.1520557209913431,0.2921762275731967,0.014312700019218028,10,0.4640543750466795,0.15802449936287294,0.004326399997808039
6,SNR_8db,N,New_N_007.wav,28-10,DeepONMF_H2,2,0.21077837041618797,10x212,0.02007160009816289,28,0.1576353462753819,0.3371543031411765,0.015723599935881793,10,0.44792721082942155,0.14236021638350518,0.0036623000632971525
7,SNR_8db,N,New_N_008.wav,28-10,DeepONMF_H2,2,0.20254722518361712,10x212,0.02107699995394796,28,0.15452460505451165,0.3398292886325214,0.016835000016726553,10,0.352509014364223,0.14213228993719598,0.003589699976146221
8,SNR_8db,N,New_N_009.wav,28-10,DeepONMF_H2,2,0.20902941378129541,10x212,0.020325699937529862,28,0.15424227576799693,0.338436411602939,0.01571539998985827,10,0.3797140851169973,0.14213971867387198,0.003918500035069883
9,SNR_8db,N,New_N_010.wav,28-10,DeepONMF_H2,2,0.2206379082389876,10x212,0.022479900042526424,28,0.15724371127863837,0.3403226993890379,0.01715379999950528,10,0.4224328186607533,0.10274261548908759,0.004318399936892092
10,SNR_8db,N,New_N_011.wav,28-10,DeepONMF_H2,2,0.2196618005711026,10x212,0.02076169999781996,28,0.15712113427759894,0.33508912963742066,0.016126099973917007,10,0.4229379357396112,0.1139554672955073,0.0036057999823242426
11,SNR_8db,N,New_N_012.wav,28-10,DeepONMF_H2,2,0.21700660803950172,10x212,0.019981599994935095,28,0.15413584990209978,0.32087866054782616,0.015243800007738173,10,0.393852364189774,0.13354109463771593,0.003967400058172643
12,SNR_8db,N,New_N_013.wav,28-10,DeepONMF_H2,2,0.20441895633698356,10x212,0.020046699908562005,28,0.15453278183768981,0.34148218355078663,0.01572290004696697,10,0.40731517263759187,0.14224146913293315,0.0036241000052541494
13,SNR_8db,N,New_N_014.wav,28-10,DeepONMF_H2,2,0.21750147295368213,10x212,0.02076460001990199,28,0.1564617878164301,0.34157278008562947,0.015761899994686246,10,0.45374446035915933,0.12739611447402158,0.004022500012069941
14,SNR_8db,N,New_N_015.wav,28-10,DeepONMF_H2,2,0.21595571369141697,10x212,0.01825049996841699,28,0.1529559964165082,0.32816963910847796,0.013260100036859512,10,0.4143755824073702,0.16030452722835714,0.004258299944922328
15,SNR_8db,N,New_N_016.wav,28-10,DeepONMF_H2,2,0.22085835014207594,10x212,0.022282199934124947,28,0.1581064626155744,0.34675628112905715,0.01768889999948442,10,0.4342552716515957,0.13077032685806397,0.0036700000055134296
16,SNR_8db,N,New_N_017.wav,28-10,DeepONMF_H2,2,0.21180079347909508,10x212,0.02149049995932728,28,0.15624202307972204,0.3118367397114231,0.016974300029687583,10,0.31027138885416305,0.13102641648878358,0.0035514000337570906
17,SNR_8db,N,New_N_018.wav,28-10,DeepONMF_H2,2,0.21947741874162552,10x212,0.021840100060217083,28,0.15294205766770883,0.3110183534996913,0.016969299991615117,10,0.4246827801950574,0.16052163259484503,0.003879199968650937
18,SNR_8db,N,New_N_019.wav,28-10,DeepONMF_H2,2,0.21821312449286906,10x212,0.021099000005051494,28,0.157504180076677,0.3573267992716394,0.016544100013561547,10,0.4258618968327824,0.12984752656598395,0.003783700056374073
19,SNR_8db,N,New_N_020.wav,28-10,DeepONMF_H2,2,0.21449173792410328,10x212,0.02363879990298301,28,0.15550508712639888,0.3409718043601433,0.019153599976561964,10,0.4194232622843366,0.11305130161036162,0.0037139999913051724
20,SNR_8db,N,New_N_021.wav,28-10,DeepONMF_H2,2,0.2165193447104077,10x212,0.020623299991711974,28,0.15498638086244398,0.30646984421768875,0.015193199971690774,10,0.43045538902350533,0.11159802649295297,0.004069000016897917
21,SNR_8db,N,New_N_022.wav,28-10,DeepONMF_H2,2,0.20841821430601215,10x212,0.01952020009048283,28,0.15318620956646267,0.3091212053087622,0.01440580002963543,10,0.39381519020602523,0.1430379651873179,0.004278699983842671
22,SNR_8db,N,New_N_023.wav,28-10,DeepONMF_H2,2,0.2263179595530835,10x212,0.01962829998228699,28,0.1531388256745614,0.3060418483269465,0.01523250003810972,10,0.4069898544346993,0.107911863847616,0.0037545000668615103
23,SNR_8db,N,New_N_024.wav,28-10,DeepONMF_H2,2,0.21625596189633908,10x212,0.022312499932013452,28,0.15614987904584768,0.35277399247218716,0.017324999906122684,10,0.4029051033726535,0.13151285816224528,0.004149700049310923
24,SNR_8db,N,New_N_025.wav,28-10,DeepONMF_H2,2,0.21832697439249685,10x212,0.021089599933475256,28,0.15513027300913398,0.3155804679075596,0.01623710000421852,10,0.41096093310068954,0.10792954724358696,0.003799899946898222
25,SNR_8db,N,New_N_026.wav,28-10,DeepONMF_H2,2,0.21291031614704525,10x212,0.02270989993121475,28,0.15168345044563175,0.29800563934007035,0.017474599997512996,10,0.40863771084885087,0.11635687426772764,0.004300700034946203
26,SNR_8db,N,New_N_027.wav,28-10,DeepONMF_H2,2,0.21390662155645576,10x212,0.023614499950781465,28,0.15166522244758782,0.3147645614936425,0.018797900062054396,10,0.46185085423484024,0.16512416115506015,0.003990600001998246
