metodo,clase,archivo,mfcc_001,mfcc_002,mfcc_003,mfcc_004,mfcc_005,mfcc_006,mfcc_007,mfcc_008,mfcc_009,mfcc_010,mfcc_011,mfcc_012,mfcc_013
MFCC,N,New_N_001.wav,-30.25725833723818,6.4437939803613125,3.128733498774926,0.6370932365353,0.05641510790181177,0.3176718138779548,0.04504673611492301,0.030780461897682736,-0.1915919604960968,-0.16254037597020612,-0.1392437765939903,-0.30672214180501917,-0.06807522625736032
MFCC,N,New_N_002.wav,-30.477988484785758,6.212437533578909,3.0867500262280054,0.7052191300825962,0.052339017741646336,0.30307774485464145,0.0786188097954673,0.07170740859104059,-0.18683916616228727,-0.1604717145273582,-0.18350095703188019,-0.35721050012885713,-0.12162792032620738
MFCC,N,New_N_003.wav,-30.16500804597818,6.263321168850651,3.0017606401849837,0.6323832368048675,0.0023121637687631247,0.23922047037950767,0.07091957554376434,0.08882349232820662,-0.15521341960500962,-0.13972932667236246,-0.16150769154045055,-0.32755852179505945,-0.11748531181965542
MFCC,N,New_N_004.wav,-30.332456201546186,6.285336253379053,3.0248213200831313,0.6314282427246874,0.05350584068816794,0.21261641877567267,0.02742370802463382,0.04921623629744101,-0.19940650657384584,-0.21360769208820357,-0.2011158008976379,-0.37804498850047963,-0.1989707515514296
MFCC,N,New_N_005.wav,-30.38808894416774,6.353502802677537,3.1636304308148375,0.7273492390205869,0.0675964662562526,0.22388611634621033,0.028223177349887708,0.057148350447935835,-0.14592486889474512,-0.11912423509050242,-0.1961303813330582,-0.3500214797640884,-0.2032692127168006
MFCC,N,New_N_006.wav,-30.280387818074228,6.2770260487783816,3.155666152394163,0.8472104089384601,0.08216775429107495,0.25786930351532367,0.006792193614817047,0.07613070444141681,-0.20013584728398176,-0.14292991872907299,-0.1637586563034514,-0.393836884668484,-0.17261879904912253
MFCC,N,New_N_007.wav,-30.360642984397668,6.234478897898701,3.150135212903851,0.8223247304311057,0.17739453746822795,0.30074963164514756,0.007988424888510242,0.08447365127685369,-0.21586994689382372,-0.1724396658507855,-0.20928344745163183,-0.48297351984467735,-0.2353427201694701
MFCC,N,New_N_008.wav,-30.32769199473688,6.265646903930801,3.1609151479154343,0.755141062229179,0.09047021856901849,0.24476846188178905,0.04004424000443516,0.05426965928439351,-0.18551160713287748,-0.20644004004066963,-0.23297997598829015,-0.45179663305979423,-0.21677134599860975
MFCC,N,New_N_009.wav,-30.294928367889856,6.27039888328891,3.2283589539294875,0.7646403644290172,0.08494042801077462,0.342620208411412,0.09103387441869366,0.08704041152947949,-0.14946909537647388,-0.13458821319823522,-0.24017383786154878,-0.4304391188605684,-0.22937522840444527
MFCC,N,New_N_010.wav,-30.423612590537353,6.275146242821632,3.0875696857935755,0.6896309718637529,0.0016833442006474605,0.29284541504140527,0.047576775695453766,0.0837784633683764,-0.16893995381461596,-0.1725373708782587,-0.19081963208424668,-0.36661063678767003,-0.13513555179324124
