clase,archivo,ruta,tSNE_1,tSNE_2
AS,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_001.wav,19.683529,13.674582
AS,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_002.wav,20.638906,13.878081
AS,New_AS_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_003.wav,19.919424,14.42221
AS,New_AS_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_004.wav,19.689266,13.793614
AS,New_AS_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_005.wav,19.266932,14.13034
AS,New_AS_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_006.wav,19.539398,14.487311
AS,New_AS_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_007.wav,20.016037,13.386923
AS,New_AS_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_008.wav,20.789373,13.631199
AS,New_AS_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_009.wav,19.982313,14.167757
AS,New_AS_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_010.wav,20.024954,13.247644
AS,New_AS_011.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_011.wav,19.586153,13.590908
AS,New_AS_012.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_012.wav,20.259562,13.044399
