distribucion,numero_capas,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
14-8-3,3,KNN,DeepONMF_H3,1,PROMEDIO_MACRO,177,777,23,23,0.954,0.885,0.97125,0.8913585856889457,0.928125,200
14-8-3,3,KNN,DeepONMF_H3,2,PROMEDIO_MACRO,168,768,32,32,0.9360000000000002,0.8400000000000001,0.96,0.8529434934100895,0.9,200
14-8-3,3,KNN,DeepONMF_H3,3,PROMEDIO_MACRO,159,759,41,41,0.918,0.7950000000000002,0.94875,0.8079716950993546,0.871875,200
14-8-3,3,KNN,DeepONMF_H3,4,PROMEDIO_MACRO,166,766,34,34,0.932,0.8300000000000001,0.9575,0.8451761139964933,0.89375,200
14-8-3,3,KNN,DeepONMF_H3,5,PROMEDIO_MACRO,175,775,25,25,0.95,0.875,0.96875,0.8828088578088578,0.921875,200
14-8-3,3,KNN,DeepONMF_W,1,PROMEDIO_MACRO,130,730,70,70,0.86,0.65,0.9125,0.6854541216786565,0.7812500000000001,200
14-8-3,3,KNN,DeepONMF_W,2,PROMEDIO_MACRO,128,728,72,72,0.8560000000000001,0.64,0.91,0.6688235294117647,0.775,200
14-8-3,3,KNN,DeepONMF_W,3,PROMEDIO_MACRO,133,733,67,67,0.866,0.665,0.91625,0.6811822660098522,0.7906250000000001,200
14-8-3,3,KNN,DeepONMF_W,4,PROMEDIO_MACRO,133,733,67,67,0.866,0.665,0.91625,0.6984476784476784,0.790625,200
14-8-3,3,KNN,DeepONMF_W,5,PROMEDIO_MACRO,132,732,68,68,0.8640000000000001,0.6599999999999999,0.9149999999999998,0.6966367120391173,0.7875,200
14-8-3,3,SVM,DeepONMF_H3,1,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9173343942557536,0.946875,200
14-8-3,3,SVM,DeepONMF_H3,2,PROMEDIO_MACRO,176,776,24,24,0.952,0.8800000000000001,0.97,0.881498868009056,0.925,200
14-8-3,3,SVM,DeepONMF_H3,3,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.9012668750426188,0.9375,200
14-8-3,3,SVM,DeepONMF_H3,4,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.9015083162451584,0.9375,200
14-8-3,3,SVM,DeepONMF_H3,5,PROMEDIO_MACRO,184,784,16,16,0.968,0.9200000000000002,0.98,0.9253729539020362,0.95,200
14-8-3,3,SVM,DeepONMF_W,1,PROMEDIO_MACRO,151,751,49,49,0.902,0.7549999999999999,0.93875,0.7777567200241619,0.846875,200
14-8-3,3,SVM,DeepONMF_W,2,PROMEDIO_MACRO,146,746,54,54,0.892,0.73,0.9325,0.7552361915265141,0.83125,200
