distribucion,clasificador,representacion,Accuracy,Score,Sensitivity,Specificity,Precision,TP,TN,FP,FN,Delta_Accuracy
16-4,KNN,H,0.9740,0.9556,0.9862,0.9250,0.9814,789,185,15,11,+0.0370
16-4,KNN,W,0.9040,0.8875,0.9150,0.8600,0.9634,732,172,28,68,+0.0240
17-3,KNN,H,0.9700,0.9513,0.9825,0.9200,0.9801,786,184,16,14,+0.0330
17-3,KNN,W,0.9240,0.8981,0.9413,0.8550,0.9629,753,171,29,47,+0.0440
16-3,KNN,H,0.9730,0.9550,0.9850,0.9250,0.9814,788,185,15,12,+0.0360
16-3,KNN,W,0.9120,0.8906,0.9263,0.8550,0.9624,741,171,29,59,+0.0320
8-3,KNN,H,0.9710,0.9519,0.9838,0.9200,0.9801,787,184,16,13,+0.0340
8-3,KNN,W,0.9040,0.8669,0.9287,0.8050,0.9504,743,161,39,57,+0.0240
14-8-3,KNN,H,0.9700,0.9475,0.9850,0.9100,0.9778,788,182,18,12,+0.0330
14-8-3,KNN,W,0.9050,0.8694,0.9287,0.8100,0.9515,743,162,38,57,+0.0250
16-4,SVM,H,0.9760,0.9700,0.9800,0.9600,0.9899,784,192,8,16,+0.0070
16-4,SVM,W,0.9250,0.9306,0.9213,0.9400,0.9840,737,188,12,63,+0.0000
17-3,SVM,H,0.9760,0.9663,0.9825,0.9500,0.9875,786,190,10,14,+0.0070
17-3,SVM,W,0.9300,0.9356,0.9263,0.9450,0.9854,741,189,11,59,+0.0050
16-3,SVM,H,0.9750,0.9656,0.9812,0.9500,0.9874,785,190,10,15,+0.0060
16-3,SVM,W,0.9100,0.9156,0.9062,0.9250,0.9798,725,185,15,75,-0.0150
8-3,SVM,H,0.9730,0.9625,0.9800,0.9450,0.9862,784,189,11,16,+0.0040
8-3,SVM,W,0.9110,0.9200,0.9050,0.9350,0.9824,724,187,13,76,-0.0140
14-8-3,SVM,H,0.9730,0.9587,0.9825,0.9350,0.9837,786,187,13,14,+0.0040
14-8-3,SVM,W,0.9150,0.9244,0.9087,0.9400,0.9838,727,188,12,73,-0.0100
16-4,UjaNet,H,0.9940,0.9944,0.9938,0.9950,0.9988,795,199,1,5,+0.0020
16-4,UjaNet,W,0.9630,0.9506,0.9712,0.9300,0.9823,777,186,14,23,-0.0050
17-3,UjaNet,H,0.9950,0.9931,0.9962,0.9900,0.9975,797,198,2,3,+0.0030
17-3,UjaNet,W,0.9660,0.9431,0.9812,0.9050,0.9765,785,181,19,15,-0.0020
16-3,UjaNet,H,0.9930,0.9862,0.9975,0.9750,0.9938,798,195,5,2,+0.0010
16-3,UjaNet,W,0.9610,0.9494,0.9688,0.9300,0.9824,775,186,14,25,-0.0070
8-3,UjaNet,H,0.9940,0.9906,0.9962,0.9850,0.9963,797,197,3,3,+0.0020
8-3,UjaNet,W,0.9740,0.9556,0.9862,0.9250,0.9815,789,185,15,11,+0.0060
14-8-3,UjaNet,H,0.9940,0.9906,0.9962,0.9850,0.9963,797,197,3,3,+0.0020
14-8-3,UjaNet,W,0.9640,0.9437,0.9775,0.9100,0.9775,782,182,18,18,-0.0040
