clasificador,representacion,distribucion,Score_mean,Accuracy_mean,Sensitivity_mean,Specificity_mean,Precision_mean
SVM,MFCC,No aplica,1.0,1.0,1.0,1.0,1.0
KNN,LogMelSpectrogram,No aplica,1.0,1.0,1.0,1.0,1.0
UjaNet,MFCC,No aplica,1.0,1.0,1.0,1.0,1.0
UjaNet,MelSpectrogram,No aplica,1.0,1.0,1.0,1.0,1.0
UjaNet,LogMelSpectrogram,No aplica,1.0,1.0,1.0,1.0,1.0
SVM,LogMelSpectrogram,No aplica,0.999375,0.999,0.99875,1.0,1.0
UjaNet,STFT,No aplica,0.9975,0.999,1.0,0.995,0.9987577639751553
KNN,MFCC,No aplica,0.99875,0.998,0.9975,1.0,1.0
UjaNet,DeepONMF_H2,17-3,0.993125,0.995,0.99625,0.99,0.9975155279503106
UjaNet,DeepONMF_H2,16-4,0.994375,0.994,0.99375,0.995,0.99875
UjaNet,DeepONMF_H2,8-3,0.990625,0.994,0.99625,0.985,0.996273291925466
UjaNet,DeepONMF_H3,14-8-3,0.990625,0.994,0.99625,0.985,0.9962655279503104
UjaNet,DeepONMF_H3,15-10-5,0.988125,0.993,0.99625,0.98,0.9950155279503106
UjaNet,DeepONMF_H2,16-3,0.98625,0.993,0.9975,0.975,0.993819018404908
UjaNet,DeepONMF_H3,9-8-7,0.989375,0.992,0.99375,0.985,0.99625
KNN,STFT,No aplica,0.985,0.991,0.995,0.975,0.9937888198757764
KNN,MelSpectrogram,No aplica,0.985,0.991,0.995,0.975,0.9937888198757764
SVM,MelSpectrogram,No aplica,0.990625,0.988,0.98625,0.995,0.99873417721519
UjaNet,DeepONMF_H3,10-6-4,0.980625,0.987,0.99125,0.97,0.9925072792918704
SVM,STFT,No aplica,0.9875,0.986,0.985,0.99,0.9974763155799696
UjaNet,DeepONMF_H3,8-5-3,0.97375,0.985,0.9925,0.955,0.9888493942563292
SVM,DeepONMF_H2,16-4,0.97,0.976,0.98,0.96,0.9899129211232623
SVM,DeepONMF_H2,17-3,0.96625,0.976,0.9825,0.95,0.9874522386653752
SVM,DeepONMF_H2,16-3,0.965625,0.975,0.98125,0.95,0.9874280358006772
KNN,DeepONMF_H2,16-4,0.955625,0.974,0.98625,0.925,0.9814340382716128
UjaNet,DeepONMF_W,8-3,0.955625,0.974,0.98625,0.925,0.981514086195356
SVM,DeepONMF_H2,8-3,0.9625,0.973,0.98,0.945,0.9861708897845594
SVM,DeepONMF_H3,14-8-3,0.95875,0.973,0.9825,0.935,0.9837418453845852
KNN,DeepONMF_H2,16-3,0.955,0.973,0.985,0.925,0.9813582145859284
SVM,DeepONMF_H3,10-6-4,0.9575,0.971,0.98,0.935,0.9836788472255394
KNN,DeepONMF_H2,8-3,0.951875,0.971,0.98375,0.92,0.980130549581154
KNN,DeepONMF_H2,17-3,0.95125,0.97,0.9825,0.92,0.98013685394354
KNN,DeepONMF_H3,14-8-3,0.9475,0.97,0.985,0.91,0.9777758782995022
SVM,DeepONMF_H3,9-8-7,0.958125,0.969,0.97625,0.94,0.9848649570040444
SVM,DeepONMF_H3,15-10-5,0.95625,0.969,0.9775,0.935,0.9836705837297428
UjaNet,DeepONMF_W,9-8-7,0.959375,0.968,0.97375,0.945,0.9863247080942016
SVM,DeepONMF_H3,8-5-3,0.953125,0.967,0.97625,0.93,0.9823569902442956
