metodo,clase,archivo,dwt_001,dwt_002,dwt_003,dwt_004,dwt_005,dwt_006,dwt_007,dwt_008,dwt_009,dwt_010,dwt_011,dwt_012,dwt_013,dwt_014,dwt_015,dwt_016,dwt_017,dwt_018
DWT,N,New_N_001.wav,0.4671953176300712,0.29519874466523294,0.7716884851936816,0.021285981611460614,0.05124666442520828,0.1465049511556066,0.0017506751689445748,0.014283192027025157,0.04185824140839988,3.775790202896695e-05,0.0014981455610828505,0.006144768291027889,5.602886950031794e-07,0.00022849596805347958,0.0007485240222574033,2.734688918981207e-07,0.00016056748092394416,0.0005229359320515764
DWT,N,New_N_002.wav,0.4791418027478346,0.30595485522912136,0.784018854435983,0.017702819508539296,0.04893810006537658,0.13358476005352896,0.002075880467508399,0.016525273100135983,0.045585344697885444,4.1476627934393034e-05,0.0016172836738243873,0.00643991555112059,1.118787704722217e-06,0.0003141536088059403,0.0010577140768139948,2.0344176335997195e-07,0.00015666276276679784,0.0004510446530410628
DWT,N,New_N_003.wav,0.511760516347134,0.3193266727341234,0.8174455934746766,0.020059201917002185,0.05165568131197849,0.14232813091830512,0.0022687406754925274,0.016288228195367432,0.04765586908494835,6.927494411312304e-05,0.0020229921332229083,0.008323202838487075,1.967150665138523e-06,0.0003694914712918008,0.001402545371869613,3.4350464072183975e-07,0.00019183445209331636,0.0005860926246650313
DWT,N,New_N_004.wav,0.4941533340144004,0.3186954743994368,0.7994381777303089,0.01912087714337088,0.04760474730972853,0.13892677170476217,0.002754469403481268,0.01718041988832329,0.0525191194344217,6.956636744960432e-05,0.0018708323426903952,0.008340741623355602,1.8056656389065904e-06,0.00033673036529147056,0.0013437457461158637,2.922424325833023e-07,0.00017634173660833146,0.000540594461439841
DWT,N,New_N_005.wav,0.500294205384478,0.31288668926606955,0.8057260451900994,0.02222168168334882,0.05368245200901557,0.14984382960085815,0.002149249172142157,0.016828342211235362,0.04638384944018408,6.928442543373107e-05,0.001937523984485154,0.0083237750805996,1.1151340261806913e-06,0.00032326588338968295,0.0010559993460944187,3.0838775756939094e-07,0.00018058297602545955,0.0005553135771702444
DWT,N,New_N_006.wav,0.5099309731917547,0.32920079695051857,0.8155832098405744,0.018599872567942002,0.04758331049242369,0.13700478968100843,0.0025003934512649083,0.017424992019749768,0.05003366587310494,6.040257930521226e-05,0.0019261920517497752,0.0077719643504301295,1.5592650792106149e-06,0.0003524551671162526,0.0012486806572434457,2.950799508343428e-07,0.0001876783780177806,0.0005431791111209433
DWT,N,New_N_007.wav,0.4932374208044638,0.30659374362134195,0.7985043475421854,0.020627185485741894,0.05042833385570688,0.14425721491187668,0.0021152583557933827,0.01713436420181147,0.04601566352489447,6.924376189953138e-05,0.0020544278900589143,0.00832142406164166,1.3959641043308507e-06,0.00033863154240417576,0.001181480878988977,3.121177633106437e-07,0.00018991128834843046,0.0005586339533729623
DWT,N,New_N_008.wav,0.4836188194878175,0.3078686233402686,0.7886266421810999,0.020481005545239114,0.04986125810656761,0.14383204878722103,0.00210052803903509,0.016965266376046086,0.045854953820254486,7.331188814584284e-05,0.0021513849339376977,0.008562370934435248,1.4350894165102005e-06,0.00035667071933323714,0.0011979521688995165,2.9754876093549814e-07,0.00018803337897019425,0.0005454510963307619
DWT,N,New_N_009.wav,0.49287154659029686,0.31170523913946047,0.7981151894362103,0.0214846646305498,0.049227847388654586,0.14725776367754162,0.0023174478007064563,0.01742340529186358,0.0481675619415702,6.611295080960147e-05,0.0019269418630408072,0.008130792311903891,1.1216271379980183e-06,0.00031782077992095775,0.0010590507636502357,2.321793391160258e-07,0.0001752870170634728,0.00048184706031679765
DWT,N,New_N_010.wav,0.4925254928467138,0.3130793208234415,0.7976065098058674,0.016806662191573347,0.04813345246214136,0.12997500957520133,0.002295267573359903,0.01576311835972059,0.04793644796913979,6.267045605457312e-05,0.0019375625832228165,0.007916588946112742,1.4485203504887712e-06,0.00034224147022148823,0.0012035435293510299,2.909159497739448e-07,0.00018392317103168023,0.0005393541379809412
DWT,N,New_N_011.wav,0.5046035707556931,0.3124500305152038,0.8101346479624604,0.02207437262383202,0.05196331110614605,0.14936560204537178,0.002365867856169135,0.018288855694778672,0.04866412499130379,6.627573088501294e-05,0.0019427950710269222,0.008141123956815443,1.2792246962287658e-06,0.00032990027385747115,0.0011308457844966882,2.9148844901314247e-07,0.00018706806712539365,0.0005398962411810453
DWT,N,New_N_012.wav,0.47745854906976726,0.3068613386862669,0.7822694287080775,0.01767521418259181,0.048785163024340654,0.13352792332152458,0.002434128777057833,0.017832069719805554,0.049366563829931584,6.217196042419079e-05,0.0019188465871556252,0.007885041410865302,1.5042771068430033e-06,0.0003537673527106045,0.001226487646246309,3.2474947234214534e-07,0.00019501044947308225,0.0005698516453098931
DWT,N,New_N_013.wav,0.4980492971339832,0.30936655449982275,0.8034352594175765,0.018057969101583075,0.051309464418309615,0.1349865217887676,0.0028393483670574875,0.018466964018132533,0.05332133242106605,4.0109876907629963e-05,0.0017430065053026514,0.006333268346510396,1.169120329601897e-06,0.0003196218006208081,0.001081237208540499,2.8984726650220493e-07,0.00017987177181497498,0.0005383732375973179
DWT,N,New_N_014.wav,0.509249586299843,0.3246495504200654,0.8148867938071702,0.016783180393970903,0.04643483281246408,0.1300854929509599,0.0028753588740849166,0.018286089678611527,0.05365777615461498,6.904550248931181e-05,0.0020816927214752875,0.008309477931595016,1.3037632197874018e-06,0.0003511127490659041,0.0011417967630782974,4.3862142503550283e-07,0.00020004685435586785,0.0006622522126499668
