epoca,loss,acc_train,acc_val
1,1.6104129155476887,0.21052631735801697,0.2097902148962021
2,1.5981424081893194,0.29774436354637146,0.28671327233314514
3,1.5838159720102947,0.3263157904148102,0.3461538553237915
4,1.5628104380198888,0.38947367668151855,0.4300699234008789
5,1.541694993064517,0.2902255654335022,0.3181818127632141
6,1.5141211521057856,0.31278195977211,0.31118881702423096
7,1.4716424885250272,0.4375939965248108,0.4475524425506592
8,1.4276483285994757,0.42706766724586487,0.42307692766189575
9,1.382072267078218,0.5293232798576355,0.4965035021305084
10,1.3365685769489832,0.5909774303436279,0.559440553188324
11,1.293241092136928,0.42556390166282654,0.39510488510131836
12,1.233785385177249,0.49924811720848083,0.5209790468215942
