metodo,codigo_metodo,clase,capa,rango,entrada,W,H,error_relativo,ortogonalidad_media,segundos
Aleatoria actual,aleatoria_actual,N,1,9,126 x 42612,126 x 9,9 x 42612,0.053461241054916925,0.7210889528512922,2.5450086999917403
Aleatoria actual,aleatoria_actual,N,2,8,9 x 42612,9 x 8,8 x 42612,0.15398368711522537,0.3891014825710411,1.192666899994947
Aleatoria actual,aleatoria_actual,N,3,7,8 x 42612,8 x 7,7 x 42612,0.25265979947537426,0.2591485394264449,1.0988003999227658
Aleatoria actual,aleatoria_actual,AS,1,9,126 x 49184,126 x 9,9 x 49184,0.12240379672242907,0.34151505088027134,2.963254899950698
Aleatoria actual,aleatoria_actual,AS,2,8,9 x 49184,9 x 8,8 x 49184,0.15689794650659528,0.21115138013385457,1.4972592999693006
Aleatoria actual,aleatoria_actual,AS,3,7,8 x 49184,8 x 7,7 x 49184,0.26275736031781627,0.16772277253978612,1.3325803000479937
Aleatoria actual,aleatoria_actual,MR,1,9,126 x 43248,126 x 9,9 x 43248,0.11986988931894378,0.35430589669103146,2.4173548000399023
Aleatoria actual,aleatoria_actual,MR,2,8,9 x 43248,9 x 8,8 x 43248,0.19357450957926775,0.21066814661946717,1.11830169998575
Aleatoria actual,aleatoria_actual,MR,3,7,8 x 43248,8 x 7,7 x 43248,0.27083228131966774,0.16832981952087692,0.9924621999962255
Aleatoria actual,aleatoria_actual,MS,1,9,126 x 45156,126 x 9,9 x 45156,0.06810810564578329,0.5242992754650014,2.7134781000204384
Aleatoria actual,aleatoria_actual,MS,2,8,9 x 45156,9 x 8,8 x 45156,0.15074543684872957,0.2899845027065705,1.395566999912262
Aleatoria actual,aleatoria_actual,MS,3,7,8 x 45156,8 x 7,7 x 45156,0.2850292312258245,0.2209764417518749,1.1547363999998197
Aleatoria actual,aleatoria_actual,MVP,1,9,126 x 43248,126 x 9,9 x 43248,0.09467084426280077,0.46864933253921315,2.574685699888505
Aleatoria actual,aleatoria_actual,MVP,2,8,9 x 43248,9 x 8,8 x 43248,0.1405551169142583,0.24890270342136503,1.0787922999588773
Aleatoria actual,aleatoria_actual,MVP,3,7,8 x 43248,8 x 7,7 x 43248,0.2541050238597035,0.1720405163178918,0.9366984999505803
