indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos
0,SNR_8db,N,New_N_001.wav,10,DeepONMF_H1,1,0.17185829095924987,10x212,0.00872090004850179,10,0.17185829095924987,0.31743565429719134,0.007710800040513277
1,SNR_8db,N,New_N_002.wav,10,DeepONMF_H1,1,0.16747411989675032,10x212,0.006786899990402162,10,0.16747411989675032,0.29975627136175975,0.006032500066794455
2,SNR_8db,N,New_N_003.wav,10,DeepONMF_H1,1,0.17197731614498524,10x212,0.007646900019608438,10,0.17197731614498524,0.3072386196705456,0.006957200006581843
3,SNR_8db,N,New_N_004.wav,10,DeepONMF_H1,1,0.17508132382000424,10x212,0.0074374000541865826,10,0.17508132382000427,0.3010578345211496,0.006743200006894767
4,SNR_8db,N,New_N_005.wav,10,DeepONMF_H1,1,0.17326629596681495,10x212,0.008591099991463125,10,0.17326629596681495,0.31851293933255037,0.007940800045616925
5,SNR_8db,N,New_N_006.wav,10,DeepONMF_H1,1,0.17588489357170797,10x212,0.007976499968208373,10,0.17588489357170797,0.2960869882680628,0.007264900021255016
6,SNR_8db,N,New_N_007.wav,10,DeepONMF_H1,1,0.17380341404769098,10x212,0.009132900042459369,10,0.17380341404769098,0.2547924986533435,0.008352799923159182
7,SNR_8db,N,New_N_008.wav,10,DeepONMF_H1,1,0.16786768591975756,10x212,0.008382400032132864,10,0.16786768591975754,0.25351063313860966,0.007672999985516071
8,SNR_8db,N,New_N_009.wav,10,DeepONMF_H1,1,0.17221562629861498,10x212,0.009903700090944767,10,0.17221562629861498,0.29541783738969013,0.009126099990680814
9,SNR_8db,N,New_N_010.wav,10,DeepONMF_H1,1,0.16980285326240346,10x212,0.008301800000481308,10,0.16980285326240346,0.2894092341111522,0.007410199963487685
10,SNR_8db,N,New_N_011.wav,10,DeepONMF_H1,1,0.17371680116292762,10x212,0.008713400107808411,10,0.17371680116292762,0.33653958682220725,0.007933099986985326
11,SNR_8db,N,New_N_012.wav,10,DeepONMF_H1,1,0.1747324209721082,10x212,0.008429100038483739,10,0.1747324209721082,0.25345296203419604,0.0075397000182420015
