indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos
0,SNR_-5db,N,New_N_001.wav,8,DeepONMF_H1,1,nndsvd,0.3880844326238901,8x212,0.010249799932353199,8,0.3880844326238901,0.2963354109953404,0.009287800057791173
1,SNR_-5db,N,New_N_002.wav,8,DeepONMF_H1,1,nndsvd,0.38215208369752307,8x212,0.009409600053913891,8,0.38215208369752307,0.30090514898644977,0.008813600055873394
2,SNR_-5db,AS,New_AS_001.wav,8,DeepONMF_H1,1,nndsvd,0.3999524859739232,8x212,0.011055300012230873,8,0.3999524859739232,0.28357254237942925,0.010403399937786162
3,SNR_-5db,AS,New_AS_002.wav,8,DeepONMF_H1,1,nndsvd,0.38841092867425714,8x212,0.00971479993313551,8,0.38841092867425714,0.2705871447501279,0.009067900013178587
4,SNR_-5db,MR,New_MR_001.wav,8,DeepONMF_H1,1,nndsvd,0.39594962897229,8x212,0.010573299950920045,8,0.39594962897229,0.3078061057385132,0.009914100053720176
5,SNR_-5db,MR,New_MR_002.wav,8,DeepONMF_H1,1,nndsvd,0.3982607014506459,8x212,0.010774799971841276,8,0.3982607014506459,0.2726608850252724,0.010009399964474142
6,SNR_-5db,MS,New_MS_001.wav,8,DeepONMF_H1,1,nndsvd,0.3887816159715858,8x212,0.010619199951179326,8,0.3887816159715858,0.28858729514606984,0.009779599960893393
7,SNR_-5db,MS,New_MS_002.wav,8,DeepONMF_H1,1,nndsvd,0.3945752370810407,8x212,0.01259199995547533,8,0.3945752370810407,0.2954750966940064,0.011811700067482889
8,SNR_-5db,MVP,New_MVP_001.wav,8,DeepONMF_H1,1,nndsvd,0.3925386144608882,8x212,0.012296400032937527,8,0.39253861446088817,0.25223557857733486,0.011546900030225515
9,SNR_-5db,MVP,New_MVP_002.wav,8,DeepONMF_H1,1,nndsvd,0.29111837794276485,8x212,0.01188260002527386,8,0.29111837794276485,0.2529370705265017,0.010426900000311434
