clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
KNN,DeepONMF_H3,0.937,0.025149552679918585,0.97625,0.010269797953221865,0.78,0.11645814698852115,0.9472595566655692,0.027043859915226967,0.878125,0.0587549864905099
KNN,DeepONMF_W,0.8800000000000001,0.02091650066335188,0.8825,0.019465514377996755,0.8699999999999999,0.03708099243547831,0.964450474509183,0.010233877968612122,0.8762500000000001,0.025636430377492123
KNN,LogMelSpectrogram,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
KNN,MFCC,0.998,0.002738612787525811,0.9974999999999999,0.0034232659844073057,1.0,0.0,1.0,0.0,0.99875,0.0017116329922036635
KNN,MelSpectrogram,0.991,0.006519202405202641,0.9949999999999999,0.005229125165837957,0.975,0.025000000000000022,0.9937888198757765,0.006211180124223614,0.985,0.012770510463564087
KNN,STFT,0.991,0.006519202405202641,0.9949999999999999,0.005229125165837957,0.975,0.025000000000000022,0.9937888198757765,0.006211180124223614,0.985,0.012770510463564087
SVM,DeepONMF_H3,0.969,0.01387443692551161,0.97625,0.012022115038544562,0.9400000000000001,0.02850438562747841,0.9848649570040443,0.0071984121278875915,0.9581250000000001,0.018566813471891166
SVM,DeepONMF_W,0.925,0.014999999999999961,0.9237500000000001,0.01202211503854461,0.93,0.03259601202601323,0.9814028023077828,0.008681947668038033,0.9268750000000001,0.02103289833807979
SVM,LogMelSpectrogram,0.999,0.002236067977499798,0.99875,0.00279508497187472,1.0,0.0,1.0,0.0,0.999375,0.0013975424859373994
SVM,MFCC,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
SVM,MelSpectrogram,0.9879999999999999,0.0075828754440515666,0.9862500000000001,0.008149003006503336,0.9949999999999999,0.011180339887498962,0.9987341772151899,0.0028304657943035542,0.990625,0.007967217989988751
SVM,STFT,0.986,0.005477225575051712,0.985,0.005590169943749506,0.99,0.013693063937629143,0.9974763155799697,0.0034557258694108152,0.9875,0.007654655446197458
UjaNet,DeepONMF_H3,0.992,0.008366600265340755,0.99375,0.006249999999999978,0.985,0.022360679774997925,0.9962500000000001,0.005590169943749451,0.9893750000000001,0.013184389443580597
UjaNet,DeepONMF_W,0.968,0.007582875444051559,0.9737500000000001,0.01677050983124844,0.945,0.04808846015417834,0.9863247080942015,0.011782550456325215,0.959375,0.017677669529663678
UjaNet,LogMelSpectrogram,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
UjaNet,MFCC,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
UjaNet,MelSpectrogram,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
UjaNet,STFT,0.999,0.00223606797749978,1.0,0.0,0.9949999999999999,0.011180339887498962,0.9987577639751553,0.0027777241956519075,0.9974999999999999,0.005590169943749467
