base,clase,archivo,ruta_relativa,frecuencia_hz,muestras,snr_objetivo_db,snr_real_db,error_snr_db,factor_antirecorte,escalado_antirecorte,muestras_saturadas,semilla_ruido,potencia_senal,potencia_ruido_objetivo
original,AS,New_AS_001.wav,AS_New_3주기/New_AS_001.wav,8000,20849,,,,1.0,False,0,,,
SNR_8db,AS,New_AS_001.wav,AS_New_3주기/New_AS_001.wav,8000,20849,8.0,7.999996146177926,-3.853822073907054e-06,0.8058309316861979,True,0,5.190046822048512e+18,0.05394445144433736,0.008549619386517935
SNR_5db,AS,New_AS_001.wav,AS_New_3주기/New_AS_001.wav,8000,20849,5.0,5.000002463963485,2.463963484800047e-06,0.7118550736676957,True,0,1.4409992062047451e+19,0.05394445144433736,0.01705873336924659
SNR_0db,AS,New_AS_001.wav,AS_New_3주기/New_AS_001.wav,8000,20849,0.0,3.742034488953295e-06,3.742034488953295e-06,0.6365646149300186,True,0,5.226288454439549e+18,0.05394445144433736,0.05394445144433736
SNR_-5db,AS,New_AS_001.wav,AS_New_3주기/New_AS_001.wav,8000,20849,-5.0,-4.999998981279417,1.0187205825573642e-06,0.434638826784864,True,0,1.3674670526536872e+19,0.05394445144433736,0.1705873336924659
SNR_-8db,AS,New_AS_001.wav,AS_New_3주기/New_AS_001.wav,8000,20849,-8.0,-7.9999969658951855,3.03410481450328e-06,0.37357512193927706,True,0,1.5463104506368586e+19,0.05394445144433736,0.3403664783275983
original,AS,New_AS_002.wav,AS_New_3주기/New_AS_002.wav,8000,20854,,,,1.0,False,0,,,
SNR_8db,AS,New_AS_002.wav,AS_New_3주기/New_AS_002.wav,8000,20854,8.0,8.000000992817853,9.928178528184617e-07,0.8351248129722866,True,0,7.720149838399567e+18,0.05405553179611118,0.008567224435852186
SNR_5db,AS,New_AS_002.wav,AS_New_3주기/New_AS_002.wav,8000,20854,5.0,5.000005440318651,5.440318650684617e-06,0.7253180319908585,True,0,1.4764573235854182e+19,0.05405553179611118,0.017093860060736387
SNR_0db,AS,New_AS_002.wav,AS_New_3주기/New_AS_002.wav,8000,20854,0.0,2.4692117717383824e-06,2.4692117717383824e-06,0.5914167093286699,True,0,6.374824387958502e+18,0.05405553179611118,0.05405553179611118
SNR_-5db,AS,New_AS_002.wav,AS_New_3주기/New_AS_002.wav,8000,20854,-5.0,-5.000001852193607,-1.852193607376762e-06,0.40546303015512597,True,0,1.1672164658596902e+18,0.05405553179611118,0.1709386006073639
SNR_-8db,AS,New_AS_002.wav,AS_New_3주기/New_AS_002.wav,8000,20854,-8.0,-8.000002271433551,-2.2714335514706363e-06,0.3773463789361009,True,0,1.3509357616243063e+19,0.05405553179611118,0.3410673479653896
original,MR,New_MR_001.wav,MR_New_3주기/New_MR_001.wav,8000,16795,,,,1.0,False,0,,,
SNR_8db,MR,New_MR_001.wav,MR_New_3주기/New_MR_001.wav,8000,16795,8.0,8.000029221460283,2.922146028261352e-05,1.0,False,0,7.791761573937007e+18,0.010230737507629427,0.0016214626229698456
SNR_5db,MR,New_MR_001.wav,MR_New_3주기/New_MR_001.wav,8000,16795,5.0,5.0000021697386074,2.1697386074492897e-06,1.0,False,0,7.674767790848172e+18,0.010230737507629427,0.0032352432667423258
SNR_0db,MR,New_MR_001.wav,MR_New_3주기/New_MR_001.wav,8000,16795,0.0,6.728280944988281e-06,6.728280944988281e-06,1.0,False,0,1.1330898980631136e+18,0.010230737507629427,0.010230737507629427
SNR_-5db,MR,New_MR_001.wav,MR_New_3주기/New_MR_001.wav,8000,16795,-5.0,-4.999999497698724,5.023012761284917e-07,1.0,False,0,1.4485050696989897e+19,0.010230737507629427,0.032352432667423256
SNR_-8db,MR,New_MR_001.wav,MR_New_3주기/New_MR_001.wav,8000,16795,-8.0,-8.000002036723048,-2.036723047993405e-06,0.7430897815349378,True,0,1.1260819905862834e+19,0.010230737507629427,0.06455158969887774
original,MR,New_MR_002.wav,MR_New_3주기/New_MR_002.wav,8000,16676,,,,1.0,False,0,,,
SNR_8db,MR,New_MR_002.wav,MR_New_3주기/New_MR_002.wav,8000,16676,8.0,8.00001799616149,1.7996161490785312e-05,1.0,False,0,9.585289795159886e+18,0.009528168916419008,0.0015101130052252068
SNR_5db,MR,New_MR_002.wav,MR_New_3주기/New_MR_002.wav,8000,16676,5.0,4.999995180842788,-4.819157211954916e-06,1.0,False,0,1.0457164226220436e+18,0.009528168916419008,0.0030130715706702584
SNR_0db,MR,New_MR_002.wav,MR_New_3주기/New_MR_002.wav,8000,16676,0.0,-8.27140311307468e-06,-8.27140311307468e-06,1.0,False,0,1.970563569203307e+18,0.009528168916419008,0.009528168916419008
SNR_-5db,MR,New_MR_002.wav,MR_New_3주기/New_MR_002.wav,8000,16676,-5.0,-5.000000746376071,-7.463760711701184e-07,0.9907475448172448,True,0,1.1925290890658994e+19,0.009528168916419008,0.030130715706702584
SNR_-8db,MR,New_MR_002.wav,MR_New_3주기/New_MR_002.wav,8000,16676,-8.0,-8.000001327047508,-1.327047508326018e-06,0.830111258945361,True,0,8.706060310317825e+18,0.009528168916419008,0.06011868157262458
original,MS,New_MS_001.wav,MS_New_3주기/New_MS_001.wav,8000,23626,,,,1.0,False,0,,,
SNR_8db,MS,New_MS_001.wav,MS_New_3주기/New_MS_001.wav,8000,23626,8.0,7.999997512012484,-2.4879875155647824e-06,1.0,False,0,8.038353239346154e+18,0.014165081219456116,0.0022450140795374765
SNR_5db,MS,New_MS_001.wav,MS_New_3주기/New_MS_001.wav,8000,23626,5.0,4.999997413178307,-2.5868216928515153e-06,1.0,False,0,1.0866582090513727e+19,0.014165081219456116,0.004479391989475673
SNR_0db,MS,New_MS_001.wav,MS_New_3주기/New_MS_001.wav,8000,23626,0.0,-2.6079335139951553e-06,-2.6079335139951553e-06,0.8856312300238102,True,0,9.814059779184826e+18,0.014165081219456116,0.014165081219456116
SNR_-5db,MS,New_MS_001.wav,MS_New_3주기/New_MS_001.wav,8000,23626,-5.0,-5.000000338694164,-3.386941642702368e-07,0.9093126453307332,True,0,1.4497752700388813e+19,0.014165081219456116,0.044793919894756735
SNR_-8db,MS,New_MS_001.wav,MS_New_3주기/New_MS_001.wav,8000,23626,-8.0,-8.00000102000388,-1.0200038804697442e-06,0.6595785993345754,True,0,2.3931850387466592e+17,0.014165081219456116,0.08937562030574289
original,MS,New_MS_002.wav,MS_New_3주기/New_MS_002.wav,8000,23050,,,,1.0,False,0,,,
SNR_8db,MS,New_MS_002.wav,MS_New_3주기/New_MS_002.wav,8000,23050,8.0,8.000001556628176,1.5566281756917988e-06,1.0,False,0,2.734100008661076e+18,0.014191818653228097,0.0022492516772143856
SNR_5db,MS,New_MS_002.wav,MS_New_3주기/New_MS_002.wav,8000,23050,5.0,4.999984941480492,-1.5058519507782364e-05,1.0,False,0,1.6993531071481306e+18,0.014191818653228097,0.004487847108426411
SNR_0db,MS,New_MS_002.wav,MS_New_3주기/New_MS_002.wav,8000,23050,0.0,-6.118735080843164e-06,-6.118735080843164e-06,0.9409808870242559,True,0,1.3086763337118964e+19,0.014191818653228097,0.014191818653228097
SNR_-5db,MS,New_MS_002.wav,MS_New_3주기/New_MS_002.wav,8000,23050,-5.0,-5.000001982520277,-1.9825202768330996e-06,0.7874855972526014,True,0,1.2034191161334378e+19,0.014191818653228097,0.044878471084264106
SNR_-8db,MS,New_MS_002.wav,MS_New_3주기/New_MS_002.wav,8000,23050,-8.0,-8.000004073363336,-4.0733633355216625e-06,0.6673549231166305,True,0,1.0056970307939475e+19,0.014191818653228097,0.08954432210785272
original,MVP,New_MVP_001.wav,MVP_New_3주기/New_MVP_001.wav,8000,22311,,,,1.0,False,0,,,
SNR_8db,MVP,New_MVP_001.wav,MVP_New_3주기/New_MVP_001.wav,8000,22311,8.0,8.000001188414437,1.1884144370810645e-06,1.0,False,0,2.0914058643066048e+18,0.009840960110631672,0.00155968706866215
SNR_5db,MVP,New_MVP_001.wav,MVP_New_3주기/New_MVP_001.wav,8000,22311,5.0,4.999995430816306,-4.569183693625689e-06,1.0,False,0,1.0325071141212314e+19,0.009840960110631672,0.0031119848312458676
SNR_0db,MVP,New_MVP_001.wav,MVP_New_3주기/New_MVP_001.wav,8000,22311,0.0,-4.107578279212586e-06,-4.107578279212586e-06,1.0,False,0,1.673712198473569e+19,0.009840960110631672,0.009840960110631672
SNR_-5db,MVP,New_MVP_001.wav,MVP_New_3주기/New_MVP_001.wav,8000,22311,-5.0,-5.000003130328503,-3.13032850307593e-06,0.9916130714751326,True,0,5.263420079712505e+18,0.009840960110631672,0.031119848312458676
SNR_-8db,MVP,New_MVP_001.wav,MVP_New_3주기/New_MVP_001.wav,8000,22311,-8.0,-7.999998296097809,1.7039021908971108e-06,0.8793215392819722,True,0,1.16118498467991e+19,0.009840960110631672,0.062092260585396686
original,MVP,New_MVP_002.wav,MVP_New_3주기/New_MVP_002.wav,8000,31801,,,,1.0,False,0,,,
SNR_8db,MVP,New_MVP_002.wav,MVP_New_3주기/New_MVP_002.wav,8000,31801,8.0,8.000005897741127,5.897741127469658e-06,0.8189969987177291,True,0,1.8741288959590566e+18,0.04056359390569124,0.0064288963842887145
SNR_5db,MVP,New_MVP_002.wav,MVP_New_3주기/New_MVP_002.wav,8000,31801,5.0,4.999997106136927,-2.893863072728209e-06,0.7302166016120872,True,0,2.705134543093029e+18,0.04056359390569124,0.012827334682410962
SNR_0db,MVP,New_MVP_002.wav,MVP_New_3주기/New_MVP_002.wav,8000,31801,0.0,-4.0006997161631994e-06,-4.0006997161631994e-06,0.6090432321482823,True,0,1.8366600223456301e+19,0.04056359390569124,0.04056359390569124
SNR_-5db,MVP,New_MVP_002.wav,MVP_New_3주기/New_MVP_002.wav,8000,31801,-5.0,-5.000001832770668,-1.8327706676757316e-06,0.4379414242294265,True,0,1.831942174975831e+19,0.04056359390569124,0.12827334682410962
SNR_-8db,MVP,New_MVP_002.wav,MVP_New_3주기/New_MVP_002.wav,8000,31801,-8.0,-7.999996229806747,3.770193252705667e-06,0.37938871209724495,True,0,1.9102182175617098e+18,0.04056359390569124,0.25593897493307893
original,N,New_N_001.wav,N_New_3주기/New_N_001.wav,8000,16837,,,,1.0,False,0,,,
SNR_8db,N,New_N_001.wav,N_New_3주기/New_N_001.wav,8000,16837,8.0,8.000014248168286,1.4248168286101759e-05,1.0,False,0,1.8252122796772977e+19,0.01946134334396357,0.0030844150581996257
SNR_5db,N,New_N_001.wav,N_New_3주기/New_N_001.wav,8000,16837,5.0,5.000002388816598,2.388816597864718e-06,1.0,False,0,4.31467372479201e+17,0.01946134334396357,0.006154217129348257
SNR_0db,N,New_N_001.wav,N_New_3주기/New_N_001.wav,8000,16837,0.0,-7.883781414797625e-06,-7.883781414797625e-06,0.8948048676587594,True,0,4.654771844040931e+18,0.01946134334396357,0.01946134334396357
SNR_-5db,N,New_N_001.wav,N_New_3주기/New_N_001.wav,8000,16837,-5.0,-5.0000001242783645,-1.242783644883616e-07,0.7858253747869458,True,0,1.4696705078932955e+19,0.01946134334396357,0.06154217129348258
SNR_-8db,N,New_N_001.wav,N_New_3주기/New_N_001.wav,8000,16837,-8.0,-8.000002271961273,-2.271961273336842e-06,0.6006579357336779,True,0,5.609917409143157e+18,0.01946134334396357,0.12279277516324538
original,N,New_N_002.wav,N_New_3주기/New_N_002.wav,8000,16956,,,,1.0,False,0,,,
SNR_8db,N,New_N_002.wav,N_New_3주기/New_N_002.wav,8000,16956,8.0,8.000007194853684,7.194853683500924e-06,1.0,False,0,1.6275457915534766e+19,0.019828338472172177,0.0031425798662360477
SNR_5db,N,New_N_002.wav,N_New_3주기/New_N_002.wav,8000,16956,5.0,5.000004858504479,4.858504478733039e-06,1.0,False,0,5.879802845887949e+18,0.019828338472172177,0.006270271178880729
SNR_0db,N,New_N_002.wav,N_New_3주기/New_N_002.wav,8000,16956,0.0,-5.008050587007955e-06,-5.008050587007955e-06,0.9276527712760698,True,0,1.4171560715299144e+18,0.019828338472172177,0.019828338472172177
SNR_-5db,N,New_N_002.wav,N_New_3주기/New_N_002.wav,8000,16956,-5.0,-5.000000378410939,-3.784109390281287e-07,0.7260657394785701,True,0,1.0669693102558919e+19,0.019828338472172177,0.06270271178880729
SNR_-8db,N,New_N_002.wav,N_New_3주기/New_N_002.wav,8000,16956,-8.0,-8.000001258921621,-1.2589216211722487e-06,0.5054565436601168,True,0,2.3734153403204787e+18,0.019828338472172177,0.1251083578785621
