representacion,fold,vectores_totales,grupos_duplicados,vectores_en_grupos_duplicados,huellas_compartidas_train_test
STFT,1,1000,0,0,0
STFT,2,1000,0,0,0
STFT,3,1000,0,0,0
STFT,4,1000,0,0,0
STFT,5,1000,0,0,0
MFCC,1,1000,0,0,0
MFCC,2,1000,0,0,0
MFCC,3,1000,0,0,0
MFCC,4,1000,0,0,0
MFCC,5,1000,0,0,0
MelSpectrogram,1,1000,0,0,0
MelSpectrogram,2,1000,0,0,0
MelSpectrogram,3,1000,0,0,0
MelSpectrogram,4,1000,0,0,0
MelSpectrogram,5,1000,0,0,0
LogMelSpectrogram,1,1000,0,0,0
LogMelSpectrogram,2,1000,0,0,0
LogMelSpectrogram,3,1000,0,0,0
LogMelSpectrogram,4,1000,0,0,0
LogMelSpectrogram,5,1000,0,0,0
DeepONMF_W,1,1000,0,0,0
DeepONMF_W,2,1000,0,0,0
DeepONMF_W,3,1000,0,0,0
DeepONMF_W,4,1000,0,0,0
DeepONMF_W,5,1000,0,0,0
DeepONMF_H3,1,1000,0,0,0
DeepONMF_H3,2,1000,0,0,0
DeepONMF_H3,3,1000,0,0,0
DeepONMF_H3,4,1000,0,0,0
DeepONMF_H3,5,1000,0,0,0
DeepONMF_Mejorado,1,1000,0,0,0
DeepONMF_Mejorado,2,1000,0,0,0
DeepONMF_Mejorado,3,1000,0,0,0
DeepONMF_Mejorado,4,1000,0,0,0
DeepONMF_Mejorado,5,1000,0,0,0
DeepONMF_F8,1,1000,0,0,0
DeepONMF_F8,2,1000,0,0,0
DeepONMF_F8,3,1000,0,0,0
DeepONMF_F8,4,1000,0,0,0
DeepONMF_F8,5,1000,0,0,0
