indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos
0,SNR_5db,N,New_N_001.wav,8,DeepONMF_H1,1,nndsvd,0.22804916412936713,8x212,0.011387099977582693,8,0.22804916412936713,0.28525208378754724,0.01039339997805655
1,SNR_5db,N,New_N_002.wav,8,DeepONMF_H1,1,nndsvd,0.22898908871907706,8x212,0.010905000031925738,8,0.22898908871907706,0.2723044165715746,0.010094400029629469
2,SNR_5db,AS,New_AS_001.wav,8,DeepONMF_H1,1,nndsvd,0.27543214201334304,8x212,0.01110780006274581,8,0.27543214201334304,0.29040858345391873,0.010309799923561513
3,SNR_5db,AS,New_AS_002.wav,8,DeepONMF_H1,1,nndsvd,0.2641766320277959,8x212,0.009808699949644506,8,0.2641766320277959,0.2758237900022257,0.00912980001885444
4,SNR_5db,MR,New_MR_001.wav,8,DeepONMF_H1,1,nndsvd,0.26652630262845245,8x212,0.01083210005890578,8,0.26652630262845245,0.30593079029259573,0.010137500008568168
5,SNR_5db,MR,New_MR_002.wav,8,DeepONMF_H1,1,nndsvd,0.27946527220795275,8x212,0.010861400049179792,8,0.27946527220795275,0.27466041952918846,0.010174700058996677
6,SNR_5db,MS,New_MS_001.wav,8,DeepONMF_H1,1,nndsvd,0.24812113180934678,8x212,0.010892700054682791,8,0.24812113180934678,0.2885480653585289,0.009945499943569303
7,SNR_5db,MS,New_MS_002.wav,8,DeepONMF_H1,1,nndsvd,0.24649113432879763,8x212,0.011196400038897991,8,0.24649113432879763,0.2785133846240107,0.010429499903693795
8,SNR_5db,MVP,New_MVP_001.wav,8,DeepONMF_H1,1,nndsvd,0.25895352040164726,8x212,0.011331500019878149,8,0.25895352040164726,0.2186858663920129,0.010576499975286424
9,SNR_5db,MVP,New_MVP_002.wav,8,DeepONMF_H1,1,nndsvd,0.22115211654184552,8x212,0.010352800018154085,8,0.22115211654184552,0.22161644800836777,0.00961710000410676
