distribucion,numero_capas,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte,origen
10-6-4,3,KNN,DeepONMF_H3,1,PROMEDIO_MACRO,168,768,32,32,0.936,0.8400000000000001,0.96,0.8558873701537859,0.9,200,anterior
10-6-4,3,KNN,DeepONMF_H3,2,PROMEDIO_MACRO,167,767,33,33,0.934,0.835,0.95875,0.8484959981878587,0.896875,200,anterior
10-6-4,3,KNN,DeepONMF_H3,3,PROMEDIO_MACRO,162,762,38,38,0.924,0.8099999999999999,0.9525,0.8146568225979991,0.88125,200,anterior
10-6-4,3,KNN,DeepONMF_H3,4,PROMEDIO_MACRO,168,768,32,32,0.936,0.8399999999999999,0.9600000000000002,0.8437743006164059,0.9,200,anterior
10-6-4,3,KNN,DeepONMF_H3,5,PROMEDIO_MACRO,168,768,32,32,0.936,0.8400000000000001,0.96,0.8671406371406372,0.9,200,anterior
10-6-4,3,KNN,DeepONMF_W,1,PROMEDIO_MACRO,133,733,67,67,0.866,0.665,0.91625,0.6850787912495365,0.790625,200,anterior
10-6-4,3,KNN,DeepONMF_W,2,PROMEDIO_MACRO,112,712,88,88,0.8240000000000001,0.5599999999999999,0.8899999999999999,0.584474614061939,0.725,200,anterior
10-6-4,3,KNN,DeepONMF_W,3,PROMEDIO_MACRO,130,730,70,70,0.86,0.65,0.9125,0.6723670199532268,0.78125,200,anterior
10-6-4,3,KNN,DeepONMF_W,4,PROMEDIO_MACRO,128,728,72,72,0.8560000000000001,0.6399999999999999,0.91,0.6614453463203464,0.775,200,anterior
10-6-4,3,KNN,DeepONMF_W,5,PROMEDIO_MACRO,122,722,78,78,0.8440000000000001,0.6100000000000001,0.9025,0.6440443510737628,0.75625,200,anterior
10-6-4,3,SVM,DeepONMF_H3,1,PROMEDIO_MACRO,176,776,24,24,0.952,0.8799999999999999,0.97,0.8894832944832946,0.925,200,anterior
10-6-4,3,SVM,DeepONMF_H3,2,PROMEDIO_MACRO,174,774,26,26,0.948,0.8700000000000001,0.9675,0.8707136993038651,0.91875,200,anterior
10-6-4,3,SVM,DeepONMF_H3,3,PROMEDIO_MACRO,178,778,22,22,0.956,0.89,0.9725,0.8903023784666917,0.93125,200,anterior
10-6-4,3,SVM,DeepONMF_H3,4,PROMEDIO_MACRO,179,779,21,21,0.958,0.8949999999999999,0.97375,0.8948403666824719,0.934375,200,anterior
10-6-4,3,SVM,DeepONMF_H3,5,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.930299740850646,0.953125,200,anterior
10-6-4,3,SVM,DeepONMF_W,1,PROMEDIO_MACRO,148,748,52,52,0.8960000000000001,0.74,0.935,0.7572577953447519,0.8375,200,anterior
10-6-4,3,SVM,DeepONMF_W,2,PROMEDIO_MACRO,142,742,58,58,0.884,0.7100000000000001,0.9275,0.7185220192275062,0.81875,200,anterior
10-6-4,3,SVM,DeepONMF_W,3,PROMEDIO_MACRO,151,751,49,49,0.902,0.7549999999999999,0.93875,0.7665105961576548,0.846875,200,anterior
10-6-4,3,SVM,DeepONMF_W,4,PROMEDIO_MACRO,146,746,54,54,0.892,0.7300000000000001,0.9325,0.7281403884539772,0.83125,200,anterior
