distribucion,numero_capas,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std,origen,pareja,sentido,tipo_matriz
17-11,2,UjaNet,DeepONMF_H2,0.9808,0.0083186537372341,0.952,0.0207966343430854,0.988,0.0051991585857713,0.9533010441133888,0.0197902156391248,0.97,0.0129978964644283,anterior,1,decreciente,H
11-17,2,UjaNet,DeepONMF_H2,0.9748,0.0114542568506211,0.937,0.0286356421265526,0.98425,0.0071589105316382,0.9390100356772482,0.0284841726448616,0.960625,0.0178972763290954,invertida_creciente,1,creciente,H
9-4,2,UjaNet,DeepONMF_H2,0.98,0.0074833147735479,0.95,0.0187082869338697,0.9875,0.0046770717334674,0.9506538268033028,0.0193144428124994,0.96875,0.0116926793336686,anterior,2,decreciente,H
4-9,2,UjaNet,DeepONMF_H2,0.9776,0.0100399203184089,0.944,0.0250998007960222,0.986,0.0062749501990056,0.9450014527297343,0.0246017090555629,0.965,0.0156873754975138,invertida_creciente,2,creciente,H
11-10,2,UjaNet,DeepONMF_H2,0.9796,0.0079246451024635,0.949,0.0198116127561589,0.98725,0.0049529031890397,0.9512789496768884,0.01686629036714,0.968125,0.0123822579725993,anterior,3,decreciente,H
10-11,2,UjaNet,DeepONMF_H2,0.9748,0.0113666177907062,0.937,0.0284165444767656,0.98425,0.0071041361191914,0.9375621409535192,0.0285958785678834,0.960625,0.0177603402979785,invertida_creciente,3,creciente,H
16-10,2,UjaNet,DeepONMF_H2,0.9796,0.0095289033996572,0.949,0.0238222584991432,0.9872499999999998,0.0059555646247857,0.9506232197925484,0.0240984347620717,0.968125,0.0148889115619645,anterior,4,decreciente,H
10-16,2,UjaNet,DeepONMF_H2,0.9716,0.0110815161417561,0.929,0.0277037903543901,0.98225,0.0069259475885975,0.9304994506289572,0.0273260221889277,0.955625,0.0173148689714938,invertida_creciente,4,creciente,H
9-8,2,UjaNet,DeepONMF_H2,0.9792,0.0113666177907063,0.948,0.0284165444767656,0.987,0.0071041361191914,0.9510511300502946,0.0255960998530201,0.9675,0.0177603402979785,anterior,5,decreciente,H
8-9,2,UjaNet,DeepONMF_H2,0.9764,0.01161034021896,0.941,0.0290258505473999,0.98525,0.00725646263685,0.9427373770784736,0.0274487073929229,0.963125,0.0181411565921249,invertida_creciente,5,creciente,H
14-8,2,UjaNet,DeepONMF_H2,0.9788,0.0110995495404093,0.947,0.0277488738510233,0.98675,0.0069372184627557,0.9480853689997792,0.0275770916509086,0.966875,0.0173430461568895,anterior,6,decreciente,H
8-14,2,UjaNet,DeepONMF_H2,0.9748,0.0078230428862431,0.937,0.0195576072156078,0.98425,0.0048894018039019,0.9389418216825424,0.0174300671980091,0.960625,0.0122235045097549,invertida_creciente,6,creciente,H
10-3,2,UjaNet,DeepONMF_H2,0.9788,0.0117132403714771,0.947,0.0292831009286926,0.98675,0.007320775232173,0.9479311250878888,0.028782538391307,0.966875,0.0183019380804329,anterior,7,decreciente,H
3-10,2,UjaNet,DeepONMF_H2,0.9736,0.0086486993241758,0.934,0.0216217483104396,0.9835,0.0054054370776099,0.9348186392622612,0.0211464500477473,0.95875,0.0135135926940247,invertida_creciente,7,creciente,H
17-10,2,UjaNet,DeepONMF_H2,0.9784,0.0121161049846887,0.946,0.0302902624617219,0.9865,0.0075725656154304,0.9486773211413456,0.0284525726328309,0.96625,0.0189314140385761,anterior,8,decreciente,H
10-17,2,UjaNet,DeepONMF_H2,0.974,0.0137113092008021,0.935,0.0342782730020051,0.98375,0.0085695682505013,0.9377558574795474,0.0316754215252402,0.959375,0.0214239206262532,invertida_creciente,8,creciente,H
7-4,2,UjaNet,DeepONMF_H2,0.9784,0.0043358966777357,0.946,0.0108397416943393,0.9865,0.0027099354235848,0.9474318812080104,0.0102501998496989,0.96625,0.0067748385589621,anterior,9,decreciente,H
4-7,2,UjaNet,DeepONMF_H2,0.976,0.0091651513899116,0.94,0.0229128784747792,0.985,0.0057282196186948,0.9420712921682411,0.0222350306203017,0.9625,0.014320549046737,invertida_creciente,9,creciente,H
9-8-7,3,UjaNet,DeepONMF_H3,0.9756,0.0105261578935526,0.939,0.0263153947338814,0.98475,0.0065788486834704,0.9403683132374544,0.0255635693468484,0.961875,0.0164471217086759,anterior,10,decreciente,H
7-8-9,3,UjaNet,DeepONMF_H3,0.978,0.0081240384046359,0.945,0.0203100960115898,0.98625,0.0050775240028974,0.9465155437796896,0.0195456568465092,0.965625,0.0126938100072437,invertida_creciente,10,creciente,H
