clase,archivo,ruta,variante_deep_onmf,F_001,F_002,F_003,F_004,F_005
AS,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_001.wav,afinidad_errores_por_base,1.2387164433794642,2.055608651739712,2.073026504876322,2.0847256966999965,2.082381907989409
AS,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_002.wav,afinidad_errores_por_base,1.2954928945106803,2.1084191115988524,2.105582641657594,2.1643553854161337,2.139114770768316
AS,New_AS_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_003.wav,afinidad_errores_por_base,1.1606267299905573,2.088340029646642,2.069926871282326,2.086689814431636,2.1104884132901813
AS,New_AS_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_004.wav,afinidad_errores_por_base,1.2153224626084143,2.117850764547229,2.0926048373068915,2.109662413991541,2.1363306765993384
AS,New_AS_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_005.wav,afinidad_errores_por_base,1.2366681609908694,2.0907763855447015,2.0683976392680807,2.1287992509203875,2.1084948712341354
AS,New_AS_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_006.wav,afinidad_errores_por_base,1.1912057187060194,2.0720254239692997,2.0652805067333,2.1395398083847645,2.102598599861089
AS,New_AS_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_007.wav,afinidad_errores_por_base,1.1990229320216343,2.035364440468967,2.0429258348850463,2.081384905046248,2.078887555382938
AS,New_AS_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_008.wav,afinidad_errores_por_base,1.2451235767656375,2.114405620738477,2.115944112181384,2.1877628723415636,2.1356319542340363
AS,New_AS_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_009.wav,afinidad_errores_por_base,1.2129538116285068,2.070436431194968,2.0760488722858343,2.1417537955665544,2.1008853577964164
AS,New_AS_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_010.wav,afinidad_errores_por_base,1.206956870894988,2.0685821727448843,2.0641586638171106,2.103114797676245,2.093982929599361
AS,New_AS_011.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_011.wav,afinidad_errores_por_base,1.2242577610032686,2.105201868815001,2.1094713949800554,2.1738381832287748,2.1262493273066085
AS,New_AS_012.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_012.wav,afinidad_errores_por_base,1.2595950938080116,2.121083957482029,2.1256600607473493,2.1672074644673307,2.129770818880285
