indice_interno,base,clase,etiqueta_binaria,archivo,ruta,duracion_s,rellenado_menor_2s,tramas_pcg
0,SNR_-5db,N,normal,New_N_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\SNR_-5db\N_New_3주기\New_N_001.wav,2.104625,False,1
1,SNR_-5db,N,normal,New_N_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\SNR_-5db\N_New_3주기\New_N_002.wav,2.1195,False,1
2,SNR_-5db,AS,anomalo,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\SNR_-5db\AS_New_3주기\New_AS_001.wav,2.606125,False,1
3,SNR_-5db,AS,anomalo,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\SNR_-5db\AS_New_3주기\New_AS_002.wav,2.60675,False,1
4,SNR_-5db,MR,anomalo,New_MR_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\SNR_-5db\MR_New_3주기\New_MR_001.wav,2.099375,False,1
5,SNR_-5db,MR,anomalo,New_MR_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\SNR_-5db\MR_New_3주기\New_MR_002.wav,2.0845,False,1
6,SNR_-5db,MS,anomalo,New_MS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\SNR_-5db\MS_New_3주기\New_MS_001.wav,2.95325,False,1
7,SNR_-5db,MS,anomalo,New_MS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\SNR_-5db\MS_New_3주기\New_MS_002.wav,2.88125,False,1
8,SNR_-5db,MVP,anomalo,New_MVP_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\SNR_-5db\MVP_New_3주기\New_MVP_001.wav,2.788875,False,1
9,SNR_-5db,MVP,anomalo,New_MVP_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\SNR_-5db\MVP_New_3주기\New_MVP_002.wav,3.975125,False,2
