metodo,codigo_metodo,clase,capa,rango,entrada,W,H,error_relativo,ortogonalidad_media,segundos
Aleatoria actual,aleatoria_actual,N,1,9,126 x 42612,126 x 9,9 x 42612,0.053461241054916925,0.7210889528512922,2.5450086999917403
Aleatoria actual,aleatoria_actual,N,2,8,9 x 42612,9 x 8,8 x 42612,0.15398368711522537,0.3891014825710411,1.192666899994947
Aleatoria actual,aleatoria_actual,N,3,7,8 x 42612,8 x 7,7 x 42612,0.25265979947537426,0.2591485394264449,1.0988003999227658
Aleatoria actual,aleatoria_actual,AS,1,9,126 x 49184,126 x 9,9 x 49184,0.12240379672242907,0.34151505088027134,2.963254899950698
Aleatoria actual,aleatoria_actual,AS,2,8,9 x 49184,9 x 8,8 x 49184,0.15689794650659528,0.21115138013385457,1.4972592999693006
Aleatoria actual,aleatoria_actual,AS,3,7,8 x 49184,8 x 7,7 x 49184,0.26275736031781627,0.16772277253978612,1.3325803000479937
Aleatoria actual,aleatoria_actual,MR,1,9,126 x 43248,126 x 9,9 x 43248,0.11986988931894378,0.35430589669103146,2.4173548000399023
Aleatoria actual,aleatoria_actual,MR,2,8,9 x 43248,9 x 8,8 x 43248,0.19357450957926775,0.21066814661946717,1.11830169998575
Aleatoria actual,aleatoria_actual,MR,3,7,8 x 43248,8 x 7,7 x 43248,0.27083228131966774,0.16832981952087692,0.9924621999962255
Aleatoria actual,aleatoria_actual,MS,1,9,126 x 45156,126 x 9,9 x 45156,0.06810810564578329,0.5242992754650014,2.7134781000204384
Aleatoria actual,aleatoria_actual,MS,2,8,9 x 45156,9 x 8,8 x 45156,0.15074543684872957,0.2899845027065705,1.395566999912262
Aleatoria actual,aleatoria_actual,MS,3,7,8 x 45156,8 x 7,7 x 45156,0.2850292312258245,0.2209764417518749,1.1547363999998197
Aleatoria actual,aleatoria_actual,MVP,1,9,126 x 43248,126 x 9,9 x 43248,0.09467084426280077,0.46864933253921315,2.574685699888505
Aleatoria actual,aleatoria_actual,MVP,2,8,9 x 43248,9 x 8,8 x 43248,0.1405551169142583,0.24890270342136503,1.0787922999588773
Aleatoria actual,aleatoria_actual,MVP,3,7,8 x 43248,8 x 7,7 x 43248,0.2541050238597035,0.1720405163178918,0.9366984999505803
NNDSVD,nndsvd,N,1,9,126 x 42612,126 x 9,9 x 42612,0.0851456060910294,0.6383515539154796,3.4392996999667957
NNDSVD,nndsvd,N,2,8,9 x 42612,9 x 8,8 x 42612,0.19400487730856802,0.4064265764841371,1.0887892000610009
NNDSVD,nndsvd,N,3,7,8 x 42612,8 x 7,7 x 42612,0.23714825312725618,0.29660831146179856,0.9371434999629855
NNDSVD,nndsvd,AS,1,9,126 x 49184,126 x 9,9 x 49184,0.15361936886345975,0.35941505858569356,3.663564399932511
NNDSVD,nndsvd,AS,2,8,9 x 49184,9 x 8,8 x 49184,0.18322791791214194,0.23401260040712263,1.2193200000328943
NNDSVD,nndsvd,AS,3,7,8 x 49184,8 x 7,7 x 49184,0.24749451097066683,0.19850749088618888,1.154857899993658
NNDSVD,nndsvd,MR,1,9,126 x 43248,126 x 9,9 x 43248,0.14296799969534033,0.3505339720289314,3.2088838999625295
NNDSVD,nndsvd,MR,2,8,9 x 43248,9 x 8,8 x 43248,0.18389909412863176,0.23273551464387718,1.1267328999238089
NNDSVD,nndsvd,MR,3,7,8 x 43248,8 x 7,7 x 43248,0.25277701803729724,0.18971156366429984,0.9631914000492543
NNDSVD,nndsvd,MS,1,9,126 x 45156,126 x 9,9 x 45156,0.10937442907152667,0.5127524555311438,3.394484500051476
NNDSVD,nndsvd,MS,2,8,9 x 45156,9 x 8,8 x 45156,0.1777854408375814,0.3108205122277747,1.1207902000751346
NNDSVD,nndsvd,MS,3,7,8 x 45156,8 x 7,7 x 45156,0.24445974297794232,0.23568603279853662,1.0072091000620276
NNDSVD,nndsvd,MVP,1,9,126 x 43248,126 x 9,9 x 43248,0.15063305857658738,0.4624945498316692,3.2685387999517843
NNDSVD,nndsvd,MVP,2,8,9 x 43248,9 x 8,8 x 43248,0.22301039890260002,0.2749061389716,1.0537773999385536
NNDSVD,nndsvd,MVP,3,7,8 x 43248,8 x 7,7 x 43248,0.2221237610262555,0.19776547978504297,1.0238730000564829
NNDSVDa,nndsvda,N,1,9,126 x 42612,126 x 9,9 x 42612,0.042861079605086116,0.7194554596249987,3.546072000055574
NNDSVDa,nndsvda,N,2,8,9 x 42612,9 x 8,8 x 42612,0.15639436478032098,0.3873154565867757,1.0206683999858797
NNDSVDa,nndsvda,N,3,7,8 x 42612,8 x 7,7 x 42612,0.24075106926129825,0.25257267255131904,0.9297309999819845
NNDSVDa,nndsvda,AS,1,9,126 x 49184,126 x 9,9 x 49184,0.12768693652945312,0.34646248592723006,3.7773684000130743
NNDSVDa,nndsvda,AS,2,8,9 x 49184,9 x 8,8 x 49184,0.18730674592038532,0.21023117941691924,1.244891499984078
