base,clase,archivo,ruta_relativa,frecuencia_hz,muestras,snr_objetivo_db,snr_real_db,error_snr_db,factor_antirecorte,escalado_antirecorte,muestras_saturadas,semilla_ruido,potencia_senal,potencia_ruido_objetivo
original,AS,New_AS_001.wav,AS_New_3주기/New_AS_001.wav,8000,20849,,,,1.0,False,0,,,
SNR_8db,AS,New_AS_001.wav,AS_New_3주기/New_AS_001.wav,8000,20849,8.0,7.999996146177926,-3.853822073907054e-06,0.8058309316861979,True,0,5.190046822048512e+18,0.05394445144433736,0.008549619386517935
SNR_5db,AS,New_AS_001.wav,AS_New_3주기/New_AS_001.wav,8000,20849,5.0,5.000002463963485,2.463963484800047e-06,0.7118550736676957,True,0,1.4409992062047451e+19,0.05394445144433736,0.01705873336924659
SNR_0db,AS,New_AS_001.wav,AS_New_3주기/New_AS_001.wav,8000,20849,0.0,3.742034488953295e-06,3.742034488953295e-06,0.6365646149300186,True,0,5.226288454439549e+18,0.05394445144433736,0.05394445144433736
SNR_-5db,AS,New_AS_001.wav,AS_New_3주기/New_AS_001.wav,8000,20849,-5.0,-4.999998981279417,1.0187205825573642e-06,0.434638826784864,True,0,1.3674670526536872e+19,0.05394445144433736,0.1705873336924659
SNR_-8db,AS,New_AS_001.wav,AS_New_3주기/New_AS_001.wav,8000,20849,-8.0,-7.9999969658951855,3.03410481450328e-06,0.37357512193927706,True,0,1.5463104506368586e+19,0.05394445144433736,0.3403664783275983
original,AS,New_AS_002.wav,AS_New_3주기/New_AS_002.wav,8000,20854,,,,1.0,False,0,,,
SNR_8db,AS,New_AS_002.wav,AS_New_3주기/New_AS_002.wav,8000,20854,8.0,8.000000992817853,9.928178528184617e-07,0.8351248129722866,True,0,7.720149838399567e+18,0.05405553179611118,0.008567224435852186
SNR_5db,AS,New_AS_002.wav,AS_New_3주기/New_AS_002.wav,8000,20854,5.0,5.000005440318651,5.440318650684617e-06,0.7253180319908585,True,0,1.4764573235854182e+19,0.05405553179611118,0.017093860060736387
SNR_0db,AS,New_AS_002.wav,AS_New_3주기/New_AS_002.wav,8000,20854,0.0,2.4692117717383824e-06,2.4692117717383824e-06,0.5914167093286699,True,0,6.374824387958502e+18,0.05405553179611118,0.05405553179611118
SNR_-5db,AS,New_AS_002.wav,AS_New_3주기/New_AS_002.wav,8000,20854,-5.0,-5.000001852193607,-1.852193607376762e-06,0.40546303015512597,True,0,1.1672164658596902e+18,0.05405553179611118,0.1709386006073639
SNR_-8db,AS,New_AS_002.wav,AS_New_3주기/New_AS_002.wav,8000,20854,-8.0,-8.000002271433551,-2.2714335514706363e-06,0.3773463789361009,True,0,1.3509357616243063e+19,0.05405553179611118,0.3410673479653896
original,AS,New_AS_003.wav,AS_New_3주기/New_AS_003.wav,8000,20883,,,,1.0,False,0,,,
SNR_8db,AS,New_AS_003.wav,AS_New_3주기/New_AS_003.wav,8000,20883,8.0,7.999995372566596,-4.62743340357008e-06,0.8033723766987889,True,0,1.410643411748897e+19,0.05337457655582197,0.008459300303381677
SNR_5db,AS,New_AS_003.wav,AS_New_3주기/New_AS_003.wav,8000,20883,5.0,4.999997511941361,-2.488058639116275e-06,0.7399892847402432,True,0,4.289896976248821e+18,0.05337457655582197,0.01687852310634227
SNR_0db,AS,New_AS_003.wav,AS_New_3주기/New_AS_003.wav,8000,20883,0.0,4.1075224990152665e-06,4.1075224990152665e-06,0.6259076717228459,True,0,3.167553019533306e+18,0.05337457655582197,0.05337457655582197
SNR_-5db,AS,New_AS_003.wav,AS_New_3주기/New_AS_003.wav,8000,20883,-5.0,-5.000000433688399,-4.33688398970844e-07,0.44879436057951483,True,0,1.7743503785647194e+19,0.05337457655582197,0.16878523106342275
SNR_-8db,AS,New_AS_003.wav,AS_New_3주기/New_AS_003.wav,8000,20883,-8.0,-8.000006802176912,-6.802176912401592e-06,0.3300672088898676,True,0,3.129308450462553e+18,0.05337457655582197,0.3367708108641621
original,AS,New_AS_004.wav,AS_New_3주기/New_AS_004.wav,8000,20871,,,,1.0,False,0,,,
SNR_8db,AS,New_AS_004.wav,AS_New_3주기/New_AS_004.wav,8000,20871,8.0,7.999997211962252,-2.788037748224781e-06,0.8083703801962132,True,0,9.541637549488214e+18,0.05360722210038523,0.00849617213736515
SNR_5db,AS,New_AS_004.wav,AS_New_3주기/New_AS_004.wav,8000,20871,5.0,4.999997505219348,-2.4947806522845895e-06,0.7575251182825041,True,0,1.3024645879497347e+19,0.05360722210038523,0.016952092087173284
SNR_0db,AS,New_AS_004.wav,AS_New_3주기/New_AS_004.wav,8000,20871,0.0,1.3123864041326328e-06,1.3123864041326328e-06,0.5542430658344251,True,0,1.5067150868099013e+19,0.05360722210038523,0.05360722210038523
SNR_-5db,AS,New_AS_004.wav,AS_New_3주기/New_AS_004.wav,8000,20871,-5.0,-4.999994513884259,5.486115741248909e-06,0.4817789233723514,True,0,8.037250329012303e+18,0.05360722210038523,0.16952092087173284
SNR_-8db,AS,New_AS_004.wav,AS_New_3주기/New_AS_004.wav,8000,20871,-8.0,-8.000002759610028,-2.7596100284910108e-06,0.38533847876079097,True,0,1.8357518725937609e+19,0.05360722210038523,0.33823870501418996
original,AS,New_AS_005.wav,AS_New_3주기/New_AS_005.wav,8000,20990,,,,1.0,False,0,,,
SNR_8db,AS,New_AS_005.wav,AS_New_3주기/New_AS_005.wav,8000,20990,8.0,7.999984450035153,-1.5549964847316744e-05,0.8730139255439956,True,0,1.1276843507725758e+19,0.0511498021201034,0.00810669731758849
SNR_5db,AS,New_AS_005.wav,AS_New_3주기/New_AS_005.wav,8000,20990,5.0,5.000004027927832,4.027927832161993e-06,0.8079126828149731,True,0,2.859629197807037e+18,0.0511498021201034,0.01617498765664362
SNR_0db,AS,New_AS_005.wav,AS_New_3주기/New_AS_005.wav,8000,20990,0.0,2.3009818392040375e-06,2.3009818392040375e-06,0.6455953830973827,True,0,8.87226697398369e+18,0.0511498021201034,0.0511498021201034
SNR_-5db,AS,New_AS_005.wav,AS_New_3주기/New_AS_005.wav,8000,20990,-5.0,-4.999999469988576,5.300114240824882e-07,0.4745252352250803,True,0,1.4521818965730314e+19,0.0511498021201034,0.1617498765664362
SNR_-8db,AS,New_AS_005.wav,AS_New_3주기/New_AS_005.wav,8000,20990,-8.0,-8.000002049857148,-2.049857148023193e-06,0.3934100482817955,True,0,8.408330805513318e+17,0.0511498021201034,0.32273343316387804
original,AS,New_AS_006.wav,AS_New_3주기/New_AS_006.wav,8000,20814,,,,1.0,False,0,,,
SNR_8db,AS,New_AS_006.wav,AS_New_3주기/New_AS_006.wav,8000,20814,8.0,7.999993184710909,-6.815289091299803e-06,0.7813630805714552,True,0,1.4067503329736432e+19,0.05199772704947868,0.008241084362416985
SNR_5db,AS,New_AS_006.wav,AS_New_3주기/New_AS_006.wav,8000,20814,5.0,4.999993569524572,-6.430475427698923e-06,0.7241934243963853,True,0,1.1851846675506074e+19,0.05199772704947868,0.016443125062809948
SNR_0db,AS,New_AS_006.wav,AS_New_3주기/New_AS_006.wav,8000,20814,0.0,4.846713672862301e-06,4.846713672862301e-06,0.6071456835792759,True,0,7.220535043461974e+18,0.05199772704947868,0.05199772704947868
SNR_-5db,AS,New_AS_006.wav,AS_New_3주기/New_AS_006.wav,8000,20814,-5.0,-5.000000835858096,-8.358580956269179e-07,0.4942669864393156,True,0,4.5792797788909455e+18,0.05199772704947868,0.1644312506280995
SNR_-8db,AS,New_AS_006.wav,AS_New_3주기/New_AS_006.wav,8000,20814,-8.0,-8.000002235249967,-2.2352499673417014e-06,0.3588900544725486,True,0,2.0058905132101658e+17,0.05199772704947868,0.3280834777814498
original,AS,New_AS_007.wav,AS_New_3주기/New_AS_007.wav,8000,20869,,,,1.0,False,0,,,
SNR_8db,AS,New_AS_007.wav,AS_New_3주기/New_AS_007.wav,8000,20869,8.0,8.000005343416731,5.343416731307116e-06,0.8214688496966244,True,0,4.855645381981527e+18,0.052616597063992236,0.00833916864971907
SNR_5db,AS,New_AS_007.wav,AS_New_3주기/New_AS_007.wav,8000,20869,5.0,5.000000538234115,5.382341150550474e-07,0.7484027576573948,True,0,1.7979479859541522e+19,0.052616597063992236,0.016638828944954377
SNR_0db,AS,New_AS_007.wav,AS_New_3주기/New_AS_007.wav,8000,20869,0.0,2.3898837546101677e-06,2.3898837546101677e-06,0.6804317681795282,True,0,4.699723893064614e+18,0.052616597063992236,0.052616597063992236
SNR_-5db,AS,New_AS_007.wav,AS_New_3주기/New_AS_007.wav,8000,20869,-5.0,-4.999994986504922,5.013495077754726e-06,0.469352834808608,True,0,3.895489917129302e+17,0.052616597063992236,0.16638828944954379
SNR_-8db,AS,New_AS_007.wav,AS_New_3주기/New_AS_007.wav,8000,20869,-8.0,-7.999998909835576,1.0901644236227526e-06,0.4092716706442175,True,0,4.155848210717418e+18,0.052616597063992236,0.33198828359080873
original,AS,New_AS_008.wav,AS_New_3주기/New_AS_008.wav,8000,20801,,,,1.0,False,0,,,
SNR_8db,AS,New_AS_008.wav,AS_New_3주기/New_AS_008.wav,8000,20801,8.0,8.0000016659681,1.6659680994735027e-06,0.8101467696499488,True,0,7.550312422997771e+18,0.053138786250659396,0.008421930058431629
SNR_5db,AS,New_AS_008.wav,AS_New_3주기/New_AS_008.wav,8000,20801,5.0,5.000004550044579,4.55004457933228e-06,0.8024997993003358,True,0,1.5585257197150532e+19,0.053138786250659396,0.016803959664892284
SNR_0db,AS,New_AS_008.wav,AS_New_3주기/New_AS_008.wav,8000,20801,0.0,7.686291478714736e-06,7.686291478714736e-06,0.6124232410824382,True,0,1.5076783155638225e+19,0.053138786250659396,0.053138786250659396
SNR_-5db,AS,New_AS_008.wav,AS_New_3주기/New_AS_008.wav,8000,20801,-5.0,-4.999998680120635,1.3198793649138452e-06,0.4860965654471761,True,0,4.517204476256655e+17,0.053138786250659396,0.16803959664892285
SNR_-8db,AS,New_AS_008.wav,AS_New_3주기/New_AS_008.wav,8000,20801,-8.0,-8.000002818868598,-2.818868598097879e-06,0.38379002318218935,True,0,1.484806503139241e+19,0.053138786250659396,0.3352830746161666
original,AS,New_AS_009.wav,AS_New_3주기/New_AS_009.wav,8000,20898,,,,1.0,False,0,,,
SNR_8db,AS,New_AS_009.wav,AS_New_3주기/New_AS_009.wav,8000,20898,8.0,7.999988435044589,-1.1564955411103028e-05,0.8158245099143097,True,0,8.478121416066556e+18,0.05257215455670189,0.008332124986993032
SNR_5db,AS,New_AS_009.wav,AS_New_3주기/New_AS_009.wav,8000,20898,5.0,5.000004224906909,4.224906908767423e-06,0.7724250529432644,True,0,1.5805663560054168e+19,0.05257215455670189,0.016624774990157763
SNR_0db,AS,New_AS_009.wav,AS_New_3주기/New_AS_009.wav,8000,20898,0.0,3.2263669485828023e-07,3.2263669485828023e-07,0.5667602550188241,True,0,3.809040145521653e+17,0.05257215455670189,0.05257215455670189
SNR_-5db,AS,New_AS_009.wav,AS_New_3주기/New_AS_009.wav,8000,20898,-5.0,-4.999996697710794,3.3022892056422393e-06,0.431485449406686,True,0,1.1350613735023649e+19,0.05257215455670189,0.16624774990157765
SNR_-8db,AS,New_AS_009.wav,AS_New_3주기/New_AS_009.wav,8000,20898,-8.0,-8.000001802463174,-1.8024631742719066e-06,0.31915925303918696,True,0,1.0383540548971264e+18,0.05257215455670189,0.3317078703269892
original,AS,New_AS_010.wav,AS_New_3주기/New_AS_010.wav,8000,20899,,,,1.0,False,0,,,
SNR_8db,AS,New_AS_010.wav,AS_New_3주기/New_AS_010.wav,8000,20899,8.0,8.000000157805223,1.578052231110405e-07,0.814071124363611,True,0,1.4577704209494047e+19,0.053286968746165383,0.008445415401268561
SNR_5db,AS,New_AS_010.wav,AS_New_3주기/New_AS_010.wav,8000,20899,5.0,5.000005589236287,5.58923628712904e-06,0.7431448085153588,True,0,5.549109060568402e+18,0.053286968746165383,0.01685081908440894
SNR_0db,AS,New_AS_010.wav,AS_New_3주기/New_AS_010.wav,8000,20899,0.0,-7.434282017402006e-06,-7.434282017402006e-06,0.6190419788718967,True,0,4.511207832487483e+18,0.053286968746165383,0.053286968746165383
SNR_-5db,AS,New_AS_010.wav,AS_New_3주기/New_AS_010.wav,8000,20899,-5.0,-4.999998499712505,1.5002874951264289e-06,0.47598708750916097,True,0,1.7942735810244039e+19,0.053286968746165383,0.1685081908440894
SNR_-8db,AS,New_AS_010.wav,AS_New_3주기/New_AS_010.wav,8000,20899,-8.0,-7.999997886740079,2.1132599208328884e-06,0.3593548279837738,True,0,1.5184217827638209e+19,0.053286968746165383,0.3362180429547956
