clase,archivo,tSNE_1,tSNE_2
AS,New_AS_001.wav,-15.8112545,14.966733
AS,New_AS_002.wav,-15.957252,23.365917
AS,New_AS_003.wav,-18.88336,19.981571
AS,New_AS_004.wav,-18.89441,20.22863
AS,New_AS_005.wav,-14.59985,18.648989
AS,New_AS_006.wav,-17.110786,22.12284
AS,New_AS_007.wav,-16.669716,16.530869
AS,New_AS_008.wav,-14.430212,23.04812
AS,New_AS_009.wav,-16.929659,22.388119
AS,New_AS_010.wav,-14.936266,16.033632
AS,New_AS_011.wav,-16.323362,23.060856
AS,New_AS_012.wav,-14.088574,23.188198
AS,New_AS_013.wav,-17.483524,19.762415
AS,New_AS_014.wav,-15.89995,24.335741
AS,New_AS_015.wav,-17.691092,16.177013
AS,New_AS_016.wav,-15.806148,24.03137
AS,New_AS_017.wav,-13.167003,19.810453
AS,New_AS_018.wav,-15.2067585,22.53541
AS,New_AS_019.wav,-14.882882,14.957202
AS,New_AS_020.wav,-16.103065,21.851736
AS,New_AS_021.wav,-15.231895,15.213571
AS,New_AS_022.wav,-16.754894,21.981762
AS,New_AS_023.wav,-17.060377,15.334582
AS,New_AS_024.wav,-15.610166,21.802996
AS,New_AS_025.wav,-17.256899,19.74913
AS,New_AS_026.wav,-10.910341,21.195621
AS,New_AS_027.wav,-15.404258,21.013412
AS,New_AS_028.wav,-15.322587,16.545977
AS,New_AS_029.wav,-14.511515,17.800919
AS,New_AS_030.wav,-16.176914,20.481619
AS,New_AS_031.wav,-11.674003,17.428951
AS,New_AS_032.wav,-11.975916,22.356743
AS,New_AS_033.wav,-16.637104,15.168026
AS,New_AS_034.wav,-15.991813,21.133354
AS,New_AS_035.wav,-17.686377,19.343933
AS,New_AS_036.wav,-16.179989,17.652023
AS,New_AS_037.wav,-11.354288,22.142843
AS,New_AS_038.wav,-14.198572,16.888523
AS,New_AS_039.wav,-17.18155,20.198227
AS,New_AS_040.wav,-18.173058,20.85162
AS,New_AS_041.wav,-13.857163,22.346863
AS,New_AS_042.wav,-15.162364,17.07629
AS,New_AS_043.wav,-11.876102,21.389101
AS,New_AS_044.wav,-15.080346,18.143862
AS,New_AS_045.wav,-11.647536,22.654045
AS,New_AS_046.wav,-16.944942,16.665798
AS,New_AS_047.wav,-13.086281,20.917831
AS,New_AS_048.wav,-11.798505,22.37073
AS,New_AS_049.wav,2.783951,3.9971957
AS,New_AS_050.wav,0.0944384,1.2834219
AS,New_AS_051.wav,1.0584978,-1.7773297
AS,New_AS_052.wav,0.6314391,-1.8080494
AS,New_AS_053.wav,-0.028919399,0.76640165
AS,New_AS_054.wav,2.03924,1.4730875
AS,New_AS_055.wav,0.49962893,-2.2407994
AS,New_AS_056.wav,0.17965767,-0.79914457
AS,New_AS_057.wav,1.8779576,0.8716592
AS,New_AS_058.wav,1.8120321,1.1687529
AS,New_AS_059.wav,0.11895435,-0.6578245
AS,New_AS_060.wav,0.35959354,-2.487177
AS,New_AS_061.wav,1.5756856,1.9635464
AS,New_AS_062.wav,0.64039934,2.3217585
AS,New_AS_063.wav,0.5353623,-1.2116991
AS,New_AS_064.wav,0.6144662,-1.9654781
AS,New_AS_065.wav,2.9108882,4.07603
AS,New_AS_066.wav,0.7973994,-1.9863707
AS,New_AS_067.wav,2.5027769,1.3366644
AS,New_AS_068.wav,1.4788632,-0.9326031
AS,New_AS_069.wav,2.6063974,2.6209831
AS,New_AS_070.wav,0.4835182,2.2133212
AS,New_AS_071.wav,2.171606,2.0770547
AS,New_AS_072.wav,2.3262422,1.9315027
AS,New_AS_073.wav,2.0487974,0.7974755
AS,New_AS_074.wav,0.39911473,-1.6380273
AS,New_AS_075.wav,4.1365952,5.048451
AS,New_AS_076.wav,2.2459137,1.9133186
AS,New_AS_077.wav,-13.790576,20.142166
AS,New_AS_078.wav,-16.104412,18.399332
AS,New_AS_079.wav,-13.460768,21.896366
AS,New_AS_080.wav,-11.302509,22.054466
AS,New_AS_081.wav,-14.032094,20.053986
AS,New_AS_082.wav,-14.440502,21.275755
AS,New_AS_083.wav,-12.589922,16.938944
AS,New_AS_084.wav,-15.83551,16.55353
AS,New_AS_085.wav,-14.808354,22.848585
AS,New_AS_086.wav,-14.734626,18.204603
AS,New_AS_087.wav,-18.138176,21.640951
AS,New_AS_088.wav,-17.738194,20.754946
AS,New_AS_089.wav,-13.235558,24.75474
AS,New_AS_090.wav,-12.13142,21.374817
AS,New_AS_091.wav,-16.341883,17.214863
AS,New_AS_092.wav,-16.042376,20.294796
AS,New_AS_093.wav,-14.995586,19.556318
AS,New_AS_094.wav,-13.37885,17.061329
AS,New_AS_095.wav,-13.665933,18.614407
AS,New_AS_096.wav,-13.906063,18.656355
AS,New_AS_097.wav,-17.600582,20.423195
AS,New_AS_098.wav,-16.359632,19.991703
AS,New_AS_099.wav,-10.6957855,21.530628
AS,New_AS_100.wav,-15.999254,16.265617
AS,New_AS_101.wav,-12.344402,22.469635
AS,New_AS_102.wav,-13.165874,16.150152
AS,New_AS_103.wav,-14.899347,17.123434
