clase,archivo,tSNE_1,tSNE_2
AS,New_AS_001.wav,39.292625,-18.352034
AS,New_AS_002.wav,39.811207,-18.580746
AS,New_AS_003.wav,39.76215,-19.395977
AS,New_AS_004.wav,39.55557,-18.75783
AS,New_AS_005.wav,38.996048,-19.702497
AS,New_AS_006.wav,39.536278,-19.140827
AS,New_AS_007.wav,39.3325,-19.452463
AS,New_AS_008.wav,40.18671,-18.826826
AS,New_AS_009.wav,39.458973,-19.909641
AS,New_AS_010.wav,39.23738,-18.928102
AS,New_AS_011.wav,39.850044,-19.866459
AS,New_AS_012.wav,39.46733,-18.539576
AS,New_AS_013.wav,39.7732,-19.528137
AS,New_AS_014.wav,39.42946,-20.138945
AS,New_AS_015.wav,38.960476,-19.437763
AS,New_AS_016.wav,38.905113,-19.067158
AS,New_AS_017.wav,40.161243,-19.173822
AS,New_AS_018.wav,40.181473,-19.076468
AS,New_AS_019.wav,38.83222,-18.85659
AS,New_AS_020.wav,39.604008,-20.154484
AS,New_AS_021.wav,39.31219,-19.72879
AS,New_AS_022.wav,39.100582,-19.002188
AS,New_AS_023.wav,40.094852,-19.20806
AS,New_AS_024.wav,40.104927,-18.630955
AS,New_AS_025.wav,13.365685,-29.698584
AS,New_AS_026.wav,11.386385,-35.35844
AS,New_AS_027.wav,13.941083,-34.54973
AS,New_AS_028.wav,11.644516,-33.92372
AS,New_AS_029.wav,12.92276,-32.789635
AS,New_AS_030.wav,11.360113,-34.224945
AS,New_AS_031.wav,10.072964,-33.47582
AS,New_AS_032.wav,10.763098,-33.38652
AS,New_AS_033.wav,12.199222,-31.925766
AS,New_AS_034.wav,13.159843,-30.695408
AS,New_AS_035.wav,12.527985,-36.88604
AS,New_AS_036.wav,10.282133,-33.08028
AS,New_AS_037.wav,13.255242,-34.10405
AS,New_AS_038.wav,10.1979265,-33.561134
AS,New_AS_039.wav,12.757624,-30.889105
AS,New_AS_040.wav,11.262284,-32.77026
AS,New_AS_041.wav,11.6112,-34.286602
AS,New_AS_042.wav,12.680549,-29.724987
AS,New_AS_043.wav,12.813082,-33.502098
AS,New_AS_044.wav,10.980728,-34.97743
AS,New_AS_045.wav,10.793219,-33.834553
AS,New_AS_046.wav,12.080729,-33.39627
AS,New_AS_047.wav,13.13428,-35.73464
AS,New_AS_048.wav,12.498029,-35.082176
AS,New_AS_049.wav,0.23485263,-12.513859
AS,New_AS_050.wav,1.405129,-11.299008
AS,New_AS_051.wav,1.7369926,-11.717798
AS,New_AS_052.wav,1.9647275,-11.462849
AS,New_AS_053.wav,2.554824,-11.333714
AS,New_AS_054.wav,2.5682657,-12.328247
AS,New_AS_055.wav,1.9792274,-12.316124
AS,New_AS_056.wav,2.4733891,-11.258845
AS,New_AS_057.wav,2.2843418,-11.891537
AS,New_AS_058.wav,2.3659391,-11.881738
AS,New_AS_059.wav,2.3195252,-10.948003
AS,New_AS_060.wav,1.972532,-11.26407
AS,New_AS_061.wav,1.7531852,-12.420577
AS,New_AS_062.wav,0.71940047,-11.782042
AS,New_AS_063.wav,1.4316349,-11.456446
AS,New_AS_064.wav,1.258556,-11.661148
AS,New_AS_065.wav,0.8979415,-12.53739
AS,New_AS_066.wav,1.356033,-12.016286
AS,New_AS_067.wav,0.5162218,-11.772138
AS,New_AS_068.wav,0.29300538,-11.53481
AS,New_AS_069.wav,1.1517285,-12.519941
AS,New_AS_070.wav,0.75163925,-11.380402
AS,New_AS_071.wav,1.7792739,-12.515077
AS,New_AS_072.wav,1.5702341,-12.381493
AS,New_AS_073.wav,1.1586028,-12.086823
AS,New_AS_074.wav,1.3980416,-11.026017
AS,New_AS_075.wav,0.38347715,-12.703947
AS,New_AS_076.wav,1.6800234,-12.2037525
AS,New_AS_077.wav,13.488408,-30.56878
AS,New_AS_078.wav,11.087231,-34.834232
AS,New_AS_079.wav,13.020773,-29.328686
AS,New_AS_080.wav,11.353335,-37.353798
AS,New_AS_081.wav,11.409087,-36.332027
AS,New_AS_082.wav,14.772237,-30.434929
AS,New_AS_083.wav,10.867307,-31.032497
AS,New_AS_084.wav,14.016831,-32.366375
AS,New_AS_085.wav,13.893397,-34.994843
AS,New_AS_086.wav,11.954159,-34.150284
AS,New_AS_087.wav,12.840378,-29.691944
AS,New_AS_088.wav,12.664974,-36.093235
AS,New_AS_089.wav,10.913975,-36.923103
AS,New_AS_090.wav,10.50838,-34.820427
AS,New_AS_091.wav,10.874069,-36.35561
AS,New_AS_092.wav,10.9172945,-34.063595
AS,New_AS_093.wav,11.063188,-36.96208
AS,New_AS_094.wav,12.420883,-31.361828
