clase,archivo,tSNE_1,tSNE_2
AS,New_AS_001.wav,36.48777,-21.840103
AS,New_AS_002.wav,35.935028,-20.699633
AS,New_AS_003.wav,36.674274,-20.427792
AS,New_AS_004.wav,36.244473,-21.132494
AS,New_AS_005.wav,36.012505,-21.25569
AS,New_AS_006.wav,37.200634,-21.276508
AS,New_AS_007.wav,37.008957,-21.20971
AS,New_AS_008.wav,36.162636,-20.463087
AS,New_AS_009.wav,36.736416,-20.321253
AS,New_AS_010.wav,36.437515,-20.934923
AS,New_AS_011.wav,36.945744,-20.530077
AS,New_AS_012.wav,36.696766,-21.454655
AS,New_AS_013.wav,37.092068,-21.338993
AS,New_AS_014.wav,37.19732,-20.491114
AS,New_AS_015.wav,36.725624,-20.6578
AS,New_AS_016.wav,35.8609,-21.218315
AS,New_AS_017.wav,35.917362,-20.77927
AS,New_AS_018.wav,36.693157,-21.073412
AS,New_AS_019.wav,36.753414,-21.53858
AS,New_AS_020.wav,37.243877,-20.404257
AS,New_AS_021.wav,36.274292,-20.436413
AS,New_AS_022.wav,36.324734,-21.2407
AS,New_AS_023.wav,35.855534,-20.703943
AS,New_AS_024.wav,37.24211,-20.897793
AS,New_AS_025.wav,17.761295,-40.908405
AS,New_AS_026.wav,19.456001,-35.775005
AS,New_AS_027.wav,19.981674,-35.70039
AS,New_AS_028.wav,19.372002,-39.720116
AS,New_AS_029.wav,19.708971,-39.28674
AS,New_AS_030.wav,17.422422,-39.032272
AS,New_AS_031.wav,16.640951,-39.864838
AS,New_AS_032.wav,19.870441,-36.970585
AS,New_AS_033.wav,20.397306,-38.992832
AS,New_AS_034.wav,19.212732,-39.93323
AS,New_AS_035.wav,16.89615,-35.021053
AS,New_AS_036.wav,17.027872,-39.80504
AS,New_AS_037.wav,16.088232,-37.728405
AS,New_AS_038.wav,19.70433,-37.21518
AS,New_AS_039.wav,19.77722,-37.614964
AS,New_AS_040.wav,17.128004,-39.02893
AS,New_AS_041.wav,17.38796,-36.030605
AS,New_AS_042.wav,18.252487,-39.984413
AS,New_AS_043.wav,17.744263,-38.917015
AS,New_AS_044.wav,20.278992,-36.813408
AS,New_AS_045.wav,19.383661,-38.50545
AS,New_AS_046.wav,17.052208,-37.61888
AS,New_AS_047.wav,17.865383,-35.906555
AS,New_AS_048.wav,14.528294,-39.559574
AS,New_AS_049.wav,-6.016711,-33.318794
AS,New_AS_050.wav,-6.9695396,-33.349712
AS,New_AS_051.wav,-6.8451743,-32.732723
AS,New_AS_052.wav,-7.5731673,-33.268494
AS,New_AS_053.wav,-7.4384317,-32.42806
AS,New_AS_054.wav,-6.83179,-32.0598
AS,New_AS_055.wav,-6.2703924,-31.89193
AS,New_AS_056.wav,-7.8795667,-33.034912
AS,New_AS_057.wav,-7.5821333,-32.134502
AS,New_AS_058.wav,-6.898729,-32.39866
AS,New_AS_059.wav,-7.542333,-32.429306
AS,New_AS_060.wav,-7.6985974,-32.7598
AS,New_AS_061.wav,-6.909712,-31.91992
AS,New_AS_062.wav,-6.428995,-33.462124
AS,New_AS_063.wav,-7.1950245,-33.351566
AS,New_AS_064.wav,-7.354951,-33.00893
AS,New_AS_065.wav,-6.202355,-32.29242
AS,New_AS_066.wav,-6.868274,-33.201576
AS,New_AS_067.wav,-6.7392454,-32.746037
AS,New_AS_068.wav,-6.7473736,-33.84447
AS,New_AS_069.wav,-5.8041153,-32.29054
AS,New_AS_070.wav,-6.92536,-33.237537
AS,New_AS_071.wav,-6.375002,-31.9716
AS,New_AS_072.wav,-6.4512734,-32.665836
AS,New_AS_073.wav,-6.186167,-32.560917
AS,New_AS_074.wav,-7.7115974,-33.245678
AS,New_AS_075.wav,-5.7197676,-32.43259
AS,New_AS_076.wav,-6.0880966,-32.99293
AS,New_AS_077.wav,17.141642,-39.32241
AS,New_AS_078.wav,19.621552,-36.864826
AS,New_AS_079.wav,19.93945,-39.73636
AS,New_AS_080.wav,16.875732,-35.016895
AS,New_AS_081.wav,17.718311,-35.341125
AS,New_AS_082.wav,17.666542,-39.528572
AS,New_AS_083.wav,17.485502,-40.62779
AS,New_AS_084.wav,20.417917,-36.95818
AS,New_AS_085.wav,19.99911,-36.225727
AS,New_AS_086.wav,18.035122,-37.814266
AS,New_AS_087.wav,18.851898,-39.775227
AS,New_AS_088.wav,16.037449,-36.5435
AS,New_AS_089.wav,15.3988285,-37.336452
AS,New_AS_090.wav,19.62028,-36.27152
AS,New_AS_091.wav,20.24388,-36.022343
AS,New_AS_092.wav,16.669767,-37.0086
AS,New_AS_093.wav,17.612238,-35.0361
AS,New_AS_094.wav,16.776217,-39.227367
AS,New_AS_095.wav,16.045015,-38.38851
AS,New_AS_096.wav,18.605494,-35.198296
AS,New_AS_097.wav,20.093618,-36.678513
AS,New_AS_098.wav,16.93924,-36.787518
AS,New_AS_099.wav,17.839634,-35.68706
AS,New_AS_100.wav,14.551194,-39.68046
AS,New_AS_101.wav,18.410225,-39.95299
AS,New_AS_102.wav,20.51841,-38.152767
AS,New_AS_103.wav,19.870213,-39.813725
AS,New_AS_104.wav,16.913996,-38.555283
AS,New_AS_105.wav,17.144903,-38.06378
AS,New_AS_106.wav,19.004503,-40.42805
AS,New_AS_107.wav,15.72669,-37.999866
AS,New_AS_108.wav,20.162485,-36.153976
AS,New_AS_109.wav,18.635334,-35.183605
