clase,archivo,ruta,variante_deep_onmf,F_001,F_002,F_003,F_004,F_005,F_006,F_007,F_008,F_009,F_010,F_011,F_012,F_013,F_014,F_015
AS,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_001.wav,afinidad_y_diferencias_errores,1.192756291480836,2.157745008610288,2.053615434410241,2.1616327513163345,2.0902502735300295,-0.9649887171294518,-0.8608591429294048,-0.9688764598354984,-0.8974939820491934,0.10412957420004698,-0.0038877427060466374,0.06749473508025838,-0.10801731690609362,-0.0366348391197886,0.07138247778630502
AS,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_002.wav,afinidad_y_diferencias_errores,1.253721695408857,2.2611235637269336,2.104896343175022,2.2167950069307523,2.1720117071618525,-1.0074018683180765,-0.8511746477661648,-0.9630733115218952,-0.9182900117529955,0.15622722055191174,0.044328556796181307,0.08911185656508103,-0.11189866375573043,-0.06711536398683071,0.04478329976889972
AS,New_AS_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_003.wav,afinidad_y_diferencias_errores,1.1232306858387955,2.2015894841650425,2.043985429209842,2.14116898195361,2.128739084246589,-1.078358798326247,-0.9207547433710466,-1.0179382961148145,-1.0055083984077937,0.15760405495520047,0.06042050221143258,0.07285039991845332,-0.09718355274376789,-0.08475365503674714,0.012429897707020743
AS,New_AS_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_004.wav,afinidad_y_diferencias_errores,1.1739733290922372,2.2267284976503405,2.070722126317202,2.164437981850349,2.163592318382321,-1.0527551685581034,-0.8967487972249648,-0.9904646527581118,-0.9896189892900837,0.15600637133313855,0.062290515799991564,0.06313617926801962,-0.09371585553314699,-0.09287019206511893,0.0008456634680280573
AS,New_AS_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_005.wav,afinidad_y_diferencias_errores,1.1913467552539712,2.1968087703464514,2.0474821107982097,2.2042525050438733,2.1254663051008063,-1.0054620150924802,-0.8561353555442386,-1.012905749789902,-0.9341195498468351,0.14932665954824165,-0.007443734697421878,0.07134246524564514,-0.15677039424566352,-0.07798419430259651,0.07878619994306701
AS,New_AS_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_006.wav,afinidad_y_diferencias_errores,1.1484329132126732,2.2095937240732835,2.064860956416488,2.162793531345042,2.1174482449475702,-1.0611608108606103,-0.916428043203815,-1.0143606181323688,-0.9690153317348971,0.14473276765679532,0.04680019272824154,0.09214547912571325,-0.09793257492855378,-0.05258728853108208,0.04534528639747171
AS,New_AS_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_007.wav,afinidad_y_diferencias_errores,1.1597167240616508,2.1659350716270143,2.02972340672317,2.1515534288336404,2.1033355059114967,-1.0062183475653634,-0.8700066826615191,-0.9918367047719896,-0.9436187818498458,0.1362116649038443,0.014381642793373839,0.06259956571551761,-0.12183002211047045,-0.07361209918832667,0.048217922922143774
AS,New_AS_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_008.wav,afinidad_y_diferencias_errores,1.2013857820206877,2.2543588471748377,2.1062988838136985,2.240155954304524,2.1638794125598544,-1.05297306515415,-0.9049131017930108,-1.0387701722838363,-0.9624936305391667,0.14805996336113925,0.014202892870313732,0.09047943461498331,-0.1338570704908255,-0.057580528746155935,0.07627654174466958
AS,New_AS_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_009.wav,afinidad_y_diferencias_errores,1.1774824945848008,2.220685441876926,2.06781631250449,2.168778176863439,2.1181148727998056,-1.0432029472921254,-0.8903338179196891,-0.9912956822786383,-0.9406323782150048,0.15286912937243624,0.05190726501348708,0.10257056907712059,-0.10096186435894916,-0.05029856029531565,0.05066330406363351
AS,New_AS_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_010.wav,afinidad_y_diferencias_errores,1.1622892898350594,2.181122552073438,2.0548017528965827,2.185428390123658,2.1161892701821348,-1.0188332622383784,-0.8925124630615233,-1.0231391002885988,-0.9538999803470753,0.12632079917685513,-0.004305838050220334,0.0649332818913031,-0.13062663722707546,-0.06138751728555203,0.06923911994152343
