clase,archivo,ruta,variante_deep_onmf,F_001,F_002,F_003,F_004,F_005
AS,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_001.wav,perfil_softmin_errores_f8,3.2838043595971943e-07,0.39945929275295516,0.0988367661711015,0.24604593453452256,0.2556576781609847
AS,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_002.wav,perfil_softmin_errores_f8,2.678850352942825e-07,0.3815122008916711,0.07034935356074686,0.22870417116304748,0.31943400649949943
AS,New_AS_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_003.wav,perfil_softmin_errores_f8,4.652166794448594e-08,0.40266478639213854,0.08229791932679553,0.21279892214216672,0.3022383256172311
AS,New_AS_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_004.wav,perfil_softmin_errores_f8,6.664619129525784e-08,0.4136512852201032,0.07989596657967342,0.20019157636895857,0.3062611051850736
AS,New_AS_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_005.wav,perfil_softmin_errores_f8,1.1745438751594372e-07,0.3840088616894853,0.06534482003931445,0.2618388885014027,0.28880731231541
AS,New_AS_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_006.wav,perfil_softmin_errores_f8,6.644999416535972e-08,0.37578574571426454,0.07363535512079998,0.23925634644103702,0.3113224862739043
AS,New_AS_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_007.wav,perfil_softmin_errores_f8,2.0198337045431026e-07,0.3331528229498563,0.08150414964889853,0.28114993035807,0.30419289505980474
AS,New_AS_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_008.wav,perfil_softmin_errores_f8,8.048325751726673e-08,0.34240087557887877,0.06860306640495695,0.2836268046967904,0.30536917283611636
AS,New_AS_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_009.wav,perfil_softmin_errores_f8,9.357703912165302e-08,0.39930143842202986,0.07700693355728028,0.21747951180748196,0.30621202263616876
AS,New_AS_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_010.wav,perfil_softmin_errores_f8,1.193214240370619e-07,0.37971691906788657,0.08139291643803086,0.2592259306021102,0.27966411457054846
AS,New_AS_011.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_011.wav,perfil_softmin_errores_f8,6.985291482854094e-08,0.3937030608380275,0.0719204586929493,0.23477683180637315,0.29959957880973537
AS,New_AS_012.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_012.wav,perfil_softmin_errores_f8,7.88928306085965e-08,0.39880168374018554,0.07524950647364312,0.2532830580216805,0.27266567287166016
AS,New_AS_013.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_013.wav,perfil_softmin_errores_f8,1.441776188235372e-07,0.33920042913824694,0.07348621142132725,0.24317613804396526,0.3441370772188417
AS,New_AS_014.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_014.wav,perfil_softmin_errores_f8,5.047365466438782e-08,0.38907786326651134,0.05148441056174253,0.2265253214579903,0.33291235424010124
AS,New_AS_015.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_015.wav,perfil_softmin_errores_f8,4.4979987362711925e-07,0.3459562905488466,0.08277325625175165,0.25237944090990133,0.3188905624896268
AS,New_AS_016.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_016.wav,perfil_softmin_errores_f8,6.177607821194161e-08,0.40706995277362323,0.05921869701192929,0.23437964422463797,0.29933164421373126
AS,New_AS_017.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_017.wav,perfil_softmin_errores_f8,1.5451036244021606e-07,0.4427407771309428,0.0627084022359738,0.2520258368931146,0.24252482922960644
AS,New_AS_018.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_018.wav,perfil_softmin_errores_f8,1.4456270064375168e-07,0.42325597630497375,0.08046811347614749,0.23442326894451815,0.26185249671165994
AS,New_AS_019.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_019.wav,perfil_softmin_errores_f8,4.554928821722841e-08,0.44504191337049737,0.0865600375369762,0.23216713819587512,0.23623086534736312
AS,New_AS_020.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_020.wav,perfil_softmin_errores_f8,1.3488016854235824e-07,0.3358039897337777,0.06655105224336373,0.2445468727272911,0.3530979504153989
AS,New_AS_021.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_021.wav,perfil_softmin_errores_f8,1.007673005099087e-07,0.39604137366019,0.07299963608989982,0.25728808296966715,0.2736708065129427
AS,New_AS_022.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_022.wav,perfil_softmin_errores_f8,5.4666836812886994e-08,0.40675089057987557,0.08638093197369809,0.2266206235321972,0.2802474992473923
AS,New_AS_023.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_023.wav,perfil_softmin_errores_f8,1.6951990366074593e-07,0.39649498649332726,0.09798912306186969,0.22134962881790027,0.2841660921069991
AS,New_AS_024.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_024.wav,perfil_softmin_errores_f8,8.110568754150619e-08,0.3443985010492997,0.07318560250974747,0.2668802256054495,0.3155355897298157
AS,New_AS_025.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_025.wav,perfil_softmin_errores_f8,1.5416448242037542e-07,0.33910907548928676,0.08287251860220286,0.2669766898254481,0.31104156191857985
AS,New_AS_026.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_026.wav,perfil_softmin_errores_f8,9.195047185771324e-08,0.3734173691130918,0.04280911175883997,0.3316276549182674,0.2521457722593289
AS,New_AS_027.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_027.wav,perfil_softmin_errores_f8,8.969871063331437e-08,0.3357351331640248,0.06586531974916314,0.2782528814965672,0.32014657589153417
AS,New_AS_028.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_028.wav,perfil_softmin_errores_f8,2.3367395960519272e-07,0.3378212010702718,0.08155422750416287,0.30075783612631607,0.2798665016252897
AS,New_AS_029.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_029.wav,perfil_softmin_errores_f8,1.8890178928133737e-07,0.32795636081380386,0.0662954177999827,0.3206336246271653,0.2851144078572589
AS,New_AS_030.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_030.wav,perfil_softmin_errores_f8,6.716677423294638e-08,0.3766150462635311,0.06908920542527375,0.25248610646068326,0.30180957468373776
AS,New_AS_031.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_031.wav,perfil_softmin_errores_f8,1.8475928790184707e-07,0.357608451076638,0.06317990740432393,0.3471422157323644,0.23206924102738571
AS,New_AS_032.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_032.wav,perfil_softmin_errores_f8,4.273258596527558e-08,0.3617924113828826,0.056893769387527944,0.2993980735937108,0.28191570290329276
AS,New_AS_033.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_033.wav,perfil_softmin_errores_f8,2.6066333770854517e-07,0.34804089808028443,0.09697293890476588,0.2723158641078821,0.2826700382437299
