clase,archivo,ruta,variante_deep_onmf,F_001,F_002,F_003,F_004,F_005
AS,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_001.wav,perfil_softmin_errores_f8,8.346200302316157e-07,0.19624357069957504,0.19838641467758092,0.22518068010391815,0.38018849989889564
AS,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_002.wav,perfil_softmin_errores_f8,2.3409339451066102e-06,0.18428589298075418,0.2396625921441016,0.26022337242083726,0.3158258015203619
AS,New_AS_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_003.wav,perfil_softmin_errores_f8,2.8720853033272127e-07,0.15520747778554933,0.2762622949792023,0.23262062156687935,0.3359093184598386
AS,New_AS_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_004.wav,perfil_softmin_errores_f8,4.924655223370025e-07,0.1455179059064186,0.23887080318376502,0.22220076367754346,0.3934100347667506
AS,New_AS_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_005.wav,perfil_softmin_errores_f8,1.553467990116995e-06,0.12200884551387399,0.1941257444042057,0.29885819749846526,0.385005659115465
AS,New_AS_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_006.wav,perfil_softmin_errores_f8,2.4663683435468117e-07,0.2674324925106758,0.2191131517024348,0.26009354568053994,0.25336056346951513
AS,New_AS_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_007.wav,perfil_softmin_errores_f8,7.152957706570498e-07,0.19036577016789105,0.24787532245733757,0.26141746178232766,0.300340730296673
AS,New_AS_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_008.wav,perfil_softmin_errores_f8,4.324347202271326e-07,0.16477727729836109,0.2173525279067981,0.3394946255352929,0.2783751368248278
AS,New_AS_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_009.wav,perfil_softmin_errores_f8,9.151806408677728e-07,0.19428766126259595,0.24470367687505415,0.2593938521425293,0.30161389453917975
AS,New_AS_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_010.wav,perfil_softmin_errores_f8,4.6024912689816866e-07,0.13782899571555463,0.22247348265419314,0.2686698311564055,0.3710272302247198
AS,New_AS_011.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_011.wav,perfil_softmin_errores_f8,6.879369140325614e-07,0.1689067366680437,0.26774302843551284,0.2787758809449759,0.28457366601455353
AS,New_AS_012.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_012.wav,perfil_softmin_errores_f8,2.7112927690687306e-07,0.17147353635739107,0.24466575136349872,0.2566978736375718,0.3271625675122614
AS,New_AS_013.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_013.wav,perfil_softmin_errores_f8,6.287911932541325e-07,0.2069161682557547,0.19284823102075088,0.3170524389303149,0.2831825330019862
AS,New_AS_014.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_014.wav,perfil_softmin_errores_f8,6.214596976137406e-07,0.1587271998570662,0.2375157586869121,0.2724725025489665,0.3312839174473576
AS,New_AS_015.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_015.wav,perfil_softmin_errores_f8,1.2889287922827209e-06,0.18255110885052594,0.24122323228916526,0.23562388060296285,0.34060048932855364
