clase,archivo,ruta,variante_deep_onmf,F_001,F_002,F_003,F_004,F_005,F_006,F_007
AS,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_001.wav,sbv_media_base,0.0737976185058894,0.6160301452019129,0.1359123579506738,2.529864657054596,1.753484339139301,1.7322456281064766,1.9927258798621847
AS,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_002.wav,sbv_media_base,0.0798021495837774,0.6257430021506601,0.104249671518755,2.591010573104985,1.5801137670643204,1.873021941487796,1.823748929093739
AS,New_AS_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_003.wav,sbv_media_base,0.0641943022116446,0.6345437026350923,0.1464047950069913,2.3761534915156424,1.4922431632694984,1.93695517463222,2.136563109113916
AS,New_AS_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_004.wav,sbv_media_base,0.0705502027387382,0.5519448797816711,0.1293821028340261,2.392569795360195,1.4905297547369494,1.9502043428687657,2.107059566162015
AS,New_AS_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_005.wav,sbv_media_base,0.0740133139122317,0.5575415832809913,0.0877424108524047,2.5118177069408,1.397402068843093,1.8303216782309208,2.098230718024144
AS,New_AS_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_006.wav,sbv_media_base,0.0683975539362141,0.7175141311744972,0.0893266665663735,2.486260507502122,1.4864593869496416,1.7517123003024166,2.002955284424053
AS,New_AS_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_007.wav,sbv_media_base,0.0584214441111878,0.6374026608975816,0.1202421953763983,2.38262807098576,1.422516749173801,1.9492417742790635,2.1023440376277187
AS,New_AS_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_008.wav,sbv_media_base,0.0678005440672991,0.6779259744064781,0.0930757817803049,2.640935745783694,1.5179015813611938,1.83087720696611,1.9020166391456423
AS,New_AS_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_009.wav,sbv_media_base,0.0595278044759723,0.6691468600665613,0.1081579265708867,2.5472395048757304,1.3587760906398954,1.93950970967011,1.987360318250228
AS,New_AS_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_010.wav,sbv_media_base,0.0685113960323113,0.6921056593501929,0.1052383091496642,2.405207784311504,1.4910469370354815,1.9283597580284064,2.0810082158162904
