clase,archivo,ruta,variante_deep_onmf,F_001,F_002,F_003,F_004,F_005,F_006,F_007,F_008,F_009,F_010,F_011,F_012,F_013,F_014,F_015,F_016,F_017,F_018,F_019,F_020,F_021,F_022,F_023,F_024,F_025,F_026,F_027,F_028
AS,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_001.wav,resumen_h_media_std_q90_max,1.2844134443313866,0.10098726418473956,1.3578629507523619,1.3821206772340897,1.031470756836605,0.3574673331645971,1.4720273540774746,1.7414759322168996,0.35578668373391814,1.8794261085535013,1.9050194023710971,1.5869791215222462,0.9204496383717048,2.0254775519964228,2.265448628731146,0.10765352402051133,2.2811012091469713,2.395337928006495,2.0142662704461767,0.5765710092249205,2.514402893419226,3.2989391525262626,1.6982251997862547,3.7167268709621593,3.5337483004080115,3.1411446846683546,2.6233356905479637,3.6424814011746944
AS,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_002.wav,resumen_h_media_std_q90_max,1.3275586585771004,0.10971597494005314,1.3100708051254402,1.326048811485883,1.012954124745768,0.30986872192782844,1.515654464302238,1.7717314176836503,0.33568617978466947,1.8167296235584671,1.8583452946907777,1.61233495351798,0.8831566893640581,2.071887758717135,2.406052099764529,0.18093437065171197,2.169555468129654,2.3917839170352164,1.846847052855561,0.43739287441735286,2.520901271966628,3.4425714827389546,1.2919617692790555,3.407695102159076,3.526080894718938,3.1519701915272114,2.8474980927570166,3.6763093872167087
AS,New_AS_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_003.wav,resumen_h_media_std_q90_max,1.3237028582453068,0.08299964208630689,1.2746902320766254,1.3687256050062935,1.0688889936519383,0.31209524467186933,1.464729776275149,1.8182877001346769,0.2611185432891155,1.780835966569643,1.9376163397473405,1.7165572321779237,0.8087675249007256,2.0096068610801536,2.419250722610935,0.11448663474705123,2.2024647933470605,2.372057059354141,2.1289972808829516,0.6590028546250035,2.5474458226098955,3.442702582078484,1.2473346821934308,3.568057382638972,3.634606439513514,3.2351758281645595,2.3566189512097058,3.545975653726443
AS,New_AS_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_004.wav,resumen_h_media_std_q90_max,1.3260987603918504,0.11221505944107497,1.2782671086642328,1.3989261766208534,1.0076814908682645,0.30251835382650194,1.4738361823580486,1.7854639040442608,0.35697356722402146,1.774441942147216,1.9621067300090018,1.6373969558379606,0.7745800235686581,2.0102015579660963,2.355526774985485,0.11880711126418454,2.2287895042410297,2.3990304574689776,2.0877680126935174,0.6466375404488546,2.5209917900885626,3.2982930819998804,1.5130160282591099,3.641524527297643,3.6833329272696798,3.1779455703964414,2.3213585492760944,3.5631225302790894
AS,New_AS_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_005.wav,resumen_h_media_std_q90_max,1.2871476496187058,0.09672600243320194,1.2444468704604137,1.4069441740367128,0.9931920874041475,0.3103351266562472,1.4923875909446993,1.7482794751167083,0.3593539733598714,1.721161682605536,1.9455972494675229,1.5537681358074875,0.7458919829715591,2.011765388404915,2.1867932872789013,0.06506407246085771,2.0544320797866376,2.3966739704454034,2.0340844589826057,0.6957858684788877,2.574648891796771,3.2401244417300292,1.5743702413932121,3.593332218708479,3.5734304716401013,3.047128164309568,2.188346158561505,3.580777181108544
AS,New_AS_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_006.wav,resumen_h_media_std_q90_max,1.2852856192029434,0.09998455153877513,1.267641268696003,1.364363277682415,1.0772646246175455,0.2896492916575591,1.4779887574353778,1.7353036334477856,0.3643602842278512,1.800211571603295,1.899515909060632,1.7036003968680997,0.756828564727297,2.0234938370259523,2.349905056575997,0.09287444256622737,2.0713102904319416,2.48159892062033,2.1007493550329,0.6393798284340764,2.58502446614231,3.25838434455723,1.6954399155166011,3.53751400865713,3.533194592796261,3.3098866750557883,2.5242640731970547,3.6891629778696506
AS,New_AS_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_007.wav,resumen_h_media_std_q90_max,1.314176081865765,0.09892130891674782,1.2715448768996074,1.3695048705440358,1.0418254661166841,0.31329971964711034,1.468840604446085,1.779459765440134,0.3339447621873319,1.8178878717771254,1.9185720616787014,1.6825183834352677,0.8481926296201331,2.007419849702042,2.444534543097063,0.1071299897598041,2.1919849407351717,2.495507250312204,1.973244154779841,0.5805001588268762,2.6391799469079222,3.3603985675577532,1.4467863156223988,3.696108914909315,3.411742270117946,3.2989461380169085,2.6185549948081945,3.6675103867820824
AS,New_AS_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_008.wav,resumen_h_media_std_q90_max,1.3215702063061558,0.10067252741310052,1.2877350784210715,1.3352099758078413,1.0723066514890827,0.3061641975265166,1.5027933762669718,1.763853671791331,0.3525235025248959,1.780034152395894,1.881882243580908,1.6642175625490714,0.7540948132646343,2.0192574590492667,2.414656239653554,0.17048699041146054,2.1518781131253464,2.271066930655879,2.1373085048118283,0.7386395593180771,2.5281602701954204,3.332960279011933,1.6393983351032628,3.5662622781875024,3.4333428186581245,3.1932297137339734,2.3367732381209656,3.632409834724905
AS,New_AS_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_009.wav,resumen_h_media_std_q90_max,1.295379197898547,0.10697829176773503,1.2467014479601148,1.3633157147273607,1.0298779163719805,0.31969340640748795,1.5252068697907715,1.7465606551820065,0.3896144146457945,1.7793104615415292,1.9112274251895047,1.6739328844660022,0.8266469181974212,2.068985786974308,2.387094727099072,0.12068817825471834,1.9957968254799503,2.4367816239671667,1.8505125671245546,0.7460665929305074,2.603704262042839,3.250191911610084,1.741604718712235,3.5059111018229387,3.518348740318735,3.3221194193988843,2.5338665382937675,3.732013143261833
AS,New_AS_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_010.wav,resumen_h_media_std_q90_max,1.333424891984492,0.08733524011543968,1.286029003186542,1.3803879055553487,1.0413024815784768,0.3356300953347921,1.46483043778034,1.8098512953022685,0.34019518095401036,1.7622644132446896,1.9343995796325577,1.6681163535913042,0.8165377003869072,1.955276007867786,2.302238160817694,0.06508782768163356,2.244670228662751,2.4084057722218026,2.1221690002648037,0.6097952544273914,2.525948189161819,3.4568576352988156,1.7319112093201265,3.5360989287038023,3.502710911761768,3.430037072997468,2.3288290269098373,3.525744310462449
AS,New_AS_011.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_011.wav,resumen_h_media_std_q90_max,1.316312344371386,0.08964547264503539,1.2451298266718238,1.3450612719747215,1.0600672154122868,0.3014506315863765,1.523353568082409,1.7687139484245116,0.293496147854055,1.741585653225182,1.8786949699682003,1.684808386440479,0.8034714366806845,2.0717207777531383,2.3324086692073656,0.11886785230753935,2.1309840163180653,2.416155284799933,2.094221528135318,0.6032676394969648,2.615732896278205,3.3930693815998962,1.325378105709444,3.528885713267444,3.4519059803499803,3.1866836450196097,2.4802337225761537,3.6469426503623557
AS,New_AS_012.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_012.wav,resumen_h_media_std_q90_max,1.2947137918628433,0.10795107752487627,1.2999170796033406,1.3604863001084533,1.0338271724489594,0.31680547980457546,1.4883437126523351,1.7583588715870753,0.3835814702032881,1.8403114006608483,1.903261885661317,1.5904431866800177,0.7879538329217661,2.0158562062265326,2.3211444380713524,0.0832095721199878,2.242867437588669,2.3334319145480924,2.2521933315335976,0.6631939028657061,2.64947428675147,3.317826001046304,1.5518128928219872,3.679686679307097,3.462686556970181,3.0121098369098975,2.364614057514762,3.602179476362137
AS,New_AS_013.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_013.wav,resumen_h_media_std_q90_max,1.3038747964503683,0.0915476361866712,1.260417782314091,1.3667372432177003,1.0508146264488818,0.2995551603941052,1.4753736347055946,1.7542466370394405,0.3068469965750364,1.7424896996244579,1.897696649220776,1.6686596487297005,0.766299664164985,2.019646324955053,2.3360138027576345,0.11889996953210336,2.1522169380745297,2.4541123576182446,2.059866415111166,0.7180740458050981,2.5319022473260517,3.260472349290117,1.486425337993013,3.480505611609345,3.6203278590226344,3.2734523935187214,2.364346821846166,3.5479351453711874
AS,New_AS_014.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_014.wav,resumen_h_media_std_q90_max,1.3316590127295345,0.08601129970338806,1.2341009510449408,1.3602941214952156,1.0091531558189655,0.28424322077991154,1.4957946542505847,1.7855587413589475,0.27232872999662533,1.7680823102442924,1.8853828776162687,1.5998180821800996,0.7723179367095688,2.036877102924827,2.312315630135891,0.1144073966808001,2.084387252930588,2.347854951637263,1.9517812202178844,0.4699950686743909,2.574573233386205,3.4198488273670953,1.2612385263222579,3.5625439207350977,3.607336264546728,3.177176842069223,2.265309598809485,3.6487967068717
AS,New_AS_015.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_015.wav,resumen_h_media_std_q90_max,1.3110131030278633,0.09533435870248161,1.2756895425625523,1.3665227228690733,1.0529624681638634,0.29532983447409233,1.438728369894824,1.815162846373936,0.3692709326364891,1.797709268723618,1.9253023521366384,1.660477603211605,0.8354044263801054,1.9920586636519988,2.4071179063438053,0.10463078094466717,2.1749859108328757,2.3918568481811477,2.1594172456458405,0.4747621369794988,2.4716612513492713,3.4889026035971455,1.692213255187874,3.7848245036387382,3.658253034238767,3.248044364720083,2.517446014744303,3.5677688694182295
AS,New_AS_016.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_016.wav,resumen_h_media_std_q90_max,1.316661512822631,0.13808363429060053,1.2866358407626348,1.371741293187721,1.0287795010305807,0.24879823387444153,1.5059802456556932,1.7510145322469421,0.45992070886415054,1.804074395844896,1.9099459723463332,1.6082737219369418,0.6722612359474318,2.035675092690361,2.291797387559955,0.07539780913759368,2.135673654316275,2.3971756876372536,2.052443654751233,0.45966603139553386,2.5347886689669417,3.4284488984566086,1.7313618000479503,3.60754838917783,3.558743429242316,3.1791009713864913,2.1384342605484585,3.674154522906764
AS,New_AS_017.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_017.wav,resumen_h_media_std_q90_max,1.3105209670809717,0.09809332548975207,1.2666010251662312,1.3643324707300855,1.0157925288863134,0.3259601516572063,1.5282366170480817,1.7597653173104855,0.3055866681964111,1.765982469541223,1.8963591723290563,1.5553223705845247,0.7951730946554938,2.0661878409958954,2.2793995205003768,0.1128175282867012,2.1640307079198045,2.4385635605425238,2.1291921664234175,0.7331950805679879,2.5658516164906455,3.3570513909057755,1.3600375985680726,3.5735911022211413,3.4867861313177184,3.048621930064835,2.144065088367792,3.676613878938419
AS,New_AS_018.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_018.wav,resumen_h_media_std_q90_max,1.2994813009216055,0.12212059295252908,1.2883065752144591,1.3527146713284008,1.050711416713704,0.31288408509941407,1.5117066677584627,1.7123843249881987,0.38561384368391,1.7403924368968495,1.8822019165342663,1.6002948637981569,0.8049347617882213,2.03712402973742,2.2954644858555135,0.195362306632143,2.1842344755072993,2.356837642278503,1.9971817840948194,0.6872194244865393,2.5886244543642136,3.2504486949829565,1.7186742996632183,3.2713023418698266,3.54081468146714,3.072043253617205,2.5509789429915655,3.5633044557497033
AS,New_AS_019.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_019.wav,resumen_h_media_std_q90_max,1.2985437065676921,0.10131011032396685,1.309287520337014,1.408846998286626,1.0512981182881749,0.3398979540325522,1.4471369127121951,1.746225292597615,0.33935890187699924,1.823244025303553,1.944877023541478,1.648612189622822,0.8470301272944183,1.9706017344425413,2.297491352136759,0.09968199571004352,2.2618327576327504,2.3721745876648748,2.143335548286492,0.6309587430489242,2.509432074614568,3.295223786786024,1.5090359402990876,3.7093519748439787,3.4707192781537017,3.199279499732333,2.5051832688304145,3.578500645841619
AS,New_AS_020.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_020.wav,resumen_h_media_std_q90_max,1.329539496419787,0.1093323442943501,1.2188765408660847,1.353196414276746,1.0359895700439496,0.2739487225518327,1.5150782604049786,1.7960997060548287,0.3385324591406974,1.6891637322536104,1.880646419121749,1.6356693599132668,0.6872125971199621,2.058674989250714,2.3556478851483424,0.25219123181785147,2.029361509763271,2.38871256973851,2.10343260066954,0.553158799819833,2.620505489502314,3.3901196152188398,1.6002620662246059,3.2831676279580315,3.42432520285425,3.156081330021166,2.0777187958609358,3.6599678338418773
AS,New_AS_021.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_021.wav,resumen_h_media_std_q90_max,1.3361652009099843,0.08737851177947431,1.255051856001785,1.375263175211115,1.0645211817816804,0.31210837389093843,1.4728592504650329,1.807157209200888,0.2672003433825721,1.74180454018598,1.9158754420927973,1.677791290445023,0.8536013716548055,2.0298057920493404,2.386918453838259,0.1392122091960072,2.093676090866396,2.5727706033457034,2.112422483641301,0.6366858634682699,2.462325318775481,3.4111317177727627,1.3130050945355336,3.4881982138067538,3.4467417972451417,3.2715265034828245,2.5333641648765592,3.6496778320904193
AS,New_AS_022.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_022.wav,resumen_h_media_std_q90_max,1.321633781993016,0.09663281556105258,1.2933809961030975,1.387342659488704,1.0422145614183285,0.331398084568904,1.44756257721787,1.789860168601382,0.3304833851463773,1.7818949917793252,1.949861379466025,1.6462687170094292,0.8795034168328768,1.9756930073916597,2.331905382057081,0.09587890283231565,2.2702832562063633,2.414461406000429,2.140053606836348,0.6507882850027663,2.5357204106615234,3.3579289924274294,1.373806664612987,3.546740002889351,3.6016545312173087,3.3068837160379942,2.691791004995433,3.501052337796866
