clase,archivo,ruta,columnas_espectrograma,duracion_s,SBV_1,SBV_2,SBV_3,SBV_4,SBV_5,SBV_6,SBV_7
N,New_N_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_001.wav,212,2.104625,1.519747584661542,0.6496977519433709,0.8975296737022787,0.33041995551959236,1.089713033335521,0.5046168596199104,0.8830916582336844
N,New_N_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_002.wav,212,2.1195,2.0469974699617275,0.6544011992115232,0.46282818665256154,0.6014322026680685,0.7609228317471677,0.5459567047585367,1.001876085975351
N,New_N_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_003.wav,212,2.116625,1.5148880156336024,0.4504764593775398,0.7917841324096935,0.6790062980427461,0.9884356472042705,0.9459116584378991,0.9059554085987114
N,New_N_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_004.wav,212,2.087,1.5817771547486776,0.4723301554704654,0.746941389742449,0.6320339144548038,0.9375173457533743,0.8858897269121194,0.9590052437909351
N,New_N_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_005.wav,212,2.120375,1.6472108246865547,0.5321880709948891,0.5453129377240762,0.48127414145009817,1.1023242401961835,0.7415684651602017,1.1237551737297677
N,New_N_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_006.wav,212,2.090625,1.4511125647304197,0.5503701997911947,0.6525195208021972,0.7319598330233227,1.0914857773890998,0.5601515183912914,1.343837679230069
N,New_N_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_007.wav,212,2.101875,1.3257881424036062,0.6455399686472324,0.6860936070307562,0.5940490068317505,1.0390941093995736,0.7478327950513259,1.2369716971950955
N,New_N_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_008.wav,212,2.10925,1.243061923246243,0.50242539405646,0.8410878027564312,0.7462351081893868,1.2035374983138343,0.7161560306459797,0.9103448024306475
N,New_N_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_009.wav,212,2.1005,1.872928202363548,0.6212506118821731,0.7614093140556205,0.5947047569334915,1.0785004264726954,0.5284474165076959,0.846847345402288
N,New_N_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_010.wav,212,2.093,1.6628503893623827,0.5793369772601779,0.6145222522067134,0.5407046574795404,1.2756909459225267,0.6055089064769237,0.8973318321069824
N,New_N_011.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_011.wav,212,2.1105,1.795172885777581,0.5687106624774001,0.739331140033277,0.5384948916320446,1.110412046831645,0.5831872688758301,1.0186982058696332
N,New_N_012.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_012.wav,212,2.095625,1.6410103534661706,0.5925827211571841,0.7544745697467814,0.5934766931526232,1.0115155703935914,0.6085629408526324,1.0242917434156076
N,New_N_013.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_013.wav,212,2.11525,1.6234822776073163,0.5805223306510655,0.814017631326943,0.7659987809030641,1.235886879264435,0.5165784231048838,0.7188144948206909
N,New_N_014.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_014.wav,212,2.093,1.6099302052717792,0.4831264203446907,0.6685836368532099,0.6488329830679863,0.9884718322870308,0.7390298270934686,1.0872654947853315
