clase,archivo,ruta,columnas_espectrograma,duracion_s,SBV_1,SBV_2,SBV_3,SBV_4,SBV_5,SBV_6,SBV_7,SBV_8
N,New_N_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_001.wav,212,2.104625,0.6069870906148713,0.9840326177359378,0.8931430142693,0.8009058759772554,0.7610860191754931,0.2734743112185818,0.8561972818681265,0.8275513682918315
N,New_N_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_002.wav,212,2.1195,0.5589324809072795,0.9282490945657463,0.7590159544023838,0.5232071002309256,0.9156811167122505,0.261793479027843,0.9796135120676072,1.0448908271450534
N,New_N_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_003.wav,212,2.116625,0.7336602739294587,0.8870219541697866,0.6904587528958592,0.8673002532722163,1.0946890016370345,0.25029050749299186,1.1388916179062396,0.6726775423310938
N,New_N_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_004.wav,212,2.087,0.6379620008675806,0.8736727035348661,0.8480336164471398,0.8842744821445756,1.0287701669633316,0.2391172159006327,1.0160590735237118,0.7178100580768312
N,New_N_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_005.wav,212,2.120375,0.5658798683235949,1.016043732941808,0.5995857976837285,0.7280747102995504,1.184827847667638,0.29992734371535645,1.1765876697181996,0.7993144127200528
N,New_N_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_006.wav,212,2.090625,0.619561382511148,1.0702107076443745,0.8874849745933765,0.6932096113606085,0.9232211955304581,0.2405677232040954,1.1655041842285105,0.7456407155834501
N,New_N_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_007.wav,212,2.101875,0.591305310996686,0.9714888711142893,0.7700058526168616,0.7139241258441141,1.199800680250088,0.338506724162639,0.9825546933009033,0.8453884572197756
N,New_N_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_008.wav,212,2.10925,0.6978788538467224,0.8060100461495783,0.8703225505308444,0.8101127965598062,1.0726116250422242,0.3000101561033172,1.1104540432549836,0.644968093901714
N,New_N_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_009.wav,212,2.1005,0.7118915829711103,0.893951819374928,0.8623162545330856,0.7163357969662626,1.0794950554910434,0.31128150258813303,1.0630871257055436,0.7302569116074098
N,New_N_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_010.wav,212,2.093,0.6602372685322325,0.7518252856333519,0.6387911805888407,1.0239125631304724,1.0554934794464401,0.3058828774084089,1.2319165701010952,0.7202130295214594
N,New_N_011.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_011.wav,212,2.1105,0.8184615043857895,1.0114548686110534,0.7876578660733978,0.7211482415554161,1.0132977399413632,0.25085891435702046,1.1434140693663424,0.7192657890752664
N,New_N_012.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_012.wav,212,2.095625,0.48992288851081,0.930554022460431,1.0310043940450875,0.584328484483248,0.9916902844601291,0.30773762524427906,1.1332016685611483,0.7759676244131483
N,New_N_013.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_013.wav,212,2.11525,0.704322978471225,1.0634917151301397,0.8169468767197854,0.9122633583801801,0.707971561221938,0.22599091739675456,1.1392330124907804,0.8011912877270432
N,New_N_014.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_014.wav,212,2.093,0.7633246560035771,1.1095931241926604,0.7551987658844621,0.6643574022024182,0.9766969966270977,0.20538824937272016,1.123747987424622,0.782004677200795
N,New_N_015.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_015.wav,212,2.093,0.6146431502472758,1.0800574571362722,0.8445353147061523,0.6713375076234892,1.0008507531601212,0.23738241997041926,1.1093140404762276,0.7999092815386113
N,New_N_016.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_016.wav,212,2.08575,0.7040167270675979,0.8635390823341281,0.8810301036856079,0.5579376047344384,1.1796543502751868,0.29326713464983334,1.0522164765055682,0.7328469163629965
N,New_N_017.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_017.wav,212,2.063625,0.7732209310241815,0.8748394184489647,0.8613362108917991,0.6574311257594425,1.036090039630747,0.21468268635733115,1.093859451390331,0.7833690022242037
N,New_N_018.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_018.wav,212,2.100625,0.6565303278481213,0.9825069841192111,0.9642574789578576,0.662562053160245,0.9642274596420425,0.26700510174767117,1.0952511435511154,0.7034141818997457
N,New_N_019.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_019.wav,212,2.09175,0.6503619214881853,0.8830405685130256,0.8808080247411494,0.7057958220311725,1.207009864751185,0.34156078930506384,1.0322385277274138,0.8204714394847584
N,New_N_020.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_020.wav,212,2.077,0.6357310715407491,0.8788966371717402,0.7611569558733086,0.994534655582483,0.9298664527670345,0.24892391009897527,1.1530909382951315,0.7998986344611115
N,New_N_021.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_021.wav,212,2.1105,0.7115942554330923,1.0415330372847613,0.6751795137300057,0.7282559254978764,1.0605606775172445,0.2634727686821931,1.0899344641117994,0.7819099494800846
N,New_N_022.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_022.wav,212,2.087875,0.657593857390977,1.1720533919742229,0.5725014781517546,0.558016110364731,1.1455344228957622,0.29876568643144685,1.15255583962319,0.818670298453098
N,New_N_023.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_023.wav,212,2.116625,0.6714522539907963,0.8728906717756105,0.626499255322138,0.7292059789237453,1.0638715118445696,0.28727066379198657,1.295744970923362,0.7572175935725438
