pareja,sentido,distribucion,clasificador,origen_predicciones,csv_conteos,csv_porcentajes,png
1,decreciente,17-11,SVM,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\resultados\configuraciones\17_11\clasificadores\SVM\multiclase\DeepONMF_H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_01\SVM\decreciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_01\SVM\decreciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_01\SVM\decreciente\matriz_confusion.png
1,decreciente,17-11,KNN,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\resultados\configuraciones\17_11\clasificadores\KNN\multiclase\DeepONMF_H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_01\KNN\decreciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_01\KNN\decreciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_01\KNN\decreciente\matriz_confusion.png
1,decreciente,17-11,UjaNet,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\resultados\configuraciones\17_11\clasificadores\UjaNet\multiclase\DeepONMF_H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_01\UjaNet\decreciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_01\UjaNet\decreciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_01\UjaNet\decreciente\matriz_confusion.png
1,creciente,11-17,SVM,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\inc\11_17\pred\SVM\H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_01\SVM\creciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_01\SVM\creciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_01\SVM\creciente\matriz_confusion.png
1,creciente,11-17,KNN,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\inc\11_17\pred\KNN\H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_01\KNN\creciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_01\KNN\creciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_01\KNN\creciente\matriz_confusion.png
1,creciente,11-17,UjaNet,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\inc\11_17\pred\UjaNet\H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_01\UjaNet\creciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_01\UjaNet\creciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_01\UjaNet\creciente\matriz_confusion.png
2,decreciente,9-4,SVM,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\resultados\configuraciones\9_4\clasificadores\SVM\multiclase\DeepONMF_H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_02\SVM\decreciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_02\SVM\decreciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_02\SVM\decreciente\matriz_confusion.png
2,decreciente,9-4,KNN,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\resultados\configuraciones\9_4\clasificadores\KNN\multiclase\DeepONMF_H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_02\KNN\decreciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_02\KNN\decreciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_02\KNN\decreciente\matriz_confusion.png
2,decreciente,9-4,UjaNet,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\resultados\configuraciones\9_4\clasificadores\UjaNet\multiclase\DeepONMF_H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_02\UjaNet\decreciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_02\UjaNet\decreciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_02\UjaNet\decreciente\matriz_confusion.png
2,creciente,4-9,SVM,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\inc\4_9\pred\SVM\H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_02\SVM\creciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_02\SVM\creciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_02\SVM\creciente\matriz_confusion.png
