pareja,sentido,distribucion,numero_capas,clasificador,representacion,predicciones,aciertos,accuracy_directa,mayor_error_real,mayor_error_predicha,mayor_error_cantidad,ruta_png
1,decreciente,17-11,2,SVM,DeepONMF_H2,1000,884,0.884,MVP,MR,21,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_01\SVM\decreciente\matriz_confusion.png
1,decreciente,17-11,2,KNN,DeepONMF_H2,1000,767,0.767,MS,MR,54,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_01\KNN\decreciente\matriz_confusion.png
1,decreciente,17-11,2,UjaNet,DeepONMF_H2,1000,952,0.952,MR,AS,8,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_01\UjaNet\decreciente\matriz_confusion.png
1,creciente,11-17,2,SVM,DeepONMF_H2,1000,864,0.864,MVP,MR,25,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_01\SVM\creciente\matriz_confusion.png
1,creciente,11-17,2,KNN,DeepONMF_H2,1000,710,0.71,AS,MR,50,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_01\KNN\creciente\matriz_confusion.png
1,creciente,11-17,2,UjaNet,DeepONMF_H2,1000,937,0.937,MR,AS,9,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_01\UjaNet\creciente\matriz_confusion.png
2,decreciente,9-4,2,SVM,DeepONMF_H2,1000,904,0.904,MVP,MR,18,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_02\SVM\decreciente\matriz_confusion.png
2,decreciente,9-4,2,KNN,DeepONMF_H2,1000,850,0.85,MVP,MR,24,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_02\KNN\decreciente\matriz_confusion.png
2,decreciente,9-4,2,UjaNet,DeepONMF_H2,1000,950,0.95,MR,AS,9,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_02\UjaNet\decreciente\matriz_confusion.png
2,creciente,4-9,2,SVM,DeepONMF_H2,1000,870,0.87,MVP,MR,34,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_02\SVM\creciente\matriz_confusion.png
2,creciente,4-9,2,KNN,DeepONMF_H2,1000,733,0.733,MS,MR,50,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_02\KNN\creciente\matriz_confusion.png
2,creciente,4-9,2,UjaNet,DeepONMF_H2,1000,944,0.944,MR,AS,9,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_02\UjaNet\creciente\matriz_confusion.png
3,decreciente,11-10,2,SVM,DeepONMF_H2,1000,885,0.885,MVP,MR,18,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_03\SVM\decreciente\matriz_confusion.png
3,decreciente,11-10,2,KNN,DeepONMF_H2,1000,760,0.76,AS,MR,43,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_03\KNN\decreciente\matriz_confusion.png
3,decreciente,11-10,2,UjaNet,DeepONMF_H2,1000,949,0.949,MR,AS,9,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_03\UjaNet\decreciente\matriz_confusion.png
3,creciente,10-11,2,SVM,DeepONMF_H2,1000,886,0.886,MVP,MR,21,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_03\SVM\creciente\matriz_confusion.png
3,creciente,10-11,2,KNN,DeepONMF_H2,1000,720,0.72,AS,MR,87,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_03\KNN\creciente\matriz_confusion.png
3,creciente,10-11,2,UjaNet,DeepONMF_H2,1000,937,0.937,MR,AS,10,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_03\UjaNet\creciente\matriz_confusion.png
4,decreciente,16-10,2,SVM,DeepONMF_H2,1000,890,0.89,MVP,MR,20,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_04\SVM\decreciente\matriz_confusion.png
4,decreciente,16-10,2,KNN,DeepONMF_H2,1000,776,0.776,MS,MR,40,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_04\KNN\decreciente\matriz_confusion.png
4,decreciente,16-10,2,UjaNet,DeepONMF_H2,1000,949,0.949,MVP,N,7,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_04\UjaNet\decreciente\matriz_confusion.png
4,creciente,10-16,2,SVM,DeepONMF_H2,1000,860,0.86,MVP,MR,29,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_04\SVM\creciente\matriz_confusion.png
4,creciente,10-16,2,KNN,DeepONMF_H2,1000,699,0.699,AS,MR,74,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_04\KNN\creciente\matriz_confusion.png
4,creciente,10-16,2,UjaNet,DeepONMF_H2,1000,929,0.929,AS,MR,10,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_04\UjaNet\creciente\matriz_confusion.png
5,decreciente,9-8,2,SVM,DeepONMF_H2,1000,893,0.893,MVP,MR,22,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_05\SVM\decreciente\matriz_confusion.png
5,decreciente,9-8,2,KNN,DeepONMF_H2,1000,767,0.767,AS,MR,49,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_05\KNN\decreciente\matriz_confusion.png
5,decreciente,9-8,2,UjaNet,DeepONMF_H2,1000,948,0.948,MR,AS,11,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_05\UjaNet\decreciente\matriz_confusion.png
