metodo,codigo_metodo,clase,capa,rango,entrada,W,H,error_relativo,ortogonalidad_media,segundos
NNDSVDa,nndsvda,N,1,9,126 x 42612,126 x 9,9 x 42612,0.042861079605086116,0.7194554596249987,3.546072000055574
NNDSVDa,nndsvda,N,2,8,9 x 42612,9 x 8,8 x 42612,0.15639436478032098,0.3873154565867757,1.0206683999858797
NNDSVDa,nndsvda,N,3,7,8 x 42612,8 x 7,7 x 42612,0.24075106926129825,0.25257267255131904,0.9297309999819845
NNDSVDa,nndsvda,AS,1,9,126 x 49184,126 x 9,9 x 49184,0.12768693652945312,0.34646248592723006,3.7773684000130743
NNDSVDa,nndsvda,AS,2,8,9 x 49184,9 x 8,8 x 49184,0.18730674592038532,0.21023117941691924,1.244891499984078
NNDSVDa,nndsvda,AS,3,7,8 x 49184,8 x 7,7 x 49184,0.23208932574927343,0.16608130491246978,1.1610647999914363
NNDSVDa,nndsvda,MR,1,9,126 x 43248,126 x 9,9 x 43248,0.11850744584760997,0.35180427488463234,3.291713299928233
NNDSVDa,nndsvda,MR,2,8,9 x 43248,9 x 8,8 x 43248,0.20262303830408498,0.21470606956657295,1.0653952999273315
NNDSVDa,nndsvda,MR,3,7,8 x 43248,8 x 7,7 x 43248,0.23172393770698016,0.14906280334242114,0.9606927999993786
NNDSVDa,nndsvda,MS,1,9,126 x 45156,126 x 9,9 x 45156,0.07460863081792182,0.538729129762096,3.425666800001636
NNDSVDa,nndsvda,MS,2,8,9 x 45156,9 x 8,8 x 45156,0.1343382485198493,0.2912750865589836,1.1030231000622734
NNDSVDa,nndsvda,MS,3,7,8 x 45156,8 x 7,7 x 45156,0.23964128726384293,0.20454372617331587,1.0535680999746546
NNDSVDa,nndsvda,MVP,1,9,126 x 43248,126 x 9,9 x 43248,0.10019477780625767,0.47741382045240294,3.2286569999996573
NNDSVDa,nndsvda,MVP,2,8,9 x 43248,9 x 8,8 x 43248,0.150560000564028,0.27285316847160435,1.1173464000457898
NNDSVDa,nndsvda,MVP,3,7,8 x 43248,8 x 7,7 x 43248,0.23971971671166833,0.19683799643703265,0.9624331000959501
