clase,archivo,origen,tSNE_1,tSNE_2
N,columna_H_000158,columnas_H_final,31.531437,29.417824
N,columna_H_000223,columnas_H_final,19.263048,34.195377
N,columna_H_000322,columnas_H_final,-4.748771,16.873028
N,columna_H_000500,columnas_H_final,-6.320037,20.495365
N,columna_H_000606,columnas_H_final,-16.564127,9.174903
N,columna_H_001073,columnas_H_final,27.472946,5.3255587
N,columna_H_001292,columnas_H_final,-16.246498,18.70835
N,columna_H_001514,columnas_H_final,-17.53606,10.508512
N,columna_H_001620,columnas_H_final,-19.065945,5.0430617
N,columna_H_001789,columnas_H_final,-10.607104,4.397188
N,columna_H_001864,columnas_H_final,-15.98144,8.123495
N,columna_H_002092,columnas_H_final,20.659784,20.79479
N,columna_H_002222,columnas_H_final,-29.423761,13.080672
N,columna_H_002346,columnas_H_final,9.975814,4.735765
N,columna_H_002354,columnas_H_final,-15.381864,15.467539
N,columna_H_002472,columnas_H_final,-28.02526,7.9053164
N,columna_H_002518,columnas_H_final,27.36153,27.04684
N,columna_H_002580,columnas_H_final,30.504011,30.342539
N,columna_H_003366,columnas_H_final,43.501286,-7.3690777
N,columna_H_003887,columnas_H_final,-17.526276,18.709583
N,columna_H_003950,columnas_H_final,-17.262217,19.593262
N,columna_H_004112,columnas_H_final,19.515228,33.814247
N,columna_H_004126,columnas_H_final,-19.297852,12.613836
N,columna_H_004599,columnas_H_final,-15.537203,11.542258
N,columna_H_004621,columnas_H_final,-15.7120905,18.61962
N,columna_H_004868,columnas_H_final,-18.432882,9.008799
N,columna_H_005050,columnas_H_final,-18.541817,9.499883
N,columna_H_005234,columnas_H_final,-28.473555,-3.200309
N,columna_H_005574,columnas_H_final,-23.7983,5.8755765
N,columna_H_005599,columnas_H_final,26.44528,-18.891575
N,columna_H_006008,columnas_H_final,-16.27347,19.94459
N,columna_H_006189,columnas_H_final,35.56386,-4.77153
N,columna_H_006384,columnas_H_final,-19.825506,19.893028
N,columna_H_006411,columnas_H_final,-19.035149,18.779232
N,columna_H_006560,columnas_H_final,-17.219015,11.132909
N,columna_H_006798,columnas_H_final,2.7128842,13.500386
N,columna_H_007684,columnas_H_final,-33.709126,-8.10937
N,columna_H_007910,columnas_H_final,-37.288784,-19.377165
N,columna_H_008169,columnas_H_final,21.890287,33.022614
N,columna_H_008190,columnas_H_final,-37.7647,-19.210054
N,columna_H_008518,columnas_H_final,-40.15044,-17.088654
N,columna_H_009080,columnas_H_final,-28.915098,3.9441717
N,columna_H_009136,columnas_H_final,-31.602945,7.059591
N,columna_H_009144,columnas_H_final,-31.460506,5.036828
N,columna_H_009548,columnas_H_final,20.47514,34.97942
N,columna_H_009590,columnas_H_final,10.450804,7.7526083
N,columna_H_010187,columnas_H_final,8.717129,4.530864
N,columna_H_010195,columnas_H_final,-31.069065,4.0033135
N,columna_H_010387,columnas_H_final,-30.329073,5.0064244
N,columna_H_010445,columnas_H_final,-19.865557,-0.56723017
N,columna_H_010508,columnas_H_final,-31.504501,10.883277
N,columna_H_010811,columnas_H_final,-33.098553,9.308362
N,columna_H_011303,columnas_H_final,-26.199236,4.6244335
N,columna_H_011366,columnas_H_final,-25.805202,6.520357
N,columna_H_011809,columnas_H_final,-17.612995,-4.793004
N,columna_H_011912,columnas_H_final,33.729645,29.428402
N,columna_H_011950,columnas_H_final,-25.190632,6.347262
N,columna_H_012087,columnas_H_final,16.359612,18.919773
N,columna_H_012727,columnas_H_final,41.702267,-6.438268
N,columna_H_012778,columnas_H_final,-22.419075,7.8568935
N,columna_H_012852,columnas_H_final,-31.02363,9.657471
N,columna_H_013718,columnas_H_final,-34.19258,-2.980348
N,columna_H_013729,columnas_H_final,-24.774971,-0.8392271
N,columna_H_014470,columnas_H_final,-21.544727,16.488716
N,columna_H_014489,columnas_H_final,-30.529657,2.0053596
N,columna_H_014664,columnas_H_final,28.677898,26.925053
N,columna_H_015144,columnas_H_final,-23.257412,10.130112
N,columna_H_015223,columnas_H_final,-31.99184,-7.334861
N,columna_H_015351,columnas_H_final,-25.87315,2.8685145
N,columna_H_015692,columnas_H_final,29.949,29.082388
N,columna_H_015850,columnas_H_final,-29.13031,-3.6945684
N,columna_H_016017,columnas_H_final,-31.980736,-6.0905848
N,columna_H_016052,columnas_H_final,21.38925,4.3813353
N,columna_H_016106,columnas_H_final,-32.353447,8.696548
N,columna_H_016129,columnas_H_final,-18.195818,18.431408
N,columna_H_016219,columnas_H_final,-29.613735,8.1974325
N,columna_H_016474,columnas_H_final,37.607727,-7.7201457
N,columna_H_016674,columnas_H_final,23.709127,-10.879189
N,columna_H_017045,columnas_H_final,-32.022587,-7.9962354
N,columna_H_017116,columnas_H_final,-8.008703,6.0862885
N,columna_H_017271,columnas_H_final,22.243122,-1.2933706
N,columna_H_017494,columnas_H_final,-32.026253,-7.5851784
N,columna_H_017710,columnas_H_final,-31.152071,11.501142
N,columna_H_018241,columnas_H_final,17.6138,-2.1494691
N,columna_H_018461,columnas_H_final,-23.850868,-1.1896484
N,columna_H_018683,columnas_H_final,-22.918667,17.220959
N,columna_H_018723,columnas_H_final,-8.19203,-15.925717
N,columna_H_018737,columnas_H_final,-24.838547,4.1187105
N,columna_H_018876,columnas_H_final,37.642498,23.005264
N,columna_H_018880,columnas_H_final,8.290925,-12.108736
N,columna_H_018949,columnas_H_final,-24.075691,-1.1908247
