clase,archivo,ruta,columnas_espectrograma,duracion_s,F_1,F_2,F_3,F_4,F_5,F_6,F_7,origen
N,New_N_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_001.wav,212,2.104625,1.0261767153034094,0.4621012730529701,0.5468944394560837,1.0246620574615426,1.0352584622293324,0.7112075736383444,1.0618022788168135,media_H_por_audio
N,New_N_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_002.wav,212,2.1195,1.1015887272525027,0.4113310985465766,0.5853883958646798,1.335163630754212,1.156245543094335,0.4270088261540092,1.0584953952752851,media_H_por_audio
N,New_N_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_003.wav,212,2.116625,1.212908219903198,0.5193146406837237,0.4990817116543071,0.9674171083137109,1.2586650757333875,0.8402201971539839,1.0200740069528842,media_H_por_audio
N,New_N_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_004.wav,212,2.087,1.2812049288518181,0.5124875570487343,0.43975430752909545,1.0294354552509606,1.0946005536629582,0.810217060207403,1.0557075222186636,media_H_por_audio
N,New_N_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_005.wav,212,2.120375,1.1184567763921445,0.5651682610762532,0.4633281006122084,1.1237041789807785,1.2138220730489528,0.8800101981581021,0.8638339753324173,media_H_por_audio
N,New_N_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_006.wav,212,2.090625,1.300069885696452,0.5358545295775441,0.5040634287319431,0.9649328728577359,1.2828877417319446,0.796117462311668,0.9874972828432704,media_H_por_audio
N,New_N_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_007.wav,212,2.101875,0.8942516506592567,0.6823043957710826,0.5476397966530634,1.0037570515908645,1.28042881737209,0.7725106539817044,1.094065183262158,media_H_por_audio
N,New_N_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_008.wav,212,2.10925,1.1092779901918999,0.5573334787537702,0.5507196110474781,1.083281405123672,1.1402702546667705,0.8243650900425143,0.9281549842774003,media_H_por_audio
N,New_N_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_009.wav,212,2.1005,1.023631932353907,0.4267521873534263,0.5804098666868364,1.3795200041287383,1.1715135574733568,0.67782126912118,0.9802840748490806,media_H_por_audio
N,New_N_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_010.wav,212,2.093,0.7915194126784799,0.5315009825825714,0.6169685326394057,1.21159412680074,1.389814684812728,0.9742119805166413,0.7893821204131954,media_H_por_audio
N,New_N_011.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_011.wav,212,2.1105,1.2520917296897622,0.6825669012975971,0.44210777975627147,0.8850390663440074,1.1783534729950718,0.8617879739645533,1.0255694624938558,media_H_por_audio
N,New_N_012.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_012.wav,212,2.095625,0.9617424119732603,0.523151389607501,0.5106040286289931,1.0675917763461096,1.3560602972044244,0.7372903102928854,1.101274241673182,media_H_por_audio
