clase,archivo,origen,F_1,F_2,F_3,F_4,F_5,F_6,F_7
N,frecuencia_bin_000,filas_W_final,0.08512332595507262,0.029466959649941435,0.1109023236001398,0.17704448056214617,0.0766387661754861,0.4675109263050124,0.03074560010279063
N,frecuencia_bin_001,filas_W_final,0.3212664268243688,0.1833075629328846,0.1953956334022868,0.3669325065670019,0.42455682204635437,0.4436229512186304,0.2720240311678265
N,frecuencia_bin_002,filas_W_final,0.6064067450842776,0.500577322605673,0.35032182206304346,0.6160010479487256,0.6692456157848613,0.5684452113530408,0.557617105111938
N,frecuencia_bin_003,filas_W_final,0.6275102927584786,0.6432164281963582,0.5456023833609231,0.5809456972816975,0.5307956434601574,0.4488825044566619,0.6511134549592258
N,frecuencia_bin_004,filas_W_final,0.32639673675602765,0.4988664204821984,0.5513216789961892,0.32272566838139105,0.2724744882194181,0.2242960865257258,0.38682323022161386
N,frecuencia_bin_005,filas_W_final,0.09737922718556737,0.21267405785070082,0.34653616949775823,0.08682258557874023,0.04703532668566575,0.05582572274323726,0.09080463567735436
N,frecuencia_bin_006,filas_W_final,0.04332698728500972,0.03944066288135184,0.18577606765056104,0.030425840582322505,0.03556895095103738,0.036856369682344806,0.07450082199626179
N,frecuencia_bin_007,filas_W_final,0.0672346425956284,0.04558487101242795,0.17966342180478623,0.04323127660637785,0.04902004156459055,0.04349888442200538,0.10686754606370633
N,frecuencia_bin_008,filas_W_final,0.06153726868469674,0.042600469938034534,0.15669290478422723,0.03968572129863017,0.04527438179986064,0.0349769390744347,0.10025768995683677
N,frecuencia_bin_009,filas_W_final,0.03052254711949183,0.027515101223285075,0.09679329490377836,0.021463011955426218,0.022858348145302198,0.02066722511678018,0.05598272847544931
N,frecuencia_bin_010,filas_W_final,0.00972949530540491,0.02036641662511405,0.03938176133779221,0.009081707551881462,0.009286424944247935,0.011520173974692188,0.0216051628625732
N,frecuencia_bin_011,filas_W_final,0.009963103212516235,0.012113132934268698,0.022613819753687637,0.008509395486323963,0.014019783651038405,0.017464443722477154,0.0161652553814052
N,frecuencia_bin_012,filas_W_final,0.013261444979134871,0.007576694308679202,0.02326049040454141,0.00963286071270036,0.01995637769342148,0.02117197923940658,0.01900974591391937
N,frecuencia_bin_013,filas_W_final,0.012081570837535237,0.00648366209036856,0.021315894790987205,0.008136333598102568,0.016982156395333712,0.018203367839820815,0.0165478700144943
N,frecuencia_bin_014,filas_W_final,0.007325202568117127,0.005193735197268791,0.0165109245220323,0.005278239144066283,0.009409970376478994,0.011089367855749743,0.010828987641250062
N,frecuencia_bin_015,filas_W_final,0.0056091415313443554,0.006848206394974999,0.012029508285454795,0.0047740101865754265,0.006516965020207698,0.0061344252486303244,0.008663740044108147
N,frecuencia_bin_016,filas_W_final,0.005345056086417467,0.005503341954380284,0.012627109232231653,0.003926258738059948,0.0068531192103984595,0.007324994598650353,0.009096283507159023
N,frecuencia_bin_017,filas_W_final,0.007737665902297842,0.004923987640205311,0.011720172583318358,0.004858965241070223,0.0088233306807143,0.007623852063142002,0.010584316233614298
N,frecuencia_bin_018,filas_W_final,0.00686613731771201,0.0038520944508026087,0.010368331109130782,0.004177098495563207,0.008557941057915795,0.006948670248807612,0.009127469779010083
N,frecuencia_bin_019,filas_W_final,0.004248218116864191,0.002902000475801556,0.008809213696235671,0.002785419890625764,0.005102374817312334,0.004932890162989811,0.00607198276954592
N,frecuencia_bin_020,filas_W_final,0.004069480257021861,0.0029256799908110452,0.005983314373267254,0.0031298111002084936,0.004720026605096879,0.003338423795183729,0.0052082888705453165
N,frecuencia_bin_021,filas_W_final,0.0028411104152733474,0.002291472857521776,0.007072745035155452,0.002174777537741658,0.003473027791374457,0.0040341799285043,0.004314108692733787
N,frecuencia_bin_022,filas_W_final,0.003926985350350422,0.0027493582007822913,0.007162310441903959,0.002621319818982858,0.00439563959267713,0.003631576182687526,0.005469297582900977
N,frecuencia_bin_023,filas_W_final,0.003317116507543609,0.002324349698470082,0.006486277799567053,0.0023499436376943554,0.004065644546090418,0.003161198723405891,0.004876680030190493
N,frecuencia_bin_024,filas_W_final,0.0019092339704909955,0.0017906826156364611,0.005468225863150015,0.0016401538974528788,0.0025756458895312704,0.0025857131327659245,0.0031954257159388317
N,frecuencia_bin_025,filas_W_final,0.0029841441391345288,0.0020061261952542806,0.00364308080315652,0.0024344419783081128,0.0034514336489251747,0.0019952416967519587,0.0036293387029865
N,frecuencia_bin_026,filas_W_final,0.001640534257474328,0.001476740448524548,0.00372128928462021,0.0015197128855232126,0.002308710399725009,0.0023074697205842077,0.0023637720840893515
N,frecuencia_bin_027,filas_W_final,0.0022993997139340227,0.0020374432656026006,0.0030489099910564746,0.0018787232258103358,0.002740260954967574,0.0018296540219461417,0.003025699848492103
N,frecuencia_bin_028,filas_W_final,0.002092039482764392,0.0021041358683764728,0.0029484837372552135,0.0018913356822227885,0.0025119396726373975,0.00147168455768053,0.002792997932649695
N,frecuencia_bin_029,filas_W_final,0.0012501252175378685,0.0017807175522825363,0.0031313286810531558,0.0012694674563897548,0.00156068881844418,0.001519808069539111,0.001950722896513494
N,frecuencia_bin_030,filas_W_final,0.002453683660529403,0.001858271800973066,0.002392775724057325,0.0019329638824771911,0.0025252361986276076,0.0013442654236277831,0.0028415739453268923
N,frecuencia_bin_031,filas_W_final,0.0012663395422216903,0.0012600120210476862,0.002824493777510612,0.0010961087155379346,0.00179215637846633,0.0017548764949902687,0.0019066153373950975
N,frecuencia_bin_032,filas_W_final,0.0020483321062905193,0.0015772945812688533,0.0023428067868069375,0.0015539629372330183,0.0023362724878762484,0.001435330449286982,0.002449390555334855
N,frecuencia_bin_033,filas_W_final,0.0018183999349580342,0.0014516935954666502,0.0023377108753203984,0.0014870353485723828,0.002237445897715524,0.0013711567656608545,0.00226884114600168
N,frecuencia_bin_034,filas_W_final,0.0009674839647451978,0.0012018737814343853,0.0024936689162602106,0.0010297372925425412,0.0013665499435860505,0.0012768595288654577,0.0014819794146418038
N,frecuencia_bin_035,filas_W_final,0.002063967099588295,0.0014851309960793543,0.001733083397516445,0.0015541415858059634,0.0022467033244763512,0.0012592874650496659,0.002311595328353047
N,frecuencia_bin_036,filas_W_final,0.0008982235415070348,0.0010291090170668757,0.0022476622101964823,0.0009471442283913768,0.001293345590554899,0.0011940526926812593,0.0013078948880720647
N,frecuencia_bin_037,filas_W_final,0.0013946255549990465,0.0012631017249757357,0.0018410999647426557,0.0014507337985058578,0.0019156217108040195,0.0011197884133452084,0.00192946701770996
N,frecuencia_bin_038,filas_W_final,0.0014479976049452028,0.0011983764603266866,0.001661171512834783,0.001335392280469399,0.0018963115602442372,0.0010509421662650942,0.001770882756860289
N,frecuencia_bin_039,filas_W_final,0.0007460493934862337,0.0010550328563009804,0.001864265281300826,0.0008600630379462929,0.0010924530772598172,0.0009810008349747839,0.001155539381993392
N,frecuencia_bin_040,filas_W_final,0.001756645266479078,0.0013039483710402442,0.0014235619089247786,0.0014807842772091157,0.0018626150503785303,0.0009279235065127257,0.0019310646739694975
N,frecuencia_bin_041,filas_W_final,0.0007150138565454563,0.0009725513167624409,0.0019031670484654032,0.0007949213990785582,0.0010015533020568705,0.0008615775639745221,0.0010226188363305251
N,frecuencia_bin_042,filas_W_final,0.0013454387890725313,0.0011866870262242433,0.001483227571194713,0.0010873911462980536,0.001512327908288877,0.0008910561222416852,0.0016775640083210733
N,frecuencia_bin_043,filas_W_final,0.0012514677656893275,0.0010749095426111346,0.0014546344845579302,0.001169792757322268,0.0016029169590665003,0.0008508060071711473,0.0015701014582002583
N,frecuencia_bin_044,filas_W_final,0.0006425479321914576,0.0009486797200322989,0.0016298121027888755,0.0007212113917635487,0.0009412218827411453,0.0007396091886536872,0.0010247164205496198
N,frecuencia_bin_045,filas_W_final,0.0015429683562528792,0.00109143982023245,0.0011892527447326397,0.0012988360137711785,0.001704973412529786,0.0008857138336747832,0.0017014049900431771
N,frecuencia_bin_046,filas_W_final,0.0006320632300171732,0.0008530690133775997,0.0015814809727283427,0.000729647298728081,0.0008952198584555004,0.0007554871578106591,0.0009177412893269861
