fold,clase,etiqueta_binaria,archivo,ruta,error_vs_N,afinidad_mejorada_N,afinidad_f8_N,error_vs_AS,afinidad_mejorada_AS,afinidad_f8_AS,error_vs_MR,afinidad_mejorada_MR,afinidad_f8_MR,error_vs_MS,afinidad_mejorada_MS,afinidad_f8_MS,error_vs_MVP,afinidad_mejorada_MVP,afinidad_f8_MVP
4,N,normal,New_N_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_001.wav,0.07493395476011071,2.5911481566031225,0.5370084029064408,0.11088502316481798,2.1992614418536762,0.011563495726134545,0.09158460626076219,2.390492075346505,0.09077454073310097,0.09562967687665921,2.347272079517336,0.05894025869436001,0.08033422482774955,2.5215595367803023,0.3017133019399637
4,N,normal,New_N_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_002.wav,0.0748501210977927,2.5922675502448267,0.46731495021769087,0.10691979223889886,2.23567633085866,0.01517104725157447,0.08827825531703015,2.4272614608492677,0.1112523492592901,0.08873215350757269,2.422132958085979,0.10598401529021179,0.07898835913792233,2.5384547900571164,0.30027763798123286
4,N,normal,New_N_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_003.wav,0.07366038451163365,2.6082901478915,0.45571119027668355,0.11372114231430615,2.1740059472769944,0.005876719428261085,0.08547528545173982,2.459528003869019,0.12630298483275862,0.09078743749977815,2.399234356473294,0.07093395066761567,0.07632563137582075,2.5727464681933694,0.3411751547946811
4,N,normal,New_N_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_004.wav,0.07798323527744125,2.551261407734308,0.38052750977699445,0.11114874325301695,2.1968859454013328,0.012514710469538783,0.08953688377551197,2.4131046293714133,0.11581778889643576,0.09101995977067139,2.396676458377134,0.09941705348054357,0.07770160267377162,2.55487939538919,0.3917229373764873
4,N,normal,New_N_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_005.wav,0.08328148289709594,2.485529048672857,0.3725753562551785,0.12430706708910785,2.0850004269802307,0.007239348237684755,0.09411575467640122,2.363229821575857,0.13159140073649378,0.08999003697671051,2.40805631503837,0.19558932130411655,0.08578254136110347,2.4559397738330344,0.2930045734665264
4,N,normal,New_N_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_006.wav,0.08122045255332147,2.5105881847951417,0.4393913526684406,0.11990350435553356,2.1210679900568996,0.009729982272179668,0.09580607443570735,2.345429188544642,0.10445384072480572,0.09706830418013312,2.332340381482377,0.0922423140694643,0.08340912175279935,2.4839976020635204,0.3541825102651097
4,N,normal,New_N_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_007.wav,0.08182881842823797,2.5031257938940588,0.39332078802792986,0.11859920107917363,2.132005528704492,0.010802380994478361,0.09085014567923864,2.3985438806273334,0.1628215573689665,0.09624331778134432,2.340875733872686,0.09610016410694883,0.08341093585843111,2.483975852812767,0.3369551095016767
4,N,normal,New_N_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_008.wav,0.08180621956324642,2.5034020044833385,0.3357634559665841,0.11926870734582717,2.1263762864998665,0.007878813640117097,0.08973971995046065,2.4108417991160063,0.15168261965804877,0.09418739350969134,2.362468933216459,0.0971555102489344,0.07987248553289165,2.52732384680634,0.4075196004863157
4,N,normal,New_N_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_009.wav,0.0757733946376806,2.5800080421725515,0.45113040565814355,0.1108764297748025,2.199338943059642,0.011085631432743792,0.09024222001703305,2.4052578902824115,0.09792162953407701,0.0930203826618182,2.3749366414361206,0.07302886187934887,0.07773259585395947,2.5544806005178917,0.3668334714956868
4,N,normal,New_N_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_010.wav,0.08089367649206962,2.514619622471216,0.4892881838663712,0.12871608813067525,2.050146167292166,0.004321240471541089,0.09985342733676428,2.304051894854472,0.0750325810812925,0.09703038467721578,2.332731105434435,0.09919701574600405,0.08481026438654167,2.4673387012151835,0.33216097883479134
