clase,archivo,origen,tSNE_1,tSNE_2
N,New_N_001.wav,media_H_por_audio,7.0453725,31.631386
N,New_N_002.wav,media_H_por_audio,8.981388,27.722006
N,New_N_003.wav,media_H_por_audio,5.611218,28.5821
N,New_N_004.wav,media_H_por_audio,5.672198,29.083963
N,New_N_005.wav,media_H_por_audio,9.796961,31.566044
N,New_N_006.wav,media_H_por_audio,6.509088,27.326921
N,New_N_007.wav,media_H_por_audio,6.209334,26.79712
N,New_N_008.wav,media_H_por_audio,5.460787,28.515152
N,New_N_009.wav,media_H_por_audio,6.0588555,30.556526
N,New_N_010.wav,media_H_por_audio,8.123154,31.726336
N,New_N_011.wav,media_H_por_audio,5.685697,26.692247
N,New_N_012.wav,media_H_por_audio,4.777755,26.58752
N,New_N_013.wav,media_H_por_audio,6.8026247,32.495384
N,New_N_014.wav,media_H_por_audio,7.687189,27.395472
N,New_N_015.wav,media_H_por_audio,4.931672,31.184362
N,New_N_016.wav,media_H_por_audio,5.445898,29.06724
N,New_N_017.wav,media_H_por_audio,8.119612,26.473654
N,New_N_018.wav,media_H_por_audio,7.773274,26.893263
N,New_N_019.wav,media_H_por_audio,7.978674,27.634872
N,New_N_020.wav,media_H_por_audio,10.048287,31.42378
N,New_N_021.wav,media_H_por_audio,5.142059,31.626572
N,New_N_022.wav,media_H_por_audio,6.574417,30.231737
N,New_N_023.wav,media_H_por_audio,8.659289,30.930641
N,New_N_024.wav,media_H_por_audio,8.617034,28.524876
N,New_N_025.wav,media_H_por_audio,4.3494296,27.74463
N,New_N_026.wav,media_H_por_audio,8.110043,26.7821
N,New_N_027.wav,media_H_por_audio,6.537717,31.405603
N,New_N_028.wav,media_H_por_audio,8.199316,28.510357
N,New_N_029.wav,media_H_por_audio,7.129918,26.868399
N,New_N_030.wav,media_H_por_audio,6.7378216,29.525497
N,New_N_031.wav,media_H_por_audio,6.2924404,31.522831
N,New_N_032.wav,media_H_por_audio,6.9886656,29.431168
N,New_N_033.wav,media_H_por_audio,6.0832214,26.86028
N,New_N_034.wav,media_H_por_audio,5.051483,26.324339
N,New_N_035.wav,media_H_por_audio,5.541092,31.560314
N,New_N_036.wav,media_H_por_audio,8.805646,32.135002
N,New_N_037.wav,media_H_por_audio,16.105947,-5.4172997
N,New_N_038.wav,media_H_por_audio,16.099197,-5.4118342
N,New_N_039.wav,media_H_por_audio,16.10401,-5.4162993
N,New_N_040.wav,media_H_por_audio,16.103235,-5.4144382
N,New_N_041.wav,media_H_por_audio,20.05783,18.311472
N,New_N_042.wav,media_H_por_audio,18.366623,17.45055
N,New_N_043.wav,media_H_por_audio,20.345179,15.713566
N,New_N_044.wav,media_H_por_audio,18.683054,17.30259
N,New_N_045.wav,media_H_por_audio,21.409351,18.975292
N,New_N_046.wav,media_H_por_audio,21.723738,16.714802
N,New_N_047.wav,media_H_por_audio,18.597918,17.518167
N,New_N_048.wav,media_H_por_audio,20.214916,16.04923
N,New_N_049.wav,media_H_por_audio,21.505568,15.253707
N,New_N_050.wav,media_H_por_audio,20.699533,17.234701
N,New_N_051.wav,media_H_por_audio,22.586628,17.19791
N,New_N_052.wav,media_H_por_audio,18.740705,16.825214
N,New_N_053.wav,media_H_por_audio,22.159758,18.162775
N,New_N_054.wav,media_H_por_audio,17.644125,15.546654
N,New_N_055.wav,media_H_por_audio,19.679026,16.176708
N,New_N_056.wav,media_H_por_audio,19.746141,15.904234
N,New_N_057.wav,media_H_por_audio,19.335714,16.192827
N,New_N_058.wav,media_H_por_audio,20.902647,17.385157
N,New_N_059.wav,media_H_por_audio,21.046944,14.353209
N,New_N_060.wav,media_H_por_audio,20.421036,14.411227
N,New_N_061.wav,media_H_por_audio,21.146097,15.450021
N,New_N_062.wav,media_H_por_audio,20.150274,15.338725
N,New_N_063.wav,media_H_por_audio,19.835278,15.146273
N,New_N_064.wav,media_H_por_audio,22.175478,14.950643
N,New_N_065.wav,media_H_por_audio,21.462917,18.99933
N,New_N_066.wav,media_H_por_audio,22.382597,16.943113
N,New_N_067.wav,media_H_por_audio,21.10743,15.632228
N,New_N_068.wav,media_H_por_audio,20.471884,16.32248
N,New_N_069.wav,media_H_por_audio,6.2278366,21.712437
N,New_N_070.wav,media_H_por_audio,6.2964892,22.503357
N,New_N_071.wav,media_H_por_audio,7.6124015,21.725266
N,New_N_072.wav,media_H_por_audio,7.642252,22.135368
N,New_N_073.wav,media_H_por_audio,8.191439,19.950003
N,New_N_074.wav,media_H_por_audio,8.841209,20.613747
N,New_N_075.wav,media_H_por_audio,8.153702,20.112055
N,New_N_076.wav,media_H_por_audio,7.6673393,22.596891
N,New_N_077.wav,media_H_por_audio,8.22355,20.387928
N,New_N_078.wav,media_H_por_audio,6.669128,20.365967
N,New_N_079.wav,media_H_por_audio,6.72357,19.982328
N,New_N_080.wav,media_H_por_audio,8.126761,20.541502
N,New_N_081.wav,media_H_por_audio,8.5173645,20.121143
N,New_N_082.wav,media_H_por_audio,7.7089314,21.527464
N,New_N_083.wav,media_H_por_audio,6.9722867,20.766207
N,New_N_084.wav,media_H_por_audio,6.1966376,21.402843
N,New_N_085.wav,media_H_por_audio,7.918716,20.122814
N,New_N_086.wav,media_H_por_audio,6.1696463,22.562654
N,New_N_087.wav,media_H_por_audio,7.811349,20.595188
N,New_N_088.wav,media_H_por_audio,7.158233,20.773321
N,New_N_089.wav,media_H_por_audio,7.7677407,22.26875
N,New_N_090.wav,media_H_por_audio,6.1769257,22.235365
N,New_N_091.wav,media_H_por_audio,7.5827646,22.019144
N,New_N_092.wav,media_H_por_audio,7.2409945,21.60143
N,New_N_093.wav,media_H_por_audio,6.846776,20.505745
N,New_N_094.wav,media_H_por_audio,7.149923,20.397263
N,New_N_095.wav,media_H_por_audio,8.72787,19.464699
N,New_N_096.wav,media_H_por_audio,6.8629255,22.23444
N,New_N_097.wav,media_H_por_audio,8.499118,25.889353
N,New_N_098.wav,media_H_por_audio,6.129538,20.883146
N,New_N_099.wav,media_H_por_audio,21.79989,17.271935
N,New_N_100.wav,media_H_por_audio,22.082523,14.261009
N,New_N_101.wav,media_H_por_audio,19.129177,16.390524
N,New_N_102.wav,media_H_por_audio,20.958197,14.165716
N,New_N_103.wav,media_H_por_audio,19.13491,15.228027
N,New_N_104.wav,media_H_por_audio,21.177082,16.825851
N,New_N_105.wav,media_H_por_audio,22.888796,17.223372
N,New_N_106.wav,media_H_por_audio,21.364529,17.234268
N,New_N_107.wav,media_H_por_audio,21.533401,17.592676
N,New_N_108.wav,media_H_por_audio,20.467024,16.343706
N,New_N_109.wav,media_H_por_audio,21.980885,14.671656
N,New_N_110.wav,media_H_por_audio,20.787855,18.722382
N,New_N_111.wav,media_H_por_audio,22.67597,16.505104
N,New_N_112.wav,media_H_por_audio,20.159765,16.308737
N,New_N_113.wav,media_H_por_audio,19.424166,17.01863
N,New_N_114.wav,media_H_por_audio,20.174736,17.91152
N,New_N_115.wav,media_H_por_audio,17.522715,15.461303
N,New_N_116.wav,media_H_por_audio,21.40562,16.994036
N,New_N_117.wav,media_H_por_audio,20.870314,14.653526
N,New_N_118.wav,media_H_por_audio,21.648964,14.954358
N,New_N_119.wav,media_H_por_audio,19.437809,14.665754
N,New_N_120.wav,media_H_por_audio,22.569284,17.726734
N,New_N_121.wav,media_H_por_audio,19.871267,18.04213
N,New_N_122.wav,media_H_por_audio,21.095661,18.568077
N,New_N_123.wav,media_H_por_audio,19.376122,16.96256
N,New_N_124.wav,media_H_por_audio,22.25145,15.926789
N,New_N_125.wav,media_H_por_audio,19.988316,13.779099
N,New_N_126.wav,media_H_por_audio,-16.774948,-12.408244
N,New_N_127.wav,media_H_por_audio,-17.381687,-12.964057
N,New_N_128.wav,media_H_por_audio,-18.082264,-12.791407
N,New_N_129.wav,media_H_por_audio,-15.257809,-12.006845
N,New_N_130.wav,media_H_por_audio,-16.228594,-11.36649
N,New_N_131.wav,media_H_por_audio,-17.19498,-12.245671
