clase,archivo,origen,F_1,F_2,F_3,F_4,F_5,F_6,F_7
N,columna_H_000158,columnas_H_final,2.69891896776934,1.1200032802077065e-08,4.912573452635494e-09,3.5682281050229037,6.254830171714309e-09,20.090321528677556,12.015150910619623
N,columna_H_000223,columnas_H_final,12.120742986233159,10.983778097218561,0.3366935043563353,1.444360573145163e-08,5.814425986082015,5.093180064752333,2.2505001529809907
N,columna_H_000322,columnas_H_final,0.12002014461297651,0.13269348765859623,0.1411471972233589,1.2108919950018982e-08,0.015605913834698565,1.1831072779944565e-08,0.14548447072426024
N,columna_H_000500,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,0.22030464904379035,0.007016125564829956,6.254830171714309e-09,1.1659836485305203e-08,0.0926133549875639
N,columna_H_000606,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,0.024964713309780222,1.2108919950018982e-08,0.04190771853286386,1.1659836485305203e-08,0.02297369485705694
N,columna_H_001073,columnas_H_final,0.8262973454306897,1.5743355539625716,4.912573452635494e-09,1.9446058246210485,2.404593365216111,1.524940421829202e-08,0.22179761075369409
N,columna_H_001292,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,0.0472511491499937,1.2108919950018982e-08,0.013784385393744223,1.1659836485305203e-08,1.3279042702486508e-08
N,columna_H_001514,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,0.026017817796356875,1.2108919950018982e-08,0.038960460634012484,1.1659836485305203e-08,1.260925144829626e-08
N,columna_H_001620,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,0.003816606941451969,1.2108919950018982e-08,0.03116830116074218,1.1659836485305203e-08,1.260925144829626e-08
N,columna_H_001789,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,4.912573452635494e-09,1.2108919950018982e-08,0.12272265697533351,0.10579219800937963,1.260925144829626e-08
N,columna_H_001864,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,0.016616002685729797,1.2108919950018982e-08,0.04761529451105897,1.1659836485305203e-08,0.05420010312801732
N,columna_H_002092,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,3.148690219553122,0.07776292890639672,6.254830171714309e-09,0.5766947983427724,0.2229303820097613
N,columna_H_002222,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,0.020035733924216252,1.2108919950018982e-08,6.254830171714309e-09,1.1659836485305203e-08,1.260925144829626e-08
N,columna_H_002346,columnas_H_final,8.152055631274267e-09,0.32218769060898694,4.912573452635494e-09,1.2108919950018982e-08,0.35076479316510467,1.1659836485305203e-08,0.27608259825055453
N,columna_H_002354,columnas_H_final,8.152055631274267e-09,0.03607613516586671,0.03275509052293263,1.2108919950018982e-08,9.873872193115285e-05,1.1659836485305203e-08,0.0025348775389957903
N,columna_H_002472,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,0.01055744801705579,1.2108919950018982e-08,0.008434679643252669,0.008057682743332729,1.260925144829626e-08
N,columna_H_002518,columnas_H_final,0.0001285257324350469,1.4602028655517026e-08,8.589735857459049,4.864625464422563,6.254830171714309e-09,12.570446687479247,8.953699436670153
N,columna_H_002580,columnas_H_final,3.00322032842712,3.825996603831933,4.912573452635494e-09,1.2108919950018982e-08,4.967805157619265,23.89231196998055,3.9191443147632845
N,columna_H_003366,columnas_H_final,9.204344766960377,15.648319583975427,5.827730894619108,4.167486608477822,6.254830171714309e-09,1.1659836485305203e-08,6.54634067632106
N,columna_H_003887,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,0.0412587046060511,1.2108919950018982e-08,0.0061389848319942375,1.1659836485305203e-08,1.260925144829626e-08
N,columna_H_003950,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,0.044599638713081216,1.2108919950018982e-08,6.254830171714309e-09,1.1659836485305203e-08,1.260925144829626e-08
N,columna_H_004112,columnas_H_final,14.944953431493081,5.883503963927736,4.912573452635494e-09,3.8828594122725106,0.9428982878090293,6.78695463172064,1.1666346157649537e-07
N,columna_H_004126,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,0.02552117377772296,1.2108919950018982e-08,0.020797943734478398,1.1659836485305203e-08,1.260925144829626e-08
N,columna_H_004599,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,0.037137873846153746,1.2108919950018982e-08,0.05427978984152023,0.01047437118667907,1.260925144829626e-08
N,columna_H_004621,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,0.04921789014214892,1.2108919950018982e-08,0.01763480162245918,1.1659836485305203e-08,1.260925144829626e-08
N,columna_H_004868,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,0.01689910122006342,1.2108919950018982e-08,0.03814170744827417,1.1659836485305203e-08,1.260925144829626e-08
N,columna_H_005050,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,0.01848561282417303,1.2108919950018982e-08,0.0349357198220465,1.1659836485305203e-08,1.260925144829626e-08
N,columna_H_005234,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,0.015558234872581022,1.2108919950018982e-08,0.006679236273502883,1.2313265284457153e-08,0.01965138946506642
N,columna_H_005574,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,0.008718121896383432,1.2108919950018982e-08,0.01641516187732407,1.1659836485305203e-08,1.260925144829626e-08
N,columna_H_005599,columnas_H_final,0.7349533212262058,0.8998891211947764,4.912573452635494e-09,0.5953466492435152,6.5483200925300284e-09,0.3927790254184936,0.011679012553123725
N,columna_H_006008,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,0.04931907583804686,1.2108919950018982e-08,6.254830171714309e-09,1.1659836485305203e-08,1.260925144829626e-08
N,columna_H_006189,columnas_H_final,9.504410174820131e-09,4.90469191606712,4.912573452635494e-09,3.3980985621969433,0.7995228551807556,2.3141233445969798,0.12239152806123112
N,columna_H_006384,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,0.035644084856418075,1.2108919950018982e-08,0.009122720339850702,1.1659836485305203e-08,0.018672142620285596
N,columna_H_006411,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,0.036849322691915265,1.2108919950018982e-08,6.254830171714309e-09,0.006531898368341688,1.260925144829626e-08
N,columna_H_006560,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,0.030243913981040305,1.2108919950018982e-08,0.037566697909189935,1.1659836485305203e-08,1.260925144829626e-08
N,columna_H_006798,columnas_H_final,0.5898649216704498,1.1200032802077065e-08,0.04363533468745703,1.2108919950018982e-08,6.254830171714309e-09,0.02585451073455902,1.260925144829626e-08
N,columna_H_007684,columnas_H_final,8.152055631274267e-09,0.0025744359558103396,0.003304779086803805,0.000606810023517873,6.254830171714309e-09,1.1659836485305203e-08,0.010561678240580036
N,columna_H_007910,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,0.00021934683721504494,1.2108919950018982e-08,0.0006786522715242145,0.0017675814673241506,1.260925144829626e-08
N,columna_H_008169,columnas_H_final,50.102627056094995,1.1200032802077065e-08,3.4081356861203664,1.2108919950018982e-08,6.254830171714309e-09,17.77570933028768,1.260925144829626e-08
N,columna_H_008190,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,0.00020805215940144438,1.2108919950018982e-08,0.0009434211568887788,0.0011803624503257525,1.260925144829626e-08
N,columna_H_008518,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,0.0015087392971181914,1.2108919950018982e-08,0.0013608006636076876,1.1659836485305203e-08,1.260925144829626e-08
N,columna_H_009080,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,0.006404347620217335,1.2108919950018982e-08,0.007846442322436647,1.7425648832391096e-08,0.002319217860496399
N,columna_H_009136,columnas_H_final,8.152055631274267e-09,1.1200032802077065e-08,0.009414610252985523,1.2108919950018982e-08,0.002479894180654379,0.005496536557771695,1.260925144829626e-08
