indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
0,SNR_-8db,N,New_N_001.wav,30-13-6,DeepONMF_H3,3,0.458193862980574,6x212,0.026546400040388107,30,0.3079893819393043,0.26208110986284733,0.017471000086516142,13,0.5297745472285398,0.20952981883758726,0.005032600020058453,6,0.5555778991027533,0.18083790600318422,0.0030586000066250563
1,SNR_-8db,N,New_N_002.wav,30-13-6,DeepONMF_H3,3,0.45191491620301444,6x212,0.023976299911737442,30,0.31133179092950536,0.2657561528072145,0.016107000061310828,13,0.5405518645714485,0.21190884638893956,0.004276099964044988,6,0.5509389039566646,0.2012095352691986,0.0027522000018507242
2,SNR_-8db,N,New_N_003.wav,30-13-6,DeepONMF_H3,3,0.44655684992318173,6x212,0.023532900027930737,30,0.3095532042261951,0.2802681928658964,0.015038200072012842,13,0.5171816343179009,0.21859004185734351,0.004649500013329089,6,0.49772807142356823,0.17246998334191,0.002820500056259334
3,SNR_-8db,N,New_N_004.wav,30-13-6,DeepONMF_H3,3,0.4574790914203713,6x212,0.024084500037133694,30,0.3123223628586181,0.2717104905658316,0.016184400068596005,13,0.5428216131283937,0.18996808948275343,0.004192900029011071,6,0.5723497179097489,0.17540316977246437,0.0025638999650254846
4,SNR_-8db,N,New_N_005.wav,30-13-6,DeepONMF_H3,3,0.44989950683504015,6x212,0.023230799939483404,30,0.3083199258000429,0.27335057863727724,0.01490039995405823,13,0.5350695889894533,0.20559047199055158,0.004583299974910915,6,0.5334767744672672,0.17963707878021049,0.0029570000478997827
5,SNR_-8db,N,New_N_006.wav,30-13-6,DeepONMF_H3,3,0.4593296136893282,6x212,0.024894300033338368,30,0.30582154668955674,0.28150017350051687,0.01628720003645867,13,0.5093448746475755,0.22655683290014167,0.004856600076891482,6,0.5149730149680152,0.16368197955935831,0.002802700037136674
6,SNR_-8db,N,New_N_007.wav,30-13-6,DeepONMF_H3,3,0.44967109631709323,6x212,0.023514200001955032,30,0.30906179640928616,0.28019777459654266,0.015381200006231666,13,0.5343010574834396,0.23168146331659883,0.004279099986888468,6,0.5268125584912835,0.22234744012338561,0.0029932999750599265
7,SNR_-8db,N,New_N_008.wav,30-13-6,DeepONMF_H3,3,0.45047951994514757,6x212,0.024026099941693246,30,0.30839374564129163,0.27388000782085237,0.016288400045596063,13,0.5311928163503133,0.20399178920433775,0.004238400026224554,6,0.5370536973701527,0.19006538476457666,0.0027601999463513494
8,SNR_-8db,N,New_N_009.wav,30-13-6,DeepONMF_H3,3,0.45340069860485427,6x212,0.02929879992734641,30,0.31169295977104794,0.2689674427818268,0.018243800033815205,13,0.5486545968816674,0.20401269739577602,0.006731299916282296,6,0.5655471205449893,0.21238964928657122,0.00350829993840307
9,SNR_-8db,N,New_N_010.wav,30-13-6,DeepONMF_H3,3,0.4530365690060582,6x212,0.03292529995087534,30,0.30797438134489524,0.274733362775517,0.022011299966834486,13,0.5369176315848274,0.22889896302278417,0.0053258000407367945,6,0.5280295152124296,0.22056698289344884,0.004566700081340969
