capa,rango,iteracion,error_relativo
1,9,0,2.677858563648781
1,9,1,0.9999991334788738
1,9,2,0.37250068789877144
1,9,3,0.9997494658920643
1,9,4,0.3280390127475731
1,9,5,0.9997448473113792
1,9,6,0.27383395152228146
1,9,7,0.9997705834276245
1,9,8,0.23468891279622522
1,9,9,0.9997883154550063
1,9,10,0.20993136434110315
1,9,11,0.999799859450752
1,9,12,0.19153551702495886
1,9,13,0.9998084152545781
1,9,14,0.17682336450881395
1,9,15,0.999815203905144
1,9,16,0.16612859339894875
1,9,17,0.9998203260723146
1,9,18,0.15835316159505508
1,9,19,0.9998240557019805
1,9,20,0.15215545652955148
1,9,21,0.9998268742718143
1,9,22,0.14689499486102933
1,9,23,0.9998291444240046
1,9,24,0.14231152232656846
1,9,25,0.9998310653414881
1,9,26,0.13826983987578853
1,9,27,0.9998327426493979
1,9,28,0.1346762807589097
1,9,29,0.999834236315882
1,9,30,0.13146179330078941
1,9,31,0.9998355815603481
1,9,32,0.12857264316369052
1,9,33,0.999836798863582
1,9,34,0.12596441147466142
1,9,35,0.9998379010948681
1,9,36,0.12360037207680719
1,9,37,0.999838898140206
1,9,38,0.12145028661281902
1,9,39,0.9998397993165387
1,9,40,0.11948827877814243
1,9,41,0.9998406141093289
1,9,42,0.11769004990050631
1,9,43,0.9998413519754361
1,9,44,0.11603233622408649
1,9,45,0.9998420221348121
1,9,46,0.11449404557084897
1,9,47,0.9998426333753523
1,9,48,0.11305707287554723
1,9,49,0.9998431938225935
1,9,50,0.11170635077473193
1,9,51,0.9998437107501678
1,9,52,0.11042955309702278
1,9,53,0.9998441905056747
1,9,54,0.10921691262946416
1,9,55,0.9998446385238424
1,9,56,0.10806082298966917
1,9,57,0.9998450593435033
1,9,58,0.10695515528875724
1,9,59,0.9998454565972107
1,9,60,0.10589477579165955
1,9,61,0.9998458329828113
1,9,62,0.10487561021097995
1,9,63,0.999846190257647
1,9,64,0.10389521327916258
1,9,65,0.9998465292604722
1,9,66,0.10295318064993828
1,9,67,0.999846849932073
1,9,68,0.10205120174122603
1,9,69,0.9998471514809338
1,9,70,0.10119288442157844
1,9,71,0.9998474326688307
1,9,72,0.10038257491260753
1,9,73,0.9998476920476662
1,9,74,0.09962400586826385
1,9,75,0.9998479282158769
1,9,76,0.09891938402062585
1,9,77,0.9998481401293201
1,9,78,0.09826925222662712
1,9,79,0.9998483274306121
1,9,80,0.0976726998666027
