configuracion_onmf,variante,n_puntos,n_features,escalado,perplexity,silhouette_features,davies_bouldin_features
onmf_iter120_semilla42,H_media_por_audio,1000,7,standard,30,0.05301592801998129,3.593990641855801
onmf_iter120_semilla42,H_media_por_audio,1000,7,ninguno,30,0.04382245973393925,3.6201974391002123
onmf_iter120_semilla42,W_filas_matriz_final,630,7,standard,30,-0.14496283588794842,34.295815015501674
onmf_iter120_semilla42,W_filas_matriz_final,630,7,minmax,30,-0.14562115007639356,34.270114180091255
onmf_iter120_semilla42,W_filas_matriz_final,630,7,ninguno,30,-0.14433549269617763,34.21088981791707
onmf_iter120_semilla42,H_columnas_muestreadas,1100,7,standard,30,-0.1586780085750741,10.838547761365083
onmf_iter120_semilla7,H_media_por_audio,1000,7,standard,30,0.055271131528941655,3.5759556003621653
onmf_iter120_semilla7,H_media_por_audio,1000,7,ninguno,30,0.05205253764697768,3.6811272372466832
onmf_iter120_semilla7,W_filas_matriz_final,630,7,standard,30,-0.1517425884567718,22.58457047105292
onmf_iter120_semilla7,W_filas_matriz_final,630,7,minmax,30,-0.15033887404970284,22.798078813463924
onmf_iter120_semilla7,W_filas_matriz_final,630,7,ninguno,30,-0.15169074111811312,22.611319293236818
onmf_iter120_semilla7,H_columnas_muestreadas,1100,7,standard,30,-0.1104176865721176,13.5057453186384
onmf_iter120_semilla99,H_media_por_audio,1000,7,standard,30,0.09082228172943199,4.3159849351685295
onmf_iter120_semilla99,H_media_por_audio,1000,7,ninguno,30,0.08426899080647664,4.441253378305734
onmf_iter120_semilla99,W_filas_matriz_final,630,7,standard,30,-0.14372101163665574,36.328760816586964
onmf_iter120_semilla99,W_filas_matriz_final,630,7,minmax,30,-0.1443154305517023,36.279819163057766
onmf_iter120_semilla99,W_filas_matriz_final,630,7,ninguno,30,-0.1435165285602703,36.346265967064724
onmf_iter120_semilla99,H_columnas_muestreadas,1100,7,standard,30,-0.12511134695555345,10.964932350527524
onmf_iter300_semilla42,H_media_por_audio,1000,7,standard,30,0.06620675168033201,4.441047460700682
onmf_iter300_semilla42,H_media_por_audio,1000,7,ninguno,30,0.06146209682687771,4.561318376788391
onmf_iter300_semilla42,W_filas_matriz_final,630,7,standard,30,-0.14310209374661179,19.274670634672148
onmf_iter300_semilla42,W_filas_matriz_final,630,7,minmax,30,-0.1438691291830215,19.50707498646404
onmf_iter300_semilla42,W_filas_matriz_final,630,7,ninguno,30,-0.14309806860468924,19.279872630398184
onmf_iter300_semilla42,H_columnas_muestreadas,1100,7,standard,30,-0.1548678847785046,14.588179540965887
