clase,archivo,ruta,duracion_s,variante_deep_onmf,error_vs_N,error_vs_AS,error_vs_MR,error_vs_MS,error_vs_MVP,F_001,F_002,F_003,F_004,F_005
AS,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_001.wav,2.606125,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVD,0.330608791543976,0.13324282045985164,0.1570936800092169,0.13021566668250445,0.1447934627887951,1.8514535048438728e-06,0.34161968450589475,0.0789159846128771,0.41144524054637044,0.16801723888135278
AS,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_002.wav,2.60675,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVD,0.3034857069023528,0.1193534719542129,0.15683028209575883,0.11920030858169753,0.13103950794348349,1.686260858068666e-06,0.3925227174553494,0.031733686065769165,0.39657842264869675,0.17916348756932657
AS,New_AS_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_003.wav,2.610375,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVD,0.33946870253815725,0.12412228754384665,0.15824302532178247,0.12412676615650337,0.13790770214246068,3.719029729785171e-07,0.39652995378558253,0.04397329249438739,0.39641550872885273,0.16308087308820451
AS,New_AS_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_004.wav,2.608875,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVD,0.3240303266611151,0.12253957702878569,0.15714630898665014,0.12386503143378301,0.13366941406919627,7.732613891928378e-07,0.39918951481350246,0.0416847241326761,0.3660990581978168,0.1930259295946156
AS,New_AS_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_005.wav,2.62375,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVD,0.3180185096679973,0.1309363055368137,0.1638033743206604,0.12276371898581892,0.13369806871141737,1.3878551565852276e-06,0.27351921633782306,0.03212266858353614,0.4658880130624712,0.2284687141610131
AS,New_AS_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_006.wav,2.60175,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVD,0.34147078966519334,0.11897369373138506,0.15476621848384606,0.11808184998858026,0.14177465202281084,1.2015247028898762e-07,0.42298799046658175,0.03742780875148439,0.4493337178122136,0.09025036281725003
AS,New_AS_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_007.wav,2.608625,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVD,0.34299875106518946,0.12972978184502246,0.1622931634619711,0.12937370522240496,0.14833324415371751,7.577414118791242e-07,0.40448312304023265,0.05400133535820737,0.4134880016841043,0.12802678217604388
AS,New_AS_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_008.wav,2.600125,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVD,0.31688155536306795,0.11780925716856952,0.15012095500306558,0.11107232191253913,0.1331458488353136,1.9417964230310574e-07,0.3274987188981485,0.03195182974257956,0.5320369152189492,0.10851234196068028
AS,New_AS_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_009.wav,2.61225,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVD,0.32863503443436864,0.12173882062876616,0.16340173562654994,0.12270780599497715,0.1389977343357149,5.35713005048218e-07,0.4301609875838429,0.027835268315940593,0.40362377137493527,0.13837943701227623
AS,New_AS_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_010.wav,2.612375,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVD,0.32061363900877815,0.1286545608922318,0.15707753591542004,0.11942851322700172,0.13953355632121833,7.467940163262838e-07,0.28680081429967763,0.04272805280445127,0.5320838083484396,0.13838657775341515
