metodo_init,clase,capa,rango,entrada,W,H,error_relativo,ortogonalidad_media,segundos
nndsvd,N,1,9,126x42612,126x9,9x42612,0.08514560609103236,0.6383515539154963,4.125053599942476
nndsvd,N,2,8,9x42612,9x8,8x42612,0.1940048773083519,0.40642657648420705,1.7246307998429984
nndsvd,N,3,7,8x42612,8x7,7x42612,0.23714825312742213,0.29660831146173955,1.5987373001407832
nndsvd,AS,1,9,126x49184,126x9,9x49184,0.15361936886370572,0.35941505858850054,3.6431477000005543
nndsvd,AS,2,8,9x49184,9x8,8x49184,0.1832279179025161,0.2340126004085866,1.946209300076589
nndsvd,AS,3,7,8x49184,8x7,7x49184,0.24749451096729427,0.19850749088709105,1.7907558002043515
nndsvd,MR,1,9,126x43248,126x9,9x43248,0.14296799969534008,0.350533972028933,3.3305042998399585
nndsvd,MR,2,8,9x43248,9x8,8x43248,0.1838990941286298,0.232735514643877,1.6804951999802142
nndsvd,MR,3,7,8x43248,8x7,7x43248,0.252777018037299,0.1897115636643022,1.5759254000149667
nndsvd,MS,1,9,126x45156,126x9,9x45156,0.10937442907152115,0.5127524555311406,3.2424472998827696
nndsvd,MS,2,8,9x45156,9x8,8x45156,0.1777854408374372,0.310820512227755,1.7726286000106484
nndsvd,MS,3,7,8x45156,8x7,7x45156,0.24445974297793918,0.23568603279850528,1.6576552002225071
nndsvd,MVP,1,9,126x43248,126x9,9x43248,0.15063305857658738,0.4624945498316681,3.058667799923569
nndsvd,MVP,2,8,9x43248,9x8,8x43248,0.22301039890260274,0.27490613897159977,1.7391864999663085
nndsvd,MVP,3,7,8x43248,8x7,7x43248,0.22212376102625594,0.197765479785045,1.5237984000705183
