clase,archivo,ruta,duracion_s,variante_deep_onmf,error_vs_N,error_vs_AS,error_vs_MR,error_vs_MS,error_vs_MVP,F_001,F_002,F_003,F_004,F_005
AS,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_001.wav,2.606125,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVDa,0.31534794705006713,0.12066200056289772,0.13292105800787185,0.1335220189590632,0.13250199045547081,1.0655504006657549e-06,0.429916456075153,0.1907195991202861,0.18326991768771606,0.19609296156644418
AS,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_002.wav,2.60675,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVDa,0.2822543973314079,0.11265430347838273,0.1280823789606422,0.1160143281435514,0.11228666723217413,1.796359241084262e-06,0.31778383617788863,0.10586655788718843,0.2501303926637386,0.3262174169119432
AS,New_AS_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_003.wav,2.610375,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVDa,0.3229411737068969,0.11397084559045144,0.1325345469137932,0.12155231665200862,0.1260577862322265,1.8635176747274788e-07,0.4372308289697282,0.1187965235788923,0.2567985985044078,0.1871738625952042
AS,New_AS_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_004.wav,2.608875,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVDa,0.30339440761202113,0.11220470921354546,0.12894400216936308,0.11987811805465275,0.12057044705980773,4.941481192680091e-07,0.4110918514027552,0.12462812336281945,0.23786802662984838,0.2264115044564577
AS,New_AS_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_005.wav,2.62375,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVDa,0.29818810632423587,0.11825292990192464,0.13460599969597303,0.12263841905607333,0.1222601277678419,1.8221185738552168e-06,0.35253408443297407,0.11661010831913314,0.2620307726432428,0.26882321248607627
AS,New_AS_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_006.wav,2.60175,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVDa,0.32677566299090466,0.11586823285397295,0.12709876447786084,0.12023728098843614,0.12306616895652876,1.6880444009149733e-07,0.35606436772428407,0.16397456181714648,0.2633424297941509,0.2166184718599784
AS,New_AS_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_007.wav,2.608625,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVDa,0.3246383417598296,0.12051441164949815,0.13310366606592022,0.12715976666907697,0.13006454869237316,5.000706364068219e-07,0.3835286823875559,0.16628667136436692,0.2467268298368329,0.20345731634060793
AS,New_AS_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_008.wav,2.600125,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVDa,0.29695614784118657,0.11215677462609495,0.12581047609263316,0.11128254012497595,0.11361586026460732,5.088900830400326e-07,0.2993996672349954,0.11219374619721525,0.31882019091273656,0.2695858867649698
AS,New_AS_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_009.wav,2.61225,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVDa,0.3059815267855438,0.11620188514541786,0.12991473761340463,0.11833059612610523,0.12051354296829468,7.066344330078985e-07,0.3337909764368417,0.12985832721070753,0.28828869254388845,0.24806129717412922
AS,New_AS_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_010.wav,2.612375,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVDa,0.30602165035242407,0.11292670363233405,0.12795666761621924,0.11991837286016424,0.12226706382968658,4.6389863139991276e-07,0.4048299749076857,0.1395898209184752,0.24669689958532917,0.20888284068987847
