distribucion,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
9-8-7,SVM,DeepONMF_W,1,PROMEDIO_MACRO,149,749,51,51,0.898,0.745,0.93625,0.7583913043478261,0.840625,200
9-8-7,SVM,DeepONMF_W,2,PROMEDIO_MACRO,137,737,63,63,0.874,0.685,0.92125,0.6800490531140685,0.803125,200
9-8-7,SVM,DeepONMF_W,3,PROMEDIO_MACRO,136,736,64,64,0.8720000000000001,0.6799999999999999,0.92,0.6848135383527747,0.8,200
9-8-7,SVM,DeepONMF_W,4,PROMEDIO_MACRO,144,744,56,56,0.8879999999999999,0.72,0.93,0.7201032306375694,0.825,200
9-8-7,SVM,DeepONMF_W,5,PROMEDIO_MACRO,139,739,61,61,0.8779999999999999,0.6950000000000001,0.92375,0.6998936471922859,0.809375,200
15-10-5,SVM,DeepONMF_W,1,PROMEDIO_MACRO,4,19,1,1,0.92,0.8,0.95,0.7,0.875,5
15-10-5,SVM,DeepONMF_W,2,PROMEDIO_MACRO,4,19,1,1,0.92,0.8,0.95,0.7,0.875,5
10-6-4,SVM,DeepONMF_W,1,PROMEDIO_MACRO,4,19,1,1,0.92,0.8,0.95,0.7,0.875,5
10-6-4,SVM,DeepONMF_W,2,PROMEDIO_MACRO,4,19,1,1,0.92,0.8,0.95,0.7,0.875,5
8-5-3,SVM,DeepONMF_W,1,PROMEDIO_MACRO,4,19,1,1,0.92,0.8,0.95,0.7,0.875,5
8-5-3,SVM,DeepONMF_W,2,PROMEDIO_MACRO,4,19,1,1,0.92,0.8,0.95,0.7,0.875,5
9-8-7,SVM,DeepONMF_H3,1,PROMEDIO_MACRO,175,775,25,25,0.95,0.875,0.96875,0.8821805645335056,0.921875,200
9-8-7,SVM,DeepONMF_H3,2,PROMEDIO_MACRO,178,778,22,22,0.9559999999999998,0.89,0.9725,0.8916736194293822,0.93125,200
9-8-7,SVM,DeepONMF_H3,3,PROMEDIO_MACRO,172,772,28,28,0.944,0.8600000000000001,0.965,0.8671097156811441,0.9125,200
9-8-7,SVM,DeepONMF_H3,4,PROMEDIO_MACRO,175,775,25,25,0.95,0.875,0.96875,0.8763234591495461,0.921875,200
9-8-7,SVM,DeepONMF_H3,5,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.9292102596917828,0.953125,200
15-10-5,SVM,DeepONMF_H3,1,PROMEDIO_MACRO,4,19,1,1,0.92,0.8,0.95,0.7,0.875,5
15-10-5,SVM,DeepONMF_H3,2,PROMEDIO_MACRO,3,18,2,2,0.8400000000000001,0.6,0.9,0.6,0.75,5
10-6-4,SVM,DeepONMF_H3,1,PROMEDIO_MACRO,5,20,0,0,1.0,1.0,1.0,1.0,1.0,5
10-6-4,SVM,DeepONMF_H3,2,PROMEDIO_MACRO,3,18,2,2,0.8400000000000001,0.6,0.9,0.4,0.75,5
8-5-3,SVM,DeepONMF_H3,1,PROMEDIO_MACRO,4,19,1,1,0.92,0.8,0.95,0.7,0.875,5
8-5-3,SVM,DeepONMF_H3,2,PROMEDIO_MACRO,4,19,1,1,0.92,0.8,0.95,0.7,0.875,5
9-8-7,KNN,DeepONMF_W,1,PROMEDIO_MACRO,116,716,84,84,0.8320000000000001,0.5800000000000001,0.8949999999999999,0.6216299553794788,0.7375,200
9-8-7,KNN,DeepONMF_W,2,PROMEDIO_MACRO,110,710,90,90,0.82,0.55,0.8875,0.5609882193868626,0.71875,200
9-8-7,KNN,DeepONMF_W,3,PROMEDIO_MACRO,103,703,97,97,0.806,0.515,0.8787499999999999,0.5402832083171065,0.696875,200
9-8-7,KNN,DeepONMF_W,4,PROMEDIO_MACRO,116,716,84,84,0.8320000000000001,0.5800000000000001,0.8950000000000001,0.5858776091081593,0.7375,200
9-8-7,KNN,DeepONMF_W,5,PROMEDIO_MACRO,107,707,93,93,0.8140000000000001,0.5349999999999999,0.88375,0.552725203814133,0.7093750000000001,200
15-10-5,KNN,DeepONMF_W,1,PROMEDIO_MACRO,4,19,1,1,0.92,0.8,0.95,0.7,0.875,5
15-10-5,KNN,DeepONMF_W,2,PROMEDIO_MACRO,4,19,1,1,0.92,0.8,0.95,0.7,0.875,5
10-6-4,KNN,DeepONMF_W,1,PROMEDIO_MACRO,4,19,1,1,0.92,0.8,0.95,0.7,0.875,5
10-6-4,KNN,DeepONMF_W,2,PROMEDIO_MACRO,4,19,1,1,0.92,0.8,0.95,0.7,0.875,5
8-5-3,KNN,DeepONMF_W,1,PROMEDIO_MACRO,4,19,1,1,0.92,0.8,0.95,0.7,0.875,5
8-5-3,KNN,DeepONMF_W,2,PROMEDIO_MACRO,4,19,1,1,0.92,0.8,0.95,0.7,0.875,5
9-8-7,KNN,DeepONMF_H3,1,PROMEDIO_MACRO,152,752,48,48,0.904,0.76,0.94,0.7936305512193754,0.85,200
9-8-7,KNN,DeepONMF_H3,2,PROMEDIO_MACRO,153,753,47,47,0.906,0.765,0.94125,0.8055348244726688,0.853125,200
9-8-7,KNN,DeepONMF_H3,3,PROMEDIO_MACRO,140,740,60,60,0.8800000000000001,0.7,0.925,0.7480746746401395,0.8125,200
9-8-7,KNN,DeepONMF_H3,4,PROMEDIO_MACRO,157,757,43,43,0.914,0.7849999999999999,0.94625,0.8162128833096574,0.865625,200
9-8-7,KNN,DeepONMF_H3,5,PROMEDIO_MACRO,147,747,53,53,0.8939999999999999,0.735,0.93375,0.8080092592592593,0.834375,200
15-10-5,KNN,DeepONMF_H3,1,PROMEDIO_MACRO,4,19,1,1,0.92,0.8,0.95,0.7,0.875,5
15-10-5,KNN,DeepONMF_H3,2,PROMEDIO_MACRO,3,18,2,2,0.8400000000000001,0.6,0.9,0.6,0.75,5
10-6-4,KNN,DeepONMF_H3,1,PROMEDIO_MACRO,5,20,0,0,1.0,1.0,1.0,1.0,1.0,5
10-6-4,KNN,DeepONMF_H3,2,PROMEDIO_MACRO,3,18,2,2,0.8400000000000001,0.6,0.9,0.4,0.75,5
8-5-3,KNN,DeepONMF_H3,1,PROMEDIO_MACRO,4,19,1,1,0.92,0.8,0.95,0.7,0.875,5
8-5-3,KNN,DeepONMF_H3,2,PROMEDIO_MACRO,4,19,1,1,0.92,0.8,0.95,0.7,0.875,5
9-8-7,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,171,771,29,29,0.9420000000000002,0.8549999999999999,0.96375,0.8602795626442843,0.909375,200
9-8-7,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,171,771,29,29,0.942,0.8549999999999999,0.96375,0.8610359897971879,0.909375,200
9-8-7,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,162,762,38,38,0.924,0.8100000000000002,0.9525,0.8198820922394562,0.88125,200
9-8-7,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,165,765,35,35,0.93,0.825,0.95625,0.8275575698097117,0.890625,200
9-8-7,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,167,767,33,33,0.934,0.835,0.95875,0.8389593254581813,0.896875,200
