archivo,filas,columnas,sha256
comparacion_distribuciones_binaria.csv,24,13,d9ea3ce7ab4ccef9f4fb5c8b70be5fee6341e117cc5b5a2470cc3e6619c4e8e7
comparacion_distribuciones_multiclase.csv,24,13,e7aeb07ff27fff56b398526ccfb35b40ec03bb9c9bd41740afc2b36b6c5ba0ed
diferencias_respecto_9_8_7_binaria.csv,18,18,5d19456af881f719aa3cf154a503c2764b8a491dd60f6cd5fd84a2b587ffb509
diferencias_respecto_9_8_7_multiclase.csv,18,18,28a21b9be9efe4f80b4c4334c223f52e88136c3b3ca8175d8ada0b2f0299220b
metricas_multiclase_por_fold_deeponmf.csv,66,15,dee30b875c3773ee72718c5cdb7ca73f81a85ffde8d78d48ce8a8d6bd9a155c8
tabla_global_binaria_completa_36_filas.csv,36,13,eff964561b5f0c677b6a8068f9bd1e3faec9016b519e2724d1e6aaf97d5eab96
tabla_global_multiclase_completa_36_filas.csv,36,13,9f1e8bb5df189136d4df5d032d87a2e49fb2ba05751537058504e5ef57943984
tabla_KNN_binaria.csv,12,13,fb961d6a7d19c35287e662f5003a2b443ac59a2d919ecaabe3c3f97c594235e2
tabla_KNN_multiclase.csv,12,13,a4c9137279d13e3d88b45a062a9fabe03d63a18082b8c293d6c49a1d81cd0eed
tabla_original_binaria_seis_representaciones.csv,18,13,ac6ffb57e3e985ecdc8c2284190bceeb8361ebd7c0558e6580fc4d4020daddfa
tabla_original_multiclase_seis_representaciones.csv,18,13,e40c8a14fe488e7c494b810aff4f404ecd6135933f07cc583b13159163683b77
tabla_SVM_binaria.csv,12,13,38ce9f0caf8f16458e1d8d197b7c9487c6679edb4f75662a9604a4567a9b93f7
tabla_SVM_multiclase.csv,12,13,1f6566e7b43c675a0048f8987aa6c4b9699fb15e1812a0195abfb7b308abaa24
tabla_UjaNet_binaria.csv,12,13,2cf905e56253722fd397e0dce5f1ca56d66675d80b79dd15394ea0c8b1876d1d
tabla_UjaNet_multiclase.csv,12,13,97282db90d1ccafd6eb9d8777ac5aa11bfe7a4f0fb02f4c5d451ed787ec78dd8
tp_tn_fp_fn_por_fold_deeponmf.csv,66,13,f6f7742a7e0670feb1755daa49a2574bc592210826a45399574665157b1d1cd0
