distribucion,clasificador,representacion,Accuracy_nuevo,Accuracy_referencia_9_8_7,delta_Accuracy,Sensitivity_nuevo,Sensitivity_referencia_9_8_7,delta_Sensitivity,Specificity_nuevo,Specificity_referencia_9_8_7,delta_Specificity,Precision_nuevo,Precision_referencia_9_8_7,delta_Precision,Score_nuevo,Score_referencia_9_8_7,delta_Score
15-10-5,SVM,DeepONMF_W,0.92,0.882,0.038000000000000034,0.8,0.705,0.09500000000000008,0.95,0.92625,0.023749999999999938,0.7,0.7086501547289049,-0.008650154728904957,0.875,0.815625,0.059374999999999956
10-6-4,SVM,DeepONMF_W,0.92,0.882,0.038000000000000034,0.8,0.705,0.09500000000000008,0.95,0.92625,0.023749999999999938,0.7,0.7086501547289049,-0.008650154728904957,0.875,0.815625,0.059374999999999956
8-5-3,SVM,DeepONMF_W,0.92,0.882,0.038000000000000034,0.8,0.705,0.09500000000000008,0.95,0.92625,0.023749999999999938,0.7,0.7086501547289049,-0.008650154728904957,0.875,0.815625,0.059374999999999956
15-10-5,SVM,DeepONMF_H3,0.88,0.954,-0.07399999999999995,0.7,0.885,-0.18500000000000005,0.925,0.97125,-0.0462499999999999,0.6499999999999999,0.8892995236970721,-0.2392995236970722,0.8125,0.928125,-0.11562499999999998
10-6-4,SVM,DeepONMF_H3,0.92,0.954,-0.03399999999999992,0.8,0.885,-0.08499999999999996,0.95,0.97125,-0.02124999999999999,0.7,0.8892995236970721,-0.18929952369707215,0.875,0.928125,-0.05312499999999998
8-5-3,SVM,DeepONMF_H3,0.92,0.954,-0.03399999999999992,0.8,0.885,-0.08499999999999996,0.95,0.97125,-0.02124999999999999,0.7,0.8892995236970721,-0.18929952369707215,0.875,0.928125,-0.05312499999999998
15-10-5,KNN,DeepONMF_W,0.92,0.8208,0.09920000000000007,0.8,0.552,0.248,0.95,0.8879999999999999,0.062000000000000055,0.7,0.5723008392011482,0.1276991607988518,0.875,0.72,0.15500000000000003
10-6-4,KNN,DeepONMF_W,0.92,0.8208,0.09920000000000007,0.8,0.552,0.248,0.95,0.8879999999999999,0.062000000000000055,0.7,0.5723008392011482,0.1276991607988518,0.875,0.72,0.15500000000000003
8-5-3,KNN,DeepONMF_W,0.92,0.8208,0.09920000000000007,0.8,0.552,0.248,0.95,0.8879999999999999,0.062000000000000055,0.7,0.5723008392011482,0.1276991607988518,0.875,0.72,0.15500000000000003
15-10-5,KNN,DeepONMF_H3,0.88,0.8996000000000001,-0.019600000000000062,0.7,0.749,-0.049000000000000044,0.925,0.93725,-0.012249999999999983,0.6499999999999999,0.79429243858022,-0.14429243858022012,0.8125,0.843125,-0.030625000000000013
10-6-4,KNN,DeepONMF_H3,0.92,0.8996000000000001,0.020399999999999974,0.8,0.749,0.051000000000000045,0.95,0.93725,0.012749999999999928,0.7,0.79429243858022,-0.09429243858022007,0.875,0.843125,0.03187499999999999
8-5-3,KNN,DeepONMF_H3,0.92,0.8996000000000001,0.020399999999999974,0.8,0.749,0.051000000000000045,0.95,0.93725,0.012749999999999928,0.7,0.79429243858022,-0.09429243858022007,0.875,0.843125,0.03187499999999999
15-10-5,UjaNet,DeepONMF_W,0.76,0.9344,-0.1744,0.4,0.836,-0.43599999999999994,0.85,0.959,-0.10899999999999999,0.1666666666666666,0.8415429079897642,-0.6748762413230975,0.625,0.8975,-0.27249999999999996
10-6-4,UjaNet,DeepONMF_W,0.72,0.9344,-0.21440000000000003,0.3,0.836,-0.536,0.825,0.959,-0.134,0.145,0.8415429079897642,-0.6965429079897641,0.5625,0.8975,-0.33499999999999996
8-5-3,UjaNet,DeepONMF_W,0.68,0.9344,-0.25439999999999996,0.2,0.836,-0.6359999999999999,0.8,0.959,-0.15899999999999992,0.04,0.8415429079897642,-0.8015429079897641,0.5,0.8975,-0.39749999999999996
15-10-5,UjaNet,DeepONMF_H3,0.68,0.9756,-0.2956,0.2,0.939,-0.7389999999999999,0.8,0.98475,-0.18474999999999997,0.045,0.9403683132374544,-0.8953683132374544,0.5,0.961875,-0.46187500000000004
10-6-4,UjaNet,DeepONMF_H3,0.68,0.9756,-0.2956,0.2,0.939,-0.7389999999999999,0.8,0.98475,-0.18474999999999997,0.0533333333333333,0.9403683132374544,-0.8870349799041211,0.5,0.961875,-0.46187500000000004
8-5-3,UjaNet,DeepONMF_H3,0.68,0.9756,-0.2956,0.2,0.939,-0.7389999999999999,0.8,0.98475,-0.18474999999999997,0.04,0.9403683132374544,-0.9003683132374544,0.5,0.961875,-0.46187500000000004
