distribucion,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
No aplica,SVM,STFT,0.986,0.0054772255750517,0.985,0.0055901699437495,0.99,0.0136930639376291,0.9974763155799696,0.0034557258694108,0.9875,0.0076546554461974
No aplica,SVM,MFCC,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
No aplica,SVM,MelSpectrogram,0.988,0.0075828754440515,0.98625,0.0081490030065033,0.995,0.0111803398874989,0.99873417721519,0.0028304657943035,0.990625,0.0079672179899887
No aplica,SVM,LogMelSpectrogram,0.999,0.0022360679774997,0.99875,0.0027950849718747,1.0,0.0,1.0,0.0,0.999375,0.0013975424859373
9-8-7,SVM,DeepONMF_W,0.925,0.0149999999999999,0.92375,0.0120221150385446,0.93,0.0325960120260132,0.9814028023077828,0.008681947668038,0.926875,0.0210328983380797
15-10-5,SVM,DeepONMF_W,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
10-6-4,SVM,DeepONMF_W,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8-5-3,SVM,DeepONMF_W,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9-8-7,SVM,DeepONMF_H3,0.969,0.0138744369255116,0.97625,0.0120221150385445,0.94,0.0285043856274784,0.9848649570040444,0.0071984121278875,0.958125,0.0185668134718911
15-10-5,SVM,DeepONMF_H3,0.8,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
10-6-4,SVM,DeepONMF_H3,0.8,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
8-5-3,SVM,DeepONMF_H3,0.8,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
