distribucion,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
No aplica,UjaNet,STFT,0.9884,0.0051768716422179,0.971,0.0129421791055447,0.9927499999999998,0.0032355447763861,0.9721825846449246,0.0122036502125443,0.981875,0.0080888619409654
No aplica,UjaNet,MFCC,0.9876,0.0060663003552412,0.969,0.0151657508881032,0.99225,0.0037914377220257,0.9696955443643503,0.0146275976774222,0.980625,0.0094785943050644
No aplica,UjaNet,MelSpectrogram,0.9904,0.005899152481501,0.976,0.0147478812037526,0.994,0.0036869703009381,0.9767611634980355,0.0142950230259694,0.985,0.0092174257523453
No aplica,UjaNet,LogMelSpectrogram,0.9884,0.0049799598391955,0.971,0.0124498995979886,0.99275,0.0031124748994971,0.9718538956010372,0.0122769927286418,0.981875,0.007781187248743
9-8-7,UjaNet,DeepONMF_W,0.9344,0.0077974354758471,0.836,0.0194935886896178,0.959,0.0048733971724044,0.8415429079897642,0.0187249698776152,0.8975,0.0121834929310112
15-10-5,UjaNet,DeepONMF_W,0.76,0.0,0.4,0.0,0.85,0.0,0.1666666666666666,0.0,0.625,0.0
10-6-4,UjaNet,DeepONMF_W,0.72,0.0565685424949237,0.3,0.1414213562373095,0.825,0.0353553390593272,0.145,0.1484924240491749,0.5625,0.0883883476483184
8-5-3,UjaNet,DeepONMF_W,0.68,0.0,0.2,0.0,0.8,0.0,0.04,0.0,0.5,0.0
9-8-7,UjaNet,DeepONMF_H3,0.9756,0.0105261578935526,0.939,0.0263153947338814,0.98475,0.0065788486834704,0.9403683132374544,0.0255635693468484,0.961875,0.0164471217086759
15-10-5,UjaNet,DeepONMF_H3,0.68,0.0,0.2,0.0,0.8,0.0,0.045,0.0070710678118654,0.5,0.0
10-6-4,UjaNet,DeepONMF_H3,0.68,0.0,0.2,0.0,0.8,0.0,0.0533333333333333,0.0188561808316412,0.5,0.0
8-5-3,UjaNet,DeepONMF_H3,0.68,0.0,0.2,0.0,0.8,0.0,0.04,0.0,0.5,0.0
