distribucion,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
No aplica,UjaNet,STFT,0.999,0.0022360679774997,1.0,0.0,0.995,0.0111803398874989,0.9987577639751553,0.0027777241956519,0.9975,0.0055901699437494
No aplica,UjaNet,MFCC,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
No aplica,UjaNet,MelSpectrogram,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
No aplica,UjaNet,LogMelSpectrogram,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9-8-7,UjaNet,DeepONMF_W,0.968,0.0075828754440515,0.97375,0.0167705098312484,0.945,0.0480884601541783,0.9863247080942016,0.0117825504563252,0.959375,0.0176776695296636
15-10-5,UjaNet,DeepONMF_W,0.8,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
10-6-4,UjaNet,DeepONMF_W,0.8,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
8-5-3,UjaNet,DeepONMF_W,0.8,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
9-8-7,UjaNet,DeepONMF_H3,0.992,0.0083666002653407,0.99375,0.0062499999999999,0.985,0.0223606797749979,0.99625,0.0055901699437494,0.989375,0.0131843894435805
15-10-5,UjaNet,DeepONMF_H3,0.8,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
10-6-4,UjaNet,DeepONMF_H3,0.8,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
8-5-3,UjaNet,DeepONMF_H3,0.8,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
