indice_interno,base,clase,archivo,segundos_extraccion_clasica
0,SNR_-8db,N,New_N_001.wav,0.002145300037227571
1,SNR_-8db,N,New_N_002.wav,0.002292599994689226
2,SNR_-8db,AS,New_AS_001.wav,0.0023793999571353197
3,SNR_-8db,AS,New_AS_002.wav,0.003377899993211031
4,SNR_-8db,MR,New_MR_001.wav,0.0031141999643296003
5,SNR_-8db,MR,New_MR_002.wav,0.0029563000425696373
6,SNR_-8db,MS,New_MS_001.wav,0.0025791999651119113
7,SNR_-8db,MS,New_MS_002.wav,0.0031724999425932765
8,SNR_-8db,MVP,New_MVP_001.wav,0.003368500038050115
9,SNR_-8db,MVP,New_MVP_002.wav,0.003348600002937019
