indice_interno,base,metodo,distribucion,numero_capas,penalizacion_ortogonal,error_final,forma_h,forma_w,segundos
0,SNR_0db,ONMF,20-4,2,0.05,0.33465239639099936,4x212,126x4,0.025686799897812307
1,SNR_0db,ONMF,20-4,2,0.05,0.33277040566923194,4x212,126x4,0.0248585999943316
2,SNR_0db,ONMF,20-4,2,0.05,0.33623269264810124,4x212,126x4,0.0250761000206694
3,SNR_0db,ONMF,20-4,2,0.05,0.3371482813795816,4x212,126x4,0.025926099973730743
4,SNR_0db,ONMF,20-4,2,0.05,0.33380473647314685,4x212,126x4,0.024838600074872375
5,SNR_0db,ONMF,20-4,2,0.05,0.3377180536314894,4x212,126x4,0.02558760007377714
6,SNR_0db,ONMF,20-4,2,0.05,0.3391144513733831,4x212,126x4,0.023036199971102178
7,SNR_0db,ONMF,20-4,2,0.05,0.3365054005648879,4x212,126x4,0.02534709998872131
8,SNR_0db,ONMF,20-4,2,0.05,0.3394411436079224,4x212,126x4,0.024398699984885752
9,SNR_0db,ONMF,20-4,2,0.05,0.3413852137861445,4x212,126x4,0.026121599948965013
10,SNR_0db,ONMF,20-4,2,0.05,0.3375002054921088,4x212,126x4,0.023567399941384792
11,SNR_0db,ONMF,20-4,2,0.05,0.3369487882574779,4x212,126x4,0.026738899992778897
12,SNR_0db,ONMF,20-4,2,0.05,0.3383798472727591,4x212,126x4,0.023566999938338995
13,SNR_0db,ONMF,20-4,2,0.05,0.33386416183329615,4x212,126x4,0.022991999983787537
14,SNR_0db,ONMF,20-4,2,0.05,0.3438631337987958,4x212,126x4,0.023417699965648353
15,SNR_0db,ONMF,20-4,2,0.05,0.3379793956103569,4x212,126x4,0.02571899991016835
16,SNR_0db,ONMF,20-4,2,0.05,0.34349448197275523,4x212,126x4,0.024587700027041137
17,SNR_0db,ONMF,20-4,2,0.05,0.3373685392798039,4x212,126x4,0.027716799988411367
18,SNR_0db,ONMF,20-4,2,0.05,0.33697526342076906,4x212,126x4,0.026110699982382357
19,SNR_0db,ONMF,20-4,2,0.05,0.3351512239850543,4x212,126x4,0.027324800030328333
20,SNR_0db,ONMF,20-4,2,0.05,0.3332276429993538,4x212,126x4,0.027979399892501533
21,SNR_0db,ONMF,20-4,2,0.05,0.33701905383856173,4x212,126x4,0.027905500028282404
22,SNR_0db,ONMF,20-4,2,0.05,0.33382712224264927,4x212,126x4,0.028489899937994778
23,SNR_0db,ONMF,20-4,2,0.05,0.3371539018972544,4x212,126x4,0.027581100002862513
24,SNR_0db,ONMF,20-4,2,0.05,0.33952488912810425,4x212,126x4,0.026345500024035573
25,SNR_0db,ONMF,20-4,2,0.05,0.33548014420904243,4x212,126x4,0.026580499950796366
26,SNR_0db,ONMF,20-4,2,0.05,0.334455259918429,4x212,126x4,0.027111400035209954
27,SNR_0db,ONMF,20-4,2,0.05,0.3344293586707543,4x212,126x4,0.027407400077208877
28,SNR_0db,ONMF,20-4,2,0.05,0.34215302183492746,4x212,126x4,0.025423500104807317
29,SNR_0db,ONMF,20-4,2,0.05,0.33293754000574455,4x212,126x4,0.02474580006673932
30,SNR_0db,ONMF,20-4,2,0.05,0.33759826825892864,4x212,126x4,0.02317560010123998
31,SNR_0db,ONMF,20-4,2,0.05,0.3346694583540676,4x212,126x4,0.025358900078572333
32,SNR_0db,ONMF,20-4,2,0.05,0.3372722864110277,4x212,126x4,0.02541850006673485
33,SNR_0db,ONMF,20-4,2,0.05,0.3377728112331744,4x212,126x4,0.024564900086261332
