indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
0,SNR_0db,N,New_N_001.wav,16-10-6,DeepONMF_H3,3,0.4008059770271841,6x212,0.01773189997766167,16,0.2861448439314508,0.2555146075301064,0.00972530001308769,10,0.31215706988878683,0.15659470632457861,0.0038992000045254827,6,0.39967354776626474,0.13022889962876988,0.0029860000358894467
1,SNR_0db,N,New_N_002.wav,16-10-6,DeepONMF_H3,3,0.3896225540453977,6x212,0.016337500070221722,16,0.2886919355592927,0.2891085164747643,0.00878160004504025,10,0.3819702503385873,0.16747589453356773,0.0038385000079870224,6,0.41225025262190634,0.14103846153762875,0.0026766000082716346
2,SNR_0db,N,New_N_003.wav,16-10-6,DeepONMF_H3,3,0.42051270601968993,6x212,0.015674799913540483,16,0.2896430665197591,0.2551270579456941,0.008519700029864907,10,0.34908928621304436,0.15851719465362596,0.003598800045438111,6,0.3781954638516858,0.1643457190195918,0.002711100038141012
3,SNR_0db,N,New_N_004.wav,16-10-6,DeepONMF_H3,3,0.4171580533263116,6x212,0.016956299892626703,16,0.29452463023463915,0.2583130099474072,0.009900299948640168,10,0.3200887048669399,0.1057910108098244,0.003571299952454865,6,0.4613120537293871,0.10533315906956453,0.0027052999939769506
4,SNR_0db,N,New_N_005.wav,16-10-6,DeepONMF_H3,3,0.3812403772241982,6x212,0.015749000012874603,16,0.28694808852797693,0.23293411321141624,0.008705499931238592,10,0.33306715468447107,0.16599398033377324,0.003522199927829206,6,0.4228596580984735,0.15830491413219658,0.002716899965889752
5,SNR_0db,N,New_N_006.wav,16-10-6,DeepONMF_H3,3,0.3794267826961725,6x212,0.015784499933943152,16,0.28997282203258523,0.2740485518398579,0.008696199976839125,10,0.3499049525656036,0.16618935435023058,0.003575199982151389,6,0.4291646301095217,0.13104173964166227,0.002709000022150576
6,SNR_0db,N,New_N_007.wav,16-10-6,DeepONMF_H3,3,0.38407021228522303,6x212,0.01580870000179857,16,0.28683763392279826,0.26822322164949886,0.008725299965590239,10,0.3375866247784554,0.1623089882808506,0.0035055000334978104,6,0.4319012195178188,0.12774262665256902,0.0027323999674990773
7,SNR_0db,N,New_N_008.wav,16-10-6,DeepONMF_H3,3,0.4234717934289005,6x212,0.01629029994364828,16,0.2859381852106945,0.24966220421688798,0.009443799965083599,10,0.3452664656135974,0.1767425376408665,0.0034231001045554876,6,0.4595918515132397,0.14215466572485094,0.0026366000529378653
8,SNR_0db,N,New_N_009.wav,16-10-6,DeepONMF_H3,3,0.3959677064740954,6x212,0.01655539998319,16,0.2892338511699537,0.2572721056566645,0.009246400091797113,10,0.28644330527902595,0.15745605888283523,0.0037296999944373965,6,0.44546970304490907,0.14468180702147498,0.002659000107087195
9,SNR_0db,N,New_N_010.wav,16-10-6,DeepONMF_H3,3,0.4022122017259191,6x212,0.016144099994562566,16,0.2879947366081814,0.25173840494379857,0.009147300035692751,10,0.29367636685156473,0.1350980356967386,0.00366389995906502,6,0.4213834285303305,0.11398719735372263,0.0024544999469071627
10,SNR_0db,N,New_N_011.wav,16-10-6,DeepONMF_H3,3,0.40147017058654044,6x212,0.015254100086167455,16,0.28924282093907855,0.23641820544800224,0.008954800083301961,10,0.3226540163914753,0.17577860628758382,0.00315590004902333,6,0.3856694036406049,0.15448607587703542,0.002445999998599291
11,SNR_0db,N,New_N_012.wav,16-10-6,DeepONMF_H3,3,0.4113337232221375,6x212,0.014037400018423796,16,0.28972465411887843,0.2308768947547236,0.0076200999319553375,10,0.35828164418805664,0.15018239381331908,0.003181500011123717,6,0.4157145417817339,0.11633336597804887,0.0024693000596016645
12,SNR_0db,N,New_N_013.wav,16-10-6,DeepONMF_H3,3,0.4016794906492549,6x212,0.01552140002604574,16,0.2890464745946081,0.24926763097869323,0.008882800000719726,10,0.2511588662877239,0.1551615381584682,0.0032116000074893236,6,0.456770751257116,0.13559026325350665,0.0024571000831201673
13,SNR_0db,N,New_N_014.wav,16-10-6,DeepONMF_H3,3,0.40345642117495584,6x212,0.014958599931560457,16,0.2909337302874922,0.2758073818661425,0.007733799982815981,10,0.34129134483865575,0.15418484071057514,0.003665699972771108,6,0.47127058220536766,0.15334486634533845,0.0025089000118896365
14,SNR_0db,N,New_N_015.wav,16-10-6,DeepONMF_H3,3,0.39610862630064436,6x212,0.015458600013516843,16,0.2916655469307681,0.2540950721316868,0.007262600003741682,10,0.3307206074520777,0.1573151033904302,0.0044027999974787235,6,0.4447330169209553,0.1507287954382561,0.0026775000151246786
15,SNR_0db,N,New_N_016.wav,16-10-6,DeepONMF_H3,3,0.3717597923675402,6x212,0.01536720001604408,16,0.29051415517317597,0.2512950278117919,0.007489199982956052,10,0.3306531312172761,0.19322386408173356,0.004068400012329221,6,0.43138956398630457,0.17308462142914466,0.0030020999256521463
16,SNR_0db,N,New_N_017.wav,16-10-6,DeepONMF_H3,3,0.38843278161085404,6x212,0.014299200032837689,16,0.29329292538606944,0.25997326092608325,0.007660400005988777,10,0.3373529167141581,0.16266772235146082,0.0030651999404653907,6,0.3749516250792193,0.1324260127973189,0.0027582000475376844
17,SNR_0db,N,New_N_018.wav,16-10-6,DeepONMF_H3,3,0.382681816217015,6x212,0.014790500048547983,16,0.29063105365149566,0.2654056158527411,0.007884199963882565,10,0.3857320317912944,0.17173487795099113,0.003350399900227785,6,0.4038250713722574,0.1249979067513748,0.0026572999777272344
