distribucion,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
9-8-7,SVM,DeepONMF_W,1,149,39,1,11,0.94,0.93125,0.975,0.9933333333333332,0.953125
9-8-7,SVM,DeepONMF_W,2,145,36,4,15,0.905,0.90625,0.9,0.9731543624161074,0.903125
9-8-7,SVM,DeepONMF_W,3,147,37,3,13,0.92,0.91875,0.925,0.98,0.921875
9-8-7,SVM,DeepONMF_W,4,150,38,2,10,0.94,0.9375,0.95,0.986842105263158,0.94375
9-8-7,SVM,DeepONMF_W,5,148,36,4,12,0.92,0.925,0.9,0.9736842105263158,0.9125
15-10-5,SVM,DeepONMF_W,1,144,39,1,16,0.915,0.9,0.975,0.993103448275862,0.9375
15-10-5,SVM,DeepONMF_W,2,148,38,2,12,0.93,0.925,0.95,0.9866666666666668,0.9375
15-10-5,SVM,DeepONMF_W,3,148,37,3,12,0.925,0.925,0.925,0.9801324503311258,0.925
15-10-5,SVM,DeepONMF_W,4,149,37,3,11,0.93,0.93125,0.925,0.9802631578947368,0.928125
15-10-5,SVM,DeepONMF_W,5,147,37,3,13,0.92,0.91875,0.925,0.98,0.921875
10-6-4,SVM,DeepONMF_W,1,144,39,1,16,0.915,0.9,0.975,0.993103448275862,0.9375
10-6-4,SVM,DeepONMF_W,2,144,37,3,16,0.905,0.9,0.925,0.979591836734694,0.9125
10-6-4,SVM,DeepONMF_W,3,145,37,3,15,0.91,0.90625,0.925,0.9797297297297296,0.915625
10-6-4,SVM,DeepONMF_W,4,142,38,2,18,0.9,0.8875,0.95,0.9861111111111112,0.91875
10-6-4,SVM,DeepONMF_W,5,147,37,3,13,0.92,0.91875,0.925,0.98,0.921875
8-5-3,SVM,DeepONMF_W,1,141,39,1,19,0.9,0.88125,0.975,0.9929577464788732,0.928125
8-5-3,SVM,DeepONMF_W,2,144,38,2,16,0.91,0.9,0.95,0.9863013698630136,0.925
8-5-3,SVM,DeepONMF_W,3,145,37,3,15,0.91,0.90625,0.925,0.9797297297297296,0.915625
8-5-3,SVM,DeepONMF_W,4,142,38,2,18,0.9,0.8875,0.95,0.9861111111111112,0.91875
8-5-3,SVM,DeepONMF_W,5,145,37,3,15,0.91,0.90625,0.925,0.9797297297297296,0.915625
9-8-7,SVM,DeepONMF_H3,1,156,38,2,4,0.97,0.975,0.95,0.9873417721518988,0.9625
9-8-7,SVM,DeepONMF_H3,2,157,39,1,3,0.98,0.98125,0.975,0.9936708860759492,0.978125
9-8-7,SVM,DeepONMF_H3,3,154,37,3,6,0.955,0.9625,0.925,0.9808917197452228,0.94375
9-8-7,SVM,DeepONMF_H3,4,155,36,4,5,0.955,0.96875,0.9,0.9748427672955976,0.934375
9-8-7,SVM,DeepONMF_H3,5,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
15-10-5,SVM,DeepONMF_H3,1,157,37,3,3,0.97,0.98125,0.925,0.98125,0.953125
15-10-5,SVM,DeepONMF_H3,2,156,38,2,4,0.97,0.975,0.95,0.9873417721518988,0.9625
15-10-5,SVM,DeepONMF_H3,3,155,38,2,5,0.965,0.96875,0.95,0.9872611464968152,0.959375
