distribucion,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
No aplica,KNN,STFT,0.991,0.0065192024052026,0.995,0.0052291251658379,0.975,0.025,0.9937888198757764,0.0062111801242236,0.985,0.012770510463564
No aplica,KNN,MFCC,0.998,0.0027386127875258,0.9975,0.0034232659844073,1.0,0.0,1.0,0.0,0.99875,0.0017116329922036
No aplica,KNN,MelSpectrogram,0.991,0.0065192024052026,0.995,0.0052291251658379,0.975,0.025,0.9937888198757764,0.0062111801242236,0.985,0.012770510463564
No aplica,KNN,LogMelSpectrogram,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9-8-7,KNN,DeepONMF_W,0.8800000000000001,0.0209165006633518,0.8825,0.0194655143779967,0.8699999999999999,0.0370809924354783,0.964450474509183,0.0102338779686121,0.8762500000000001,0.0256364303774921
15-10-5,KNN,DeepONMF_W,0.902,0.0164316767251549,0.90375,0.0129602758458297,0.8949999999999999,0.0480884601541783,0.9718529914196822,0.012881158273775,0.899375,0.0270091130454149
10-6-4,KNN,DeepONMF_W,0.8949999999999999,0.0149999999999999,0.9075,0.0222731621015068,0.845,0.054198708471697,0.9593231478407293,0.0133067124129133,0.87625,0.0230276667836756
8-5-3,KNN,DeepONMF_W,0.897,0.0160468065358812,0.91375,0.0231334444041521,0.8300000000000001,0.0273861278752583,0.955648347374883,0.0064346342781168,0.871875,0.0118996454779123
9-8-7,KNN,DeepONMF_H3,0.937,0.0251495526799185,0.97625,0.0102697979532218,0.78,0.1164581469885211,0.9472595566655692,0.0270438599152269,0.878125,0.0587549864905099
15-10-5,KNN,DeepONMF_H3,0.952,0.0135092560861062,0.9825,0.005229125165838,0.8300000000000001,0.0622494979899436,0.9587088074405512,0.0147194457516436,0.90625,0.0314835026243904
10-6-4,KNN,DeepONMF_H3,0.959,0.0151657508881031,0.97375,0.0161777238819309,0.9,0.0395284707521047,0.9750387149596847,0.0095908151203763,0.936875,0.0213554369540873
8-5-3,KNN,DeepONMF_H3,0.962,0.0125499003980111,0.9875,0.0098821176880262,0.86,0.0335410196624968,0.9657917762689768,0.0080544233362176,0.92375,0.0195905350233218
