distribucion,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
No aplica,KNN,STFT,0.982,0.0076157731058639,0.9549999999999998,0.0190394327646598,0.98875,0.0047598581911649,0.9557240612329724,0.0189425563584214,0.971875,0.0118996454779123
No aplica,KNN,MFCC,0.99,0.0031622776601684,0.975,0.0079056941504209,0.99375,0.0019764235376051,0.9761790864961596,0.0068635889374374,0.984375,0.004941058844013
No aplica,KNN,MelSpectrogram,0.9828,0.0070142711667001,0.957,0.0175356779167502,0.98925,0.0043839194791875,0.958110957943749,0.0169905106681633,0.973125,0.0109597986979688
No aplica,KNN,LogMelSpectrogram,0.9872,0.0030331501776206,0.968,0.0075828754440514,0.992,0.0018957188610128,0.9701708385682746,0.0072927387657216,0.98,0.0047392971525322
9-8-7,KNN,DeepONMF_W,0.8208,0.0113666177907062,0.552,0.0284165444767656,0.8879999999999999,0.0071041361191914,0.5723008392011482,0.0322257658533425,0.72,0.0177603402979785
15-10-5,KNN,DeepONMF_W,0.8328,0.0162849623886577,0.582,0.0407124059716445,0.8955,0.0101781014929112,0.61344809941709,0.0468261052268168,0.7387499999999999,0.0254452537322777
10-6-4,KNN,DeepONMF_W,0.85,0.0166132477258361,0.625,0.0415331193145904,0.90625,0.0103832798286476,0.6494820245317623,0.0393367054830638,0.765625,0.025958199571619
8-5-3,KNN,DeepONMF_W,0.8596,0.0093166517590816,0.649,0.0232916293977042,0.91225,0.0058229073494261,0.6773538149154336,0.0264100506315472,0.780625,0.0145572683735651
9-8-7,KNN,DeepONMF_H3,0.8996000000000001,0.0130690474021636,0.749,0.032672618505409,0.93725,0.0081681546263522,0.79429243858022,0.0270719786205746,0.843125,0.0204203865658806
15-10-5,KNN,DeepONMF_H3,0.918,0.0108627804912001,0.7949999999999999,0.0271569512280005,0.94875,0.006789237807,0.8221552169024692,0.0247210613099195,0.871875,0.0169730945175002
10-6-4,KNN,DeepONMF_H3,0.9332,0.005215361924162,0.833,0.0130384048104053,0.95825,0.0032596012026013,0.8459910257393373,0.0196103591179287,0.8956250000000001,0.0081490030065033
8-5-3,KNN,DeepONMF_H3,0.9356,0.0038470768123342,0.8390000000000001,0.0096176920308356,0.95975,0.0024044230077089,0.8555500177034991,0.0097746286634438,0.899375,0.0060110575192722
