indice_interno,base,clase,archivo,segundos_extraccion_clasica
0,SNR_0db,N,New_N_001.wav,0.0023053999757394195
1,SNR_0db,N,New_N_002.wav,0.0023039999650791287
2,SNR_0db,AS,New_AS_001.wav,0.002434800029732287
3,SNR_0db,AS,New_AS_002.wav,0.0029500999953597784
4,SNR_0db,MR,New_MR_001.wav,0.0019763000309467316
5,SNR_0db,MR,New_MR_002.wav,0.001927000004798174
6,SNR_0db,MS,New_MS_001.wav,0.002818099921569228
7,SNR_0db,MS,New_MS_002.wav,0.002041500061750412
8,SNR_0db,MVP,New_MVP_001.wav,0.002049200003966689
9,SNR_0db,MVP,New_MVP_002.wav,0.002588600036688149
